record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,814.2,,,,814.2,Collecting baseline... RawAvg=814.20
baseline,814.4,,,,814.4,Collecting baseline... RawAvg=814.40
baseline,814.6,,,,814.6,Collecting baseline... RawAvg=814.60
baseline,815.0,,,,815.0,Collecting baseline... RawAvg=815.00
baseline,815.4,,,,815.4,Collecting baseline... RawAvg=815.40
baseline,816.0,,,,816.0,Collecting baseline... RawAvg=816.00
baseline,816.4,,,,816.4,Collecting baseline... RawAvg=816.40
baseline,816.8,,,,816.8,Collecting baseline... RawAvg=816.80
baseline,817.0,,,,817.0,Collecting baseline... RawAvg=817.00
baseline,817.0,,,,817.0,Collecting baseline... RawAvg=817.00
baseline,816.6,,,,816.6,Collecting baseline... RawAvg=816.60
baseline,816.2,,,,816.2,Collecting baseline... RawAvg=816.20
baseline,816.0,,,,816.0,Collecting baseline... RawAvg=816.00
baseline,815.6,,,,815.6,Collecting baseline... RawAvg=815.60
baseline,815.4,,,,815.4,Collecting baseline... RawAvg=815.40
baseline,815.8,,,,815.8,Collecting baseline... RawAvg=815.80
baseline,816.2,,,,816.2,Collecting baseline... RawAvg=816.20
baseline,816.4,,,,816.4,Collecting baseline... RawAvg=816.40
baseline,816.8,,,,816.8,Collecting baseline... RawAvg=816.80
baseline,816.8,,,,816.8,Collecting baseline... RawAvg=816.80
baseline,816.4,,,,816.4,Collecting baseline... RawAvg=816.40
baseline,816.0,,,,816.0,Collecting baseline... RawAvg=816.00
baseline,815.8,,,,815.8,Collecting baseline... RawAvg=815.80
baseline,815.6,,,,815.6,Collecting baseline... RawAvg=815.60
baseline,815.8,,,,815.8,Collecting baseline... RawAvg=815.80
baseline,816.4,,,,816.4,Collecting baseline... RawAvg=816.40
baseline,816.8,,,,816.8,Collecting baseline... RawAvg=816.80
baseline,816.8,,,,816.8,Collecting baseline... RawAvg=816.80
baseline,816.8,,,,816.8,Collecting baseline... RawAvg=816.80
baseline,816.4,,,,816.4,Collecting baseline... RawAvg=816.40
baseline,815.8,,,,815.8,Collecting baseline... RawAvg=815.80
baseline,815.6,,,,815.6,Collecting baseline... RawAvg=815.60
baseline,815.6,,,,815.6,Collecting baseline... RawAvg=815.60
baseline,815.8,,,,815.8,Collecting baseline... RawAvg=815.80
baseline,816.2,,,,816.2,Collecting baseline... RawAvg=816.20
baseline,816.6,,,,816.6,Collecting baseline... RawAvg=816.60
baseline,816.6,,,,816.6,Collecting baseline... RawAvg=816.60
baseline,816.4,,,,816.4,Collecting baseline... RawAvg=816.40
baseline,816.0,,,,816.0,Collecting baseline... RawAvg=816.00
baseline,815.6,,,,815.6,Collecting baseline... RawAvg=815.60
baseline,815.2,,,,815.2,Collecting baseline... RawAvg=815.20
baseline,815.2,,,,815.2,Collecting baseline... RawAvg=815.20
baseline,815.4,,,,815.4,Collecting baseline... RawAvg=815.40
baseline,815.8,,,,815.8,Collecting baseline... RawAvg=815.80
baseline,816.0,,,,816.0,Collecting baseline... RawAvg=816.00
baseline,816.2,,,,816.2,Collecting baseline... RawAvg=816.20
baseline,816.0,,,,816.0,Collecting baseline... RawAvg=816.00
baseline,815.8,,,,815.8,Collecting baseline... RawAvg=815.80
baseline,815.4,,,,815.4,Collecting baseline... RawAvg=815.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,815.97,,,815.97,Final Base Raw Average = 815.97
info,,,,,,--------------------------------------------------------------------------
data,,816.0,814.4,1.6,814.4,Time=10.4s | BaseRaw=816.0 | CurrentRaw=814.4 | Change=1.6 => Floor
data,,816.0,814.6,1.4,814.6,Time=10.5s | BaseRaw=816.0 | CurrentRaw=814.6 | Change=1.4 => Floor
data,,816.0,814.4,1.6,814.4,Time=10.6s | BaseRaw=816.0 | CurrentRaw=814.4 | Change=1.6 => Floor
data,,816.0,814.8,1.2,814.8,Time=10.7s | BaseRaw=816.0 | CurrentRaw=814.8 | Change=1.2 => Floor
data,,816.0,814.6,1.4,814.6,Time=10.8s | BaseRaw=816.0 | CurrentRaw=814.6 | Change=1.4 => Floor
data,,816.0,815.0,1.0,815.0,Time=10.9s | BaseRaw=816.0 | CurrentRaw=815.0 | Change=1.0 => Floor
data,,816.0,814.8,1.2,814.8,Time=11.0s | BaseRaw=816.0 | CurrentRaw=814.8 | Change=1.2 => Floor
data,,816.0,815.0,1.0,815.0,Time=11.1s | BaseRaw=816.0 | CurrentRaw=815.0 | Change=1.0 => Floor
data,,816.0,814.6,1.4,814.6,Time=11.2s | BaseRaw=816.0 | CurrentRaw=814.6 | Change=1.4 => Floor
data,,816.0,814.8,1.2,814.8,Time=11.3s | BaseRaw=816.0 | CurrentRaw=814.8 | Change=1.2 => Floor
data,,816.0,815.0,1.0,815.0,Time=11.4s | BaseRaw=816.0 | CurrentRaw=815.0 | Change=1.0 => Floor
data,,816.0,815.4,0.6,815.4,Time=11.5s | BaseRaw=816.0 | CurrentRaw=815.4 | Change=0.6 => Floor
data,,816.0,815.6,0.4,815.6,Time=11.6s | BaseRaw=816.0 | CurrentRaw=815.6 | Change=0.4 => Floor
data,,816.0,815.6,0.4,815.6,Time=11.7s | BaseRaw=816.0 | CurrentRaw=815.6 | Change=0.4 => Floor
data,,816.0,815.8,0.2,815.8,Time=11.8s | BaseRaw=816.0 | CurrentRaw=815.8 | Change=0.2 => Floor
data,,816.0,815.2,0.8,815.2,Time=11.9s | BaseRaw=816.0 | CurrentRaw=815.2 | Change=0.8 => Floor
data,,816.0,815.2,0.8,815.2,Time=12.0s | BaseRaw=816.0 | CurrentRaw=815.2 | Change=0.8 => Floor
data,,816.0,814.8,1.2,814.8,Time=12.1s | BaseRaw=816.0 | CurrentRaw=814.8 | Change=1.2 => Floor
data,,816.0,815.2,0.8,815.2,Time=12.2s | BaseRaw=816.0 | CurrentRaw=815.2 | Change=0.8 => Floor
data,,816.0,814.8,1.2,814.8,Time=12.3s | BaseRaw=816.0 | CurrentRaw=814.8 | Change=1.2 => Floor
data,,816.0,815.2,0.8,815.2,Time=12.4s | BaseRaw=816.0 | CurrentRaw=815.2 | Change=0.8 => Floor
data,,816.0,815.0,1.0,815.0,Time=12.5s | BaseRaw=816.0 | CurrentRaw=815.0 | Change=1.0 => Floor
data,,816.0,815.2,0.8,815.2,Time=12.6s | BaseRaw=816.0 | CurrentRaw=815.2 | Change=0.8 => Floor
data,,816.0,815.2,0.8,815.2,Time=12.7s | BaseRaw=816.0 | CurrentRaw=815.2 | Change=0.8 => Floor
data,,816.0,815.4,0.6,815.4,Time=12.8s | BaseRaw=816.0 | CurrentRaw=815.4 | Change=0.6 => Floor
data,,816.0,815.4,0.6,815.4,Time=12.9s | BaseRaw=816.0 | CurrentRaw=815.4 | Change=0.6 => Floor
data,,816.0,815.2,0.8,815.2,Time=13.0s | BaseRaw=816.0 | CurrentRaw=815.2 | Change=0.8 => Floor
data,,816.0,815.4,0.6,815.4,Time=13.1s | BaseRaw=816.0 | CurrentRaw=815.4 | Change=0.6 => Floor
data,,816.0,815.2,0.8,815.2,Time=13.2s | BaseRaw=816.0 | CurrentRaw=815.2 | Change=0.8 => Floor
data,,816.0,815.6,0.4,815.6,Time=13.3s | BaseRaw=816.0 | CurrentRaw=815.6 | Change=0.4 => Floor
data,,816.0,815.2,0.8,815.2,Time=13.4s | BaseRaw=816.0 | CurrentRaw=815.2 | Change=0.8 => Floor
data,,816.0,815.6,0.4,815.6,Time=13.5s | BaseRaw=816.0 | CurrentRaw=815.6 | Change=0.4 => Floor
data,,816.0,815.2,0.8,815.2,Time=13.6s | BaseRaw=816.0 | CurrentRaw=815.2 | Change=0.8 => Floor
data,,816.0,815.4,0.6,815.4,Time=13.7s | BaseRaw=816.0 | CurrentRaw=815.4 | Change=0.6 => Floor
data,,816.0,815.0,1.0,815.0,Time=13.8s | BaseRaw=816.0 | CurrentRaw=815.0 | Change=1.0 => Floor
data,,816.0,815.4,0.6,815.4,Time=13.9s | BaseRaw=816.0 | CurrentRaw=815.4 | Change=0.6 => Floor
