record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,829.2,,,,829.2,Collecting baseline... RawAvg=829.20
baseline,829.6,,,,829.6,Collecting baseline... RawAvg=829.60
baseline,830.0,,,,830.0,Collecting baseline... RawAvg=830.00
baseline,830.2,,,,830.2,Collecting baseline... RawAvg=830.20
baseline,830.6,,,,830.6,Collecting baseline... RawAvg=830.60
baseline,830.6,,,,830.6,Collecting baseline... RawAvg=830.60
baseline,830.4,,,,830.4,Collecting baseline... RawAvg=830.40
baseline,830.0,,,,830.0,Collecting baseline... RawAvg=830.00
baseline,830.0,,,,830.0,Collecting baseline... RawAvg=830.00
baseline,830.0,,,,830.0,Collecting baseline... RawAvg=830.00
baseline,830.2,,,,830.2,Collecting baseline... RawAvg=830.20
baseline,830.6,,,,830.6,Collecting baseline... RawAvg=830.60
baseline,831.2,,,,831.2,Collecting baseline... RawAvg=831.20
baseline,831.4,,,,831.4,Collecting baseline... RawAvg=831.40
baseline,831.6,,,,831.6,Collecting baseline... RawAvg=831.60
baseline,831.6,,,,831.6,Collecting baseline... RawAvg=831.60
baseline,831.6,,,,831.6,Collecting baseline... RawAvg=831.60
baseline,831.6,,,,831.6,Collecting baseline... RawAvg=831.60
baseline,831.8,,,,831.8,Collecting baseline... RawAvg=831.80
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,831.8,,,,831.8,Collecting baseline... RawAvg=831.80
baseline,831.4,,,,831.4,Collecting baseline... RawAvg=831.40
baseline,831.0,,,,831.0,Collecting baseline... RawAvg=831.00
baseline,830.8,,,,830.8,Collecting baseline... RawAvg=830.80
baseline,830.8,,,,830.8,Collecting baseline... RawAvg=830.80
baseline,830.8,,,,830.8,Collecting baseline... RawAvg=830.80
baseline,831.0,,,,831.0,Collecting baseline... RawAvg=831.00
baseline,831.0,,,,831.0,Collecting baseline... RawAvg=831.00
baseline,830.8,,,,830.8,Collecting baseline... RawAvg=830.80
baseline,830.8,,,,830.8,Collecting baseline... RawAvg=830.80
baseline,830.6,,,,830.6,Collecting baseline... RawAvg=830.60
baseline,830.4,,,,830.4,Collecting baseline... RawAvg=830.40
baseline,830.2,,,,830.2,Collecting baseline... RawAvg=830.20
baseline,830.4,,,,830.4,Collecting baseline... RawAvg=830.40
baseline,830.6,,,,830.6,Collecting baseline... RawAvg=830.60
baseline,831.0,,,,831.0,Collecting baseline... RawAvg=831.00
baseline,831.2,,,,831.2,Collecting baseline... RawAvg=831.20
baseline,831.4,,,,831.4,Collecting baseline... RawAvg=831.40
baseline,831.2,,,,831.2,Collecting baseline... RawAvg=831.20
baseline,830.8,,,,830.8,Collecting baseline... RawAvg=830.80
baseline,830.6,,,,830.6,Collecting baseline... RawAvg=830.60
baseline,830.4,,,,830.4,Collecting baseline... RawAvg=830.40
baseline,830.6,,,,830.6,Collecting baseline... RawAvg=830.60
baseline,830.8,,,,830.8,Collecting baseline... RawAvg=830.80
baseline,831.0,,,,831.0,Collecting baseline... RawAvg=831.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,830.91,,,830.91,Final Base Raw Average = 830.91
info,,,,,,--------------------------------------------------------------------------
data,,830.9,831.4,0.5,831.4,Time=0.1s | BaseRaw=830.9 | CurrentRaw=831.4 | Change=0.5 => Floor
data,,830.9,830.8,0.1,830.8,Time=0.2s | BaseRaw=830.9 | CurrentRaw=830.8 | Change=0.1 => Floor
data,,830.9,831.0,0.1,831.0,Time=0.3s | BaseRaw=830.9 | CurrentRaw=831.0 | Change=0.1 => Floor
data,,830.9,830.8,0.1,830.8,Time=0.4s | BaseRaw=830.9 | CurrentRaw=830.8 | Change=0.1 => Floor
data,,830.9,830.6,0.3,830.6,Time=0.5s | BaseRaw=830.9 | CurrentRaw=830.6 | Change=0.3 => Floor
data,,830.9,830.4,0.5,830.4,Time=0.6s | BaseRaw=830.9 | CurrentRaw=830.4 | Change=0.5 => Floor
data,,830.9,830.6,0.3,830.6,Time=0.7s | BaseRaw=830.9 | CurrentRaw=830.6 | Change=0.3 => Floor
data,,830.9,830.6,0.3,830.6,Time=0.8s | BaseRaw=830.9 | CurrentRaw=830.6 | Change=0.3 => Floor
data,,830.9,830.6,0.3,830.6,Time=0.9s | BaseRaw=830.9 | CurrentRaw=830.6 | Change=0.3 => Floor
data,,830.9,830.8,0.1,830.8,Time=1.0s | BaseRaw=830.9 | CurrentRaw=830.8 | Change=0.1 => Floor
data,,830.9,830.8,0.1,830.8,Time=1.1s | BaseRaw=830.9 | CurrentRaw=830.8 | Change=0.1 => Floor
data,,830.9,831.0,0.1,831.0,Time=1.2s | BaseRaw=830.9 | CurrentRaw=831.0 | Change=0.1 => Floor
data,,830.9,831.0,0.1,831.0,Time=1.3s | BaseRaw=830.9 | CurrentRaw=831.0 | Change=0.1 => Floor
data,,830.9,831.0,0.1,831.0,Time=1.4s | BaseRaw=830.9 | CurrentRaw=831.0 | Change=0.1 => Floor
data,,830.9,831.2,0.3,831.2,Time=1.5s | BaseRaw=830.9 | CurrentRaw=831.2 | Change=0.3 => Floor
data,,830.9,831.2,0.3,831.2,Time=1.6s | BaseRaw=830.9 | CurrentRaw=831.2 | Change=0.3 => Floor
data,,830.9,831.0,0.1,831.0,Time=1.7s | BaseRaw=830.9 | CurrentRaw=831.0 | Change=0.1 => Floor
data,,830.9,831.0,0.1,831.0,Time=1.8s | BaseRaw=830.9 | CurrentRaw=831.0 | Change=0.1 => Floor
data,,830.9,831.2,0.3,831.2,Time=1.9s | BaseRaw=830.9 | CurrentRaw=831.2 | Change=0.3 => Floor
data,,830.9,831.2,0.3,831.2,Time=2.0s | BaseRaw=830.9 | CurrentRaw=831.2 | Change=0.3 => Floor
data,,830.9,831.2,0.3,831.2,Time=2.1s | BaseRaw=830.9 | CurrentRaw=831.2 | Change=0.3 => Floor
data,,830.9,831.2,0.3,831.2,Time=2.2s | BaseRaw=830.9 | CurrentRaw=831.2 | Change=0.3 => Floor
data,,830.9,831.0,0.1,831.0,Time=2.3s | BaseRaw=830.9 | CurrentRaw=831.0 | Change=0.1 => Floor
data,,830.9,830.6,0.3,830.6,Time=2.4s | BaseRaw=830.9 | CurrentRaw=830.6 | Change=0.3 => Floor
data,,830.9,830.4,0.5,830.4,Time=2.5s | BaseRaw=830.9 | CurrentRaw=830.4 | Change=0.5 => Floor
data,,830.9,830.2,0.7,830.2,Time=2.6s | BaseRaw=830.9 | CurrentRaw=830.2 | Change=0.7 => Floor
data,,830.9,830.4,0.5,830.4,Time=2.7s | BaseRaw=830.9 | CurrentRaw=830.4 | Change=0.5 => Floor
data,,830.9,830.4,0.5,830.4,Time=2.8s | BaseRaw=830.9 | CurrentRaw=830.4 | Change=0.5 => Floor
data,,830.9,830.6,0.3,830.6,Time=2.9s | BaseRaw=830.9 | CurrentRaw=830.6 | Change=0.3 => Floor
data,,830.9,830.6,0.3,830.6,Time=3.0s | BaseRaw=830.9 | CurrentRaw=830.6 | Change=0.3 => Floor
data,,830.9,830.6,0.3,830.6,Time=3.1s | BaseRaw=830.9 | CurrentRaw=830.6 | Change=0.3 => Floor
data,,830.9,830.4,0.5,830.4,Time=3.2s | BaseRaw=830.9 | CurrentRaw=830.4 | Change=0.5 => Floor
data,,830.9,830.4,0.5,830.4,Time=3.3s | BaseRaw=830.9 | CurrentRaw=830.4 | Change=0.5 => Floor
data,,830.9,830.8,0.1,830.8,Time=3.4s | BaseRaw=830.9 | CurrentRaw=830.8 | Change=0.1 => Floor
data,,830.9,831.0,0.1,831.0,Time=3.5s | BaseRaw=830.9 | CurrentRaw=831.0 | Change=0.1 => Floor
data,,830.9,831.2,0.3,831.2,Time=3.6s | BaseRaw=830.9 | CurrentRaw=831.2 | Change=0.3 => Floor
data,,830.9,832.0,1.1,832.0,Time=3.7s | BaseRaw=830.9 | CurrentRaw=832.0 | Change=1.1 => Floor
data,,830.9,832.6,1.7,832.6,Time=3.8s | BaseRaw=830.9 | CurrentRaw=832.6 | Change=1.7 => Floor
data,,830.9,833.4,2.5,833.4,Time=3.9s | BaseRaw=830.9 | CurrentRaw=833.4 | Change=2.5 => Floor
data,,830.9,834.4,3.5,834.4,Time=4.0s | BaseRaw=830.9 | CurrentRaw=834.4 | Change=3.5 => Floor
data,,830.9,835.4,4.5,835.4,Time=4.1s | BaseRaw=830.9 | CurrentRaw=835.4 | Change=4.5 => Floor
data,,830.9,836.0,5.1,836.0,Time=4.2s | BaseRaw=830.9 | CurrentRaw=836.0 | Change=5.1 => Floor
data,,830.9,836.8,5.9,836.8,Time=4.3s | BaseRaw=830.9 | CurrentRaw=836.8 | Change=5.9 => Floor
data,,830.9,836.8,5.9,836.8,Time=4.4s | BaseRaw=830.9 | CurrentRaw=836.8 | Change=5.9 => Floor
data,,830.9,836.8,5.9,836.8,Time=4.5s | BaseRaw=830.9 | CurrentRaw=836.8 | Change=5.9 => Floor
data,,830.9,836.8,5.9,836.8,Time=4.6s | BaseRaw=830.9 | CurrentRaw=836.8 | Change=5.9 => Floor
data,,830.9,836.8,5.9,836.8,Time=4.7s | BaseRaw=830.9 | CurrentRaw=836.8 | Change=5.9 => Floor
data,,830.9,837.0,6.1,837.0,Time=4.8s | BaseRaw=830.9 | CurrentRaw=837.0 | Change=6.1 => Floor
data,,830.9,837.4,6.5,837.4,Time=4.9s | BaseRaw=830.9 | CurrentRaw=837.4 | Change=6.5 => Floor
data,,830.9,838.0,7.1,838.0,Time=5.0s | BaseRaw=830.9 | CurrentRaw=838.0 | Change=7.1 => Floor
