record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,804.6,,,,804.6,Collecting baseline... RawAvg=804.60
baseline,804.8,,,,804.8,Collecting baseline... RawAvg=804.80
baseline,805.2,,,,805.2,Collecting baseline... RawAvg=805.20
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.2,,,,805.2,Collecting baseline... RawAvg=805.20
baseline,805.0,,,,805.0,Collecting baseline... RawAvg=805.00
baseline,804.8,,,,804.8,Collecting baseline... RawAvg=804.80
baseline,804.8,,,,804.8,Collecting baseline... RawAvg=804.80
baseline,805.0,,,,805.0,Collecting baseline... RawAvg=805.00
baseline,805.2,,,,805.2,Collecting baseline... RawAvg=805.20
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.0,,,,805.0,Collecting baseline... RawAvg=805.00
baseline,804.6,,,,804.6,Collecting baseline... RawAvg=804.60
baseline,804.4,,,,804.4,Collecting baseline... RawAvg=804.40
baseline,804.2,,,,804.2,Collecting baseline... RawAvg=804.20
baseline,804.2,,,,804.2,Collecting baseline... RawAvg=804.20
baseline,804.6,,,,804.6,Collecting baseline... RawAvg=804.60
baseline,805.0,,,,805.0,Collecting baseline... RawAvg=805.00
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.8,,,,805.8,Collecting baseline... RawAvg=805.80
baseline,806.0,,,,806.0,Collecting baseline... RawAvg=806.00
baseline,806.0,,,,806.0,Collecting baseline... RawAvg=806.00
baseline,805.8,,,,805.8,Collecting baseline... RawAvg=805.80
baseline,805.6,,,,805.6,Collecting baseline... RawAvg=805.60
baseline,805.6,,,,805.6,Collecting baseline... RawAvg=805.60
baseline,805.6,,,,805.6,Collecting baseline... RawAvg=805.60
baseline,805.6,,,,805.6,Collecting baseline... RawAvg=805.60
baseline,805.8,,,,805.8,Collecting baseline... RawAvg=805.80
baseline,805.8,,,,805.8,Collecting baseline... RawAvg=805.80
baseline,805.6,,,,805.6,Collecting baseline... RawAvg=805.60
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.2,,,,805.2,Collecting baseline... RawAvg=805.20
baseline,805.0,,,,805.0,Collecting baseline... RawAvg=805.00
baseline,805.2,,,,805.2,Collecting baseline... RawAvg=805.20
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.8,,,,805.8,Collecting baseline... RawAvg=805.80
baseline,806.0,,,,806.0,Collecting baseline... RawAvg=806.00
baseline,806.2,,,,806.2,Collecting baseline... RawAvg=806.20
baseline,806.0,,,,806.0,Collecting baseline... RawAvg=806.00
baseline,805.8,,,,805.8,Collecting baseline... RawAvg=805.80
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.2,,,,805.2,Collecting baseline... RawAvg=805.20
baseline,805.2,,,,805.2,Collecting baseline... RawAvg=805.20
baseline,805.4,,,,805.4,Collecting baseline... RawAvg=805.40
baseline,805.6,,,,805.6,Collecting baseline... RawAvg=805.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,805.31,,,805.31,Final Base Raw Average = 805.31
info,,,,,,--------------------------------------------------------------------------
data,,805.3,806.0,0.7,806.0,Time=0.1s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,805.8,0.5,805.8,Time=0.2s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,805.8,0.5,805.8,Time=0.3s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,805.8,0.5,805.8,Time=0.4s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,805.6,0.3,805.6,Time=0.5s | BaseRaw=805.3 | CurrentRaw=805.6 | Change=0.3 => Floor
data,,805.3,805.6,0.3,805.6,Time=0.6s | BaseRaw=805.3 | CurrentRaw=805.6 | Change=0.3 => Floor
data,,805.3,805.6,0.3,805.6,Time=0.7s | BaseRaw=805.3 | CurrentRaw=805.6 | Change=0.3 => Floor
data,,805.3,805.8,0.5,805.8,Time=0.8s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,805.8,0.5,805.8,Time=0.9s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,806.0,0.7,806.0,Time=1.0s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.0,0.7,806.0,Time=1.1s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.0,0.7,806.0,Time=1.2s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,805.8,0.5,805.8,Time=1.3s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,805.8,0.5,805.8,Time=1.4s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,805.6,0.3,805.6,Time=1.5s | BaseRaw=805.3 | CurrentRaw=805.6 | Change=0.3 => Floor
data,,805.3,805.6,0.3,805.6,Time=1.6s | BaseRaw=805.3 | CurrentRaw=805.6 | Change=0.3 => Floor
data,,805.3,805.6,0.3,805.6,Time=1.7s | BaseRaw=805.3 | CurrentRaw=805.6 | Change=0.3 => Floor
data,,805.3,805.6,0.3,805.6,Time=1.8s | BaseRaw=805.3 | CurrentRaw=805.6 | Change=0.3 => Floor
data,,805.3,805.6,0.3,805.6,Time=1.9s | BaseRaw=805.3 | CurrentRaw=805.6 | Change=0.3 => Floor
data,,805.3,805.8,0.5,805.8,Time=2.0s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,806.0,0.7,806.0,Time=2.1s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.0,0.7,806.0,Time=2.2s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.0,0.7,806.0,Time=2.3s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,805.8,0.5,805.8,Time=2.4s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,805.8,0.5,805.8,Time=2.5s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,805.8,0.5,805.8,Time=2.6s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,805.8,0.5,805.8,Time=2.7s | BaseRaw=805.3 | CurrentRaw=805.8 | Change=0.5 => Floor
data,,805.3,806.0,0.7,806.0,Time=2.8s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.0,0.7,806.0,Time=2.9s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.2,0.9,806.2,Time=3.0s | BaseRaw=805.3 | CurrentRaw=806.2 | Change=0.9 => Floor
data,,805.3,806.0,0.7,806.0,Time=3.1s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.2,0.9,806.2,Time=3.2s | BaseRaw=805.3 | CurrentRaw=806.2 | Change=0.9 => Floor
data,,805.3,806.0,0.7,806.0,Time=3.3s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.0,0.7,806.0,Time=3.4s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.0,0.7,806.0,Time=3.5s | BaseRaw=805.3 | CurrentRaw=806.0 | Change=0.7 => Floor
data,,805.3,806.2,0.9,806.2,Time=3.6s | BaseRaw=805.3 | CurrentRaw=806.2 | Change=0.9 => Floor
data,,805.3,806.2,0.9,806.2,Time=3.7s | BaseRaw=805.3 | CurrentRaw=806.2 | Change=0.9 => Floor
data,,805.3,806.6,1.3,806.6,Time=3.8s | BaseRaw=805.3 | CurrentRaw=806.6 | Change=1.3 => Floor
data,,805.3,806.6,1.3,806.6,Time=3.9s | BaseRaw=805.3 | CurrentRaw=806.6 | Change=1.3 => Floor
data,,805.3,806.6,1.3,806.6,Time=4.0s | BaseRaw=805.3 | CurrentRaw=806.6 | Change=1.3 => Floor
data,,805.3,806.4,1.1,806.4,Time=4.1s | BaseRaw=805.3 | CurrentRaw=806.4 | Change=1.1 => Floor
data,,805.3,806.6,1.3,806.6,Time=4.2s | BaseRaw=805.3 | CurrentRaw=806.6 | Change=1.3 => Floor
