record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,803.8,,,,803.8,Collecting baseline... RawAvg=803.80
baseline,803.8,,,,803.8,Collecting baseline... RawAvg=803.80
baseline,803.6,,,,803.6,Collecting baseline... RawAvg=803.60
baseline,803.4,,,,803.4,Collecting baseline... RawAvg=803.40
baseline,803.2,,,,803.2,Collecting baseline... RawAvg=803.20
baseline,803.2,,,,803.2,Collecting baseline... RawAvg=803.20
baseline,803.0,,,,803.0,Collecting baseline... RawAvg=803.00
baseline,802.4,,,,802.4,Collecting baseline... RawAvg=802.40
baseline,801.8,,,,801.8,Collecting baseline... RawAvg=801.80
baseline,801.2,,,,801.2,Collecting baseline... RawAvg=801.20
baseline,800.6,,,,800.6,Collecting baseline... RawAvg=800.60
baseline,800.0,,,,800.0,Collecting baseline... RawAvg=800.00
baseline,799.8,,,,799.8,Collecting baseline... RawAvg=799.80
baseline,799.6,,,,799.6,Collecting baseline... RawAvg=799.60
baseline,799.6,,,,799.6,Collecting baseline... RawAvg=799.60
baseline,799.6,,,,799.6,Collecting baseline... RawAvg=799.60
baseline,799.6,,,,799.6,Collecting baseline... RawAvg=799.60
baseline,800.0,,,,800.0,Collecting baseline... RawAvg=800.00
baseline,800.2,,,,800.2,Collecting baseline... RawAvg=800.20
baseline,800.2,,,,800.2,Collecting baseline... RawAvg=800.20
baseline,800.0,,,,800.0,Collecting baseline... RawAvg=800.00
baseline,799.6,,,,799.6,Collecting baseline... RawAvg=799.60
baseline,799.2,,,,799.2,Collecting baseline... RawAvg=799.20
baseline,799.0,,,,799.0,Collecting baseline... RawAvg=799.00
baseline,798.8,,,,798.8,Collecting baseline... RawAvg=798.80
baseline,799.0,,,,799.0,Collecting baseline... RawAvg=799.00
baseline,799.4,,,,799.4,Collecting baseline... RawAvg=799.40
baseline,799.6,,,,799.6,Collecting baseline... RawAvg=799.60
baseline,799.8,,,,799.8,Collecting baseline... RawAvg=799.80
baseline,800.0,,,,800.0,Collecting baseline... RawAvg=800.00
baseline,799.6,,,,799.6,Collecting baseline... RawAvg=799.60
baseline,799.2,,,,799.2,Collecting baseline... RawAvg=799.20
baseline,799.0,,,,799.0,Collecting baseline... RawAvg=799.00
baseline,798.8,,,,798.8,Collecting baseline... RawAvg=798.80
baseline,799.0,,,,799.0,Collecting baseline... RawAvg=799.00
baseline,799.4,,,,799.4,Collecting baseline... RawAvg=799.40
baseline,799.8,,,,799.8,Collecting baseline... RawAvg=799.80
baseline,800.0,,,,800.0,Collecting baseline... RawAvg=800.00
baseline,800.0,,,,800.0,Collecting baseline... RawAvg=800.00
baseline,799.6,,,,799.6,Collecting baseline... RawAvg=799.60
baseline,799.2,,,,799.2,Collecting baseline... RawAvg=799.20
baseline,799.2,,,,799.2,Collecting baseline... RawAvg=799.20
baseline,799.0,,,,799.0,Collecting baseline... RawAvg=799.00
baseline,799.2,,,,799.2,Collecting baseline... RawAvg=799.20
baseline,799.4,,,,799.4,Collecting baseline... RawAvg=799.40
baseline,799.8,,,,799.8,Collecting baseline... RawAvg=799.80
baseline,800.0,,,,800.0,Collecting baseline... RawAvg=800.00
baseline,800.2,,,,800.2,Collecting baseline... RawAvg=800.20
baseline,800.2,,,,800.2,Collecting baseline... RawAvg=800.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,800.28,,,800.28,Final Base Raw Average = 800.28
info,,,,,,--------------------------------------------------------------------------
data,,800.3,839.0,38.7,839.0,Time=8.9s | BaseRaw=800.3 | CurrentRaw=839.0 | Change=38.7 => Liquid
data,,800.3,838.4,38.1,838.4,Time=9.0s | BaseRaw=800.3 | CurrentRaw=838.4 | Change=38.1 => Liquid
data,,800.3,836.6,36.3,836.6,Time=9.1s | BaseRaw=800.3 | CurrentRaw=836.6 | Change=36.3 => Liquid
data,,800.3,832.4,32.1,832.4,Time=9.2s | BaseRaw=800.3 | CurrentRaw=832.4 | Change=32.1 => Liquid
data,,800.3,826.8,26.5,826.8,Time=9.3s | BaseRaw=800.3 | CurrentRaw=826.8 | Change=26.5 => Liquid
data,,800.3,820.8,20.5,820.8,Time=9.4s | BaseRaw=800.3 | CurrentRaw=820.8 | Change=20.5 => Liquid
data,,800.3,814.8,14.5,814.8,Time=9.5s | BaseRaw=800.3 | CurrentRaw=814.8 | Change=14.5 => Liquid
data,,800.3,809.0,8.7,809.0,Time=9.6s | BaseRaw=800.3 | CurrentRaw=809.0 | Change=8.7 => Floor
data,,800.3,805.8,5.5,805.8,Time=9.7s | BaseRaw=800.3 | CurrentRaw=805.8 | Change=5.5 => Floor
data,,800.3,803.6,3.3,803.6,Time=9.8s | BaseRaw=800.3 | CurrentRaw=803.6 | Change=3.3 => Floor
data,,800.3,801.4,1.1,801.4,Time=9.9s | BaseRaw=800.3 | CurrentRaw=801.4 | Change=1.1 => Floor
data,,800.3,800.0,0.3,800.0,Time=10.0s | BaseRaw=800.3 | CurrentRaw=800.0 | Change=0.3 => Floor
