record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,1014.2,,,,1014.2,Collecting baseline... RawAvg=1014.20
baseline,1014.0,,,,1014.0,Collecting baseline... RawAvg=1014.00
baseline,1014.0,,,,1014.0,Collecting baseline... RawAvg=1014.00
baseline,1014.0,,,,1014.0,Collecting baseline... RawAvg=1014.00
baseline,1014.0,,,,1014.0,Collecting baseline... RawAvg=1014.00
baseline,1014.4,,,,1014.4,Collecting baseline... RawAvg=1014.40
baseline,1014.4,,,,1014.4,Collecting baseline... RawAvg=1014.40
baseline,1014.4,,,,1014.4,Collecting baseline... RawAvg=1014.40
baseline,1014.4,,,,1014.4,Collecting baseline... RawAvg=1014.40
baseline,1014.4,,,,1014.4,Collecting baseline... RawAvg=1014.40
baseline,1014.0,,,,1014.0,Collecting baseline... RawAvg=1014.00
baseline,1014.0,,,,1014.0,Collecting baseline... RawAvg=1014.00
baseline,1014.0,,,,1014.0,Collecting baseline... RawAvg=1014.00
baseline,1014.6,,,,1014.6,Collecting baseline... RawAvg=1014.60
baseline,1014.6,,,,1014.6,Collecting baseline... RawAvg=1014.60
baseline,1014.8,,,,1014.8,Collecting baseline... RawAvg=1014.80
baseline,1014.8,,,,1014.8,Collecting baseline... RawAvg=1014.80
baseline,1014.8,,,,1014.8,Collecting baseline... RawAvg=1014.80
baseline,1014.6,,,,1014.6,Collecting baseline... RawAvg=1014.60
baseline,1014.6,,,,1014.6,Collecting baseline... RawAvg=1014.60
baseline,1014.4,,,,1014.4,Collecting baseline... RawAvg=1014.40
baseline,1014.2,,,,1014.2,Collecting baseline... RawAvg=1014.20
baseline,1014.2,,,,1014.2,Collecting baseline... RawAvg=1014.20
baseline,1014.0,,,,1014.0,Collecting baseline... RawAvg=1014.00
baseline,1013.8,,,,1013.8,Collecting baseline... RawAvg=1013.80
baseline,1013.8,,,,1013.8,Collecting baseline... RawAvg=1013.80
baseline,1013.8,,,,1013.8,Collecting baseline... RawAvg=1013.80
baseline,1013.8,,,,1013.8,Collecting baseline... RawAvg=1013.80
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.6,,,,1013.6,Collecting baseline... RawAvg=1013.60
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.6,,,,1013.6,Collecting baseline... RawAvg=1013.60
baseline,1013.6,,,,1013.6,Collecting baseline... RawAvg=1013.60
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.6,,,,1013.6,Collecting baseline... RawAvg=1013.60
baseline,1013.4,,,,1013.4,Collecting baseline... RawAvg=1013.40
baseline,1013.6,,,,1013.6,Collecting baseline... RawAvg=1013.60
baseline,1013.8,,,,1013.8,Collecting baseline... RawAvg=1013.80
baseline,1013.8,,,,1013.8,Collecting baseline... RawAvg=1013.80
baseline,1013.8,,,,1013.8,Collecting baseline... RawAvg=1013.80
baseline,1013.8,,,,1013.8,Collecting baseline... RawAvg=1013.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,1013.94,,,1013.94,Final Base Raw Average = 1013.94
info,,,,,,--------------------------------------------------------------------------
data,,1013.9,1011.0,2.9,1011.0,Time=4.4s | BaseRaw=1013.9 | CurrentRaw=1011.0 | Change=2.9 => Floor
data,,1013.9,1011.0,2.9,1011.0,Time=4.5s | BaseRaw=1013.9 | CurrentRaw=1011.0 | Change=2.9 => Floor
data,,1013.9,1011.2,2.7,1011.2,Time=4.6s | BaseRaw=1013.9 | CurrentRaw=1011.2 | Change=2.7 => Floor
data,,1013.9,1011.2,2.7,1011.2,Time=4.7s | BaseRaw=1013.9 | CurrentRaw=1011.2 | Change=2.7 => Floor
data,,1013.9,1011.0,2.9,1011.0,Time=4.8s | BaseRaw=1013.9 | CurrentRaw=1011.0 | Change=2.9 => Floor
data,,1013.9,1011.0,2.9,1011.0,Time=4.9s | BaseRaw=1013.9 | CurrentRaw=1011.0 | Change=2.9 => Floor
data,,1013.9,1011.0,2.9,1011.0,Time=5.0s | BaseRaw=1013.9 | CurrentRaw=1011.0 | Change=2.9 => Floor
data,,1013.9,1011.0,2.9,1011.0,Time=5.1s | BaseRaw=1013.9 | CurrentRaw=1011.0 | Change=2.9 => Floor
data,,1013.9,1011.2,2.7,1011.2,Time=5.2s | BaseRaw=1013.9 | CurrentRaw=1011.2 | Change=2.7 => Floor
data,,1013.9,1011.2,2.7,1011.2,Time=5.3s | BaseRaw=1013.9 | CurrentRaw=1011.2 | Change=2.7 => Floor
data,,1013.9,1011.2,2.7,1011.2,Time=5.4s | BaseRaw=1013.9 | CurrentRaw=1011.2 | Change=2.7 => Floor
data,,1013.9,1011.2,2.7,1011.2,Time=5.5s | BaseRaw=1013.9 | CurrentRaw=1011.2 | Change=2.7 => Floor
data,,1013.9,1011.0,2.9,1011.0,Time=5.6s | BaseRaw=1013.9 | CurrentRaw=1011.0 | Change=2.9 => Floor
data,,1013.9,1011.0,2.9,1011.0,Time=5.7s | BaseRaw=1013.9 | CurrentRaw=1011.0 | Change=2.9 => Floor
data,,1013.9,1011.0,2.9,1011.0,Time=5.8s | BaseRaw=1013.9 | CurrentRaw=1011.0 | Change=2.9 => Floor
data,,1013.9,1011.0,2.9,1011.0,Time=5.9s | BaseRaw=1013.9 | CurrentRaw=1011.0 | Change=2.9 => Floor
data,,1013.9,1011.0,2.9,1011.0,Time=6.0s | BaseRaw=1013.9 | CurrentRaw=1011.0 | Change=2.9 => Floor
data,,1013.9,1011.0,2.9,1011.0,Time=6.1s | BaseRaw=1013.9 | CurrentRaw=1011.0 | Change=2.9 => Floor
data,,1013.9,1011.0,2.9,1011.0,Time=6.2s | BaseRaw=1013.9 | CurrentRaw=1011.0 | Change=2.9 => Floor
data,,1013.9,1011.2,2.7,1011.2,Time=6.3s | BaseRaw=1013.9 | CurrentRaw=1011.2 | Change=2.7 => Floor
data,,1013.9,1011.2,2.7,1011.2,Time=6.4s | BaseRaw=1013.9 | CurrentRaw=1011.2 | Change=2.7 => Floor
data,,1013.9,1011.2,2.7,1011.2,Time=6.5s | BaseRaw=1013.9 | CurrentRaw=1011.2 | Change=2.7 => Floor
data,,1013.9,1011.2,2.7,1011.2,Time=6.6s | BaseRaw=1013.9 | CurrentRaw=1011.2 | Change=2.7 => Floor
data,,1013.9,1011.2,2.7,1011.2,Time=6.7s | BaseRaw=1013.9 | CurrentRaw=1011.2 | Change=2.7 => Floor
data,,1013.9,1011.0,2.9,1011.0,Time=6.8s | BaseRaw=1013.9 | CurrentRaw=1011.0 | Change=2.9 => Floor
data,,1013.9,1010.8,3.1,1010.8,Time=6.9s | BaseRaw=1013.9 | CurrentRaw=1010.8 | Change=3.1 => Floor
data,,1013.9,1010.8,3.1,1010.8,Time=7.0s | BaseRaw=1013.9 | CurrentRaw=1010.8 | Change=3.1 => Floor
data,,1013.9,1010.6,3.3,1010.6,Time=7.1s | BaseRaw=1013.9 | CurrentRaw=1010.6 | Change=3.3 => Floor
data,,1013.9,1010.4,3.5,1010.4,Time=7.2s | BaseRaw=1013.9 | CurrentRaw=1010.4 | Change=3.5 => Floor
data,,1013.9,1010.2,3.7,1010.2,Time=7.3s | BaseRaw=1013.9 | CurrentRaw=1010.2 | Change=3.7 => Floor
data,,1013.9,1010.2,3.7,1010.2,Time=7.4s | BaseRaw=1013.9 | CurrentRaw=1010.2 | Change=3.7 => Floor
data,,1013.9,1010.2,3.7,1010.2,Time=7.5s | BaseRaw=1013.9 | CurrentRaw=1010.2 | Change=3.7 => Floor
data,,1013.9,1010.2,3.7,1010.2,Time=7.6s | BaseRaw=1013.9 | CurrentRaw=1010.2 | Change=3.7 => Floor
data,,1013.9,1010.2,3.7,1010.2,Time=7.7s | BaseRaw=1013.9 | CurrentRaw=1010.2 | Change=3.7 => Floor
data,,1013.9,1010.2,3.7,1010.2,Time=7.8s | BaseRaw=1013.9 | CurrentRaw=1010.2 | Change=3.7 => Floor
data,,1013.9,1010.0,3.9,1010.0,Time=7.9s | BaseRaw=1013.9 | CurrentRaw=1010.0 | Change=3.9 => Floor
data,,1013.9,1009.6,4.3,1009.6,Time=8.0s | BaseRaw=1013.9 | CurrentRaw=1009.6 | Change=4.3 => Floor
data,,1013.9,1009.4,4.5,1009.4,Time=8.1s | BaseRaw=1013.9 | CurrentRaw=1009.4 | Change=4.5 => Floor
data,,1013.9,1009.2,4.7,1009.2,Time=8.2s | BaseRaw=1013.9 | CurrentRaw=1009.2 | Change=4.7 => Floor
data,,1013.9,1009.0,4.9,1009.0,Time=8.3s | BaseRaw=1013.9 | CurrentRaw=1009.0 | Change=4.9 => Floor
data,,1013.9,1008.8,5.1,1008.8,Time=8.4s | BaseRaw=1013.9 | CurrentRaw=1008.8 | Change=5.1 => Floor
data,,1013.9,1008.8,5.1,1008.8,Time=8.5s | BaseRaw=1013.9 | CurrentRaw=1008.8 | Change=5.1 => Floor
data,,1013.9,1008.8,5.1,1008.8,Time=8.6s | BaseRaw=1013.9 | CurrentRaw=1008.8 | Change=5.1 => Floor
data,,1013.9,1008.8,5.1,1008.8,Time=8.7s | BaseRaw=1013.9 | CurrentRaw=1008.8 | Change=5.1 => Floor
data,,1013.9,1008.8,5.1,1008.8,Time=8.8s | BaseRaw=1013.9 | CurrentRaw=1008.8 | Change=5.1 => Floor
data,,1013.9,1009.0,4.9,1009.0,Time=8.9s | BaseRaw=1013.9 | CurrentRaw=1009.0 | Change=4.9 => Floor
data,,1013.9,1008.8,5.1,1008.8,Time=9.0s | BaseRaw=1013.9 | CurrentRaw=1008.8 | Change=5.1 => Floor
