record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,831.8,,,,831.8,Collecting baseline... RawAvg=831.80
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,832.2,,,832.2,Final Base Raw Average = 832.20
info,,,,,,--------------------------------------------------------------------------
data,,832.2,832.0,0.2,832.0,Time=4.8s | BaseRaw=832.2 | CurrentRaw=832.0 | Change=0.2 => Floor
data,,832.2,832.6,0.4,832.6,Time=4.9s | BaseRaw=832.2 | CurrentRaw=832.6 | Change=0.4 => Floor
data,,832.2,833.8,1.6,833.8,Time=5.0s | BaseRaw=832.2 | CurrentRaw=833.8 | Change=1.6 => Floor
data,,832.2,835.0,2.8,835.0,Time=5.1s | BaseRaw=832.2 | CurrentRaw=835.0 | Change=2.8 => Floor
data,,832.2,836.8,4.6,836.8,Time=5.2s | BaseRaw=832.2 | CurrentRaw=836.8 | Change=4.6 => Floor
data,,832.2,840.0,7.8,840.0,Time=5.3s | BaseRaw=832.2 | CurrentRaw=840.0 | Change=7.8 => Floor
data,,832.2,843.6,11.4,843.6,Time=5.4s | BaseRaw=832.2 | CurrentRaw=843.6 | Change=11.4 => Liquid
data,,832.2,846.4,14.2,846.4,Time=5.5s | BaseRaw=832.2 | CurrentRaw=846.4 | Change=14.2 => Liquid
data,,832.2,849.2,17.0,849.2,Time=5.6s | BaseRaw=832.2 | CurrentRaw=849.2 | Change=17.0 => Liquid
data,,832.2,851.4,19.2,851.4,Time=5.7s | BaseRaw=832.2 | CurrentRaw=851.4 | Change=19.2 => Liquid
