record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,722.00,,,,722.00,Collecting baseline... RawAvg=722.00
baseline,722.00,,,,722.00,Collecting baseline... RawAvg=722.00
baseline,722.00,,,,722.00,Collecting baseline... RawAvg=722.00
baseline,722.20,,,,722.20,Collecting baseline... RawAvg=722.20
baseline,722.20,,,,722.20,Collecting baseline... RawAvg=722.20
baseline,722.20,,,,722.20,Collecting baseline... RawAvg=722.20
baseline,722.20,,,,722.20,Collecting baseline... RawAvg=722.20
baseline,722.40,,,,722.40,Collecting baseline... RawAvg=722.40
baseline,722.40,,,,722.40,Collecting baseline... RawAvg=722.40
baseline,722.60,,,,722.60,Collecting baseline... RawAvg=722.60
baseline,722.80,,,,722.80,Collecting baseline... RawAvg=722.80
baseline,723.00,,,,723.00,Collecting baseline... RawAvg=723.00
baseline,723.00,,,,723.00,Collecting baseline... RawAvg=723.00
baseline,723.00,,,,723.00,Collecting baseline... RawAvg=723.00
baseline,723.00,,,,723.00,Collecting baseline... RawAvg=723.00
baseline,723.00,,,,723.00,Collecting baseline... RawAvg=723.00
baseline,723.00,,,,723.00,Collecting baseline... RawAvg=723.00
baseline,723.00,,,,723.00,Collecting baseline... RawAvg=723.00
baseline,723.00,,,,723.00,Collecting baseline... RawAvg=723.00
baseline,723.00,,,,723.00,Collecting baseline... RawAvg=723.00
baseline,723.20,,,,723.20,Collecting baseline... RawAvg=723.20
baseline,723.40,,,,723.40,Collecting baseline... RawAvg=723.40
baseline,723.60,,,,723.60,Collecting baseline... RawAvg=723.60
baseline,723.60,,,,723.60,Collecting baseline... RawAvg=723.60
baseline,723.80,,,,723.80,Collecting baseline... RawAvg=723.80
baseline,723.80,,,,723.80,Collecting baseline... RawAvg=723.80
baseline,723.80,,,,723.80,Collecting baseline... RawAvg=723.80
baseline,723.80,,,,723.80,Collecting baseline... RawAvg=723.80
baseline,723.80,,,,723.80,Collecting baseline... RawAvg=723.80
baseline,723.60,,,,723.60,Collecting baseline... RawAvg=723.60
baseline,723.20,,,,723.20,Collecting baseline... RawAvg=723.20
baseline,722.80,,,,722.80,Collecting baseline... RawAvg=722.80
baseline,722.40,,,,722.40,Collecting baseline... RawAvg=722.40
baseline,722.20,,,,722.20,Collecting baseline... RawAvg=722.20
baseline,722.00,,,,722.00,Collecting baseline... RawAvg=722.00
baseline,722.00,,,,722.00,Collecting baseline... RawAvg=722.00
baseline,722.00,,,,722.00,Collecting baseline... RawAvg=722.00
baseline,722.00,,,,722.00,Collecting baseline... RawAvg=722.00
baseline,721.80,,,,721.80,Collecting baseline... RawAvg=721.80
baseline,721.60,,,,721.60,Collecting baseline... RawAvg=721.60
baseline,721.40,,,,721.40,Collecting baseline... RawAvg=721.40
baseline,721.20,,,,721.20,Collecting baseline... RawAvg=721.20
baseline,721.00,,,,721.00,Collecting baseline... RawAvg=721.00
baseline,721.00,,,,721.00,Collecting baseline... RawAvg=721.00
baseline,721.00,,,,721.00,Collecting baseline... RawAvg=721.00
baseline,721.00,,,,721.00,Collecting baseline... RawAvg=721.00
baseline,721.00,,,,721.00,Collecting baseline... RawAvg=721.00
baseline,721.20,,,,721.20,Collecting baseline... RawAvg=721.20
baseline,721.20,,,,721.20,Collecting baseline... RawAvg=721.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,722.46,,,722.46,Final Base Raw Average = 722.46
info,,,,,,--------------------------------------------------------------------------
data,,722.5,721.2,1.3,721.2,Time=0.1s | BaseRaw=722.5 | CurrentRaw=721.2 | Change=1.3 => Floor
data,,722.5,721.2,1.3,721.2,Time=0.2s | BaseRaw=722.5 | CurrentRaw=721.2 | Change=1.3 => Floor
data,,722.5,721.2,1.3,721.2,Time=0.3s | BaseRaw=722.5 | CurrentRaw=721.2 | Change=1.3 => Floor
data,,722.5,721.2,1.3,721.2,Time=0.4s | BaseRaw=722.5 | CurrentRaw=721.2 | Change=1.3 => Floor
data,,722.5,721.2,1.3,721.2,Time=0.5s | BaseRaw=722.5 | CurrentRaw=721.2 | Change=1.3 => Floor
data,,722.5,721.2,1.3,721.2,Time=0.6s | BaseRaw=722.5 | CurrentRaw=721.2 | Change=1.3 => Floor
data,,722.5,721.2,1.3,721.2,Time=0.7s | BaseRaw=722.5 | CurrentRaw=721.2 | Change=1.3 => Floor
data,,722.5,721.0,1.5,721.0,Time=0.8s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=0.9s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=1.0s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=1.1s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=1.2s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=1.3s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=1.4s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=1.5s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=1.6s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=1.7s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=1.8s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=1.9s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=2.0s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=2.1s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=2.2s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=2.3s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=2.4s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=2.5s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=2.6s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.2,1.3,721.2,Time=2.7s | BaseRaw=722.5 | CurrentRaw=721.2 | Change=1.3 => Floor
data,,722.5,721.2,1.3,721.2,Time=2.8s | BaseRaw=722.5 | CurrentRaw=721.2 | Change=1.3 => Floor
data,,722.5,721.4,1.1,721.4,Time=2.9s | BaseRaw=722.5 | CurrentRaw=721.4 | Change=1.1 => Floor
data,,722.5,721.4,1.1,721.4,Time=3.0s | BaseRaw=722.5 | CurrentRaw=721.4 | Change=1.1 => Floor
data,,722.5,721.4,1.1,721.4,Time=3.1s | BaseRaw=722.5 | CurrentRaw=721.4 | Change=1.1 => Floor
data,,722.5,721.2,1.3,721.2,Time=3.2s | BaseRaw=722.5 | CurrentRaw=721.2 | Change=1.3 => Floor
data,,722.5,721.4,1.1,721.4,Time=3.3s | BaseRaw=722.5 | CurrentRaw=721.4 | Change=1.1 => Floor
data,,722.5,721.2,1.3,721.2,Time=3.4s | BaseRaw=722.5 | CurrentRaw=721.2 | Change=1.3 => Floor
data,,722.5,721.2,1.3,721.2,Time=3.5s | BaseRaw=722.5 | CurrentRaw=721.2 | Change=1.3 => Floor
data,,722.5,721.2,1.3,721.2,Time=3.6s | BaseRaw=722.5 | CurrentRaw=721.2 | Change=1.3 => Floor
data,,722.5,721.2,1.3,721.2,Time=3.7s | BaseRaw=722.5 | CurrentRaw=721.2 | Change=1.3 => Floor
data,,722.5,721.0,1.5,721.0,Time=3.8s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,721.0,1.5,721.0,Time=3.9s | BaseRaw=722.5 | CurrentRaw=721.0 | Change=1.5 => Floor
data,,722.5,720.8,1.7,720.8,Time=4.0s | BaseRaw=722.5 | CurrentRaw=720.8 | Change=1.7 => Floor
data,,722.5,720.6,1.9,720.6,Time=4.1s | BaseRaw=722.5 | CurrentRaw=720.6 | Change=1.9 => Floor
data,,722.5,720.4,2.1,720.4,Time=4.2s | BaseRaw=722.5 | CurrentRaw=720.4 | Change=2.1 => Floor
data,,722.5,720.2,2.3,720.2,Time=4.3s | BaseRaw=722.5 | CurrentRaw=720.2 | Change=2.3 => Floor
data,,722.5,720.2,2.3,720.2,Time=4.4s | BaseRaw=722.5 | CurrentRaw=720.2 | Change=2.3 => Floor
data,,722.5,720.8,1.7,720.8,Time=4.5s | BaseRaw=722.5 | CurrentRaw=720.8 | Change=1.7 => Floor
data,,722.5,723.4,0.9,723.4,Time=4.6s | BaseRaw=722.5 | CurrentRaw=723.4 | Change=0.9 => Floor
data,,722.5,727.2,4.7,727.2,Time=4.7s | BaseRaw=722.5 | CurrentRaw=727.2 | Change=4.7 => Floor
data,,722.5,731.0,8.5,731.0,Time=4.8s | BaseRaw=722.5 | CurrentRaw=731.0 | Change=8.5 => Floor
data,,722.5,738.8,16.3,738.8,Time=4.9s | BaseRaw=722.5 | CurrentRaw=738.8 | Change=16.3 => Liquid
data,,722.5,745.8,23.3,745.8,Time=5.0s | BaseRaw=722.5 | CurrentRaw=745.8 | Change=23.3 => Liquid
data,,722.5,747.2,24.7,747.2,Time=5.1s | BaseRaw=722.5 | CurrentRaw=747.2 | Change=24.7 => Liquid
data,,722.5,746.4,23.9,746.4,Time=5.2s | BaseRaw=722.5 | CurrentRaw=746.4 | Change=23.9 => Liquid
data,,722.5,745.0,22.5,745.0,Time=5.3s | BaseRaw=722.5 | CurrentRaw=745.0 | Change=22.5 => Liquid
data,,722.5,739.6,17.1,739.6,Time=5.4s | BaseRaw=722.5 | CurrentRaw=739.6 | Change=17.1 => Liquid
data,,722.5,734.6,12.1,734.6,Time=5.5s | BaseRaw=722.5 | CurrentRaw=734.6 | Change=12.1 => Liquid
data,,722.5,733.2,10.7,733.2,Time=5.6s | BaseRaw=722.5 | CurrentRaw=733.2 | Change=10.7 => Liquid
data,,722.5,733.0,10.5,733.0,Time=5.7s | BaseRaw=722.5 | CurrentRaw=733.0 | Change=10.5 => Liquid
data,,722.5,733.4,10.9,733.4,Time=5.8s | BaseRaw=722.5 | CurrentRaw=733.4 | Change=10.9 => Liquid
data,,722.5,733.6,11.1,733.6,Time=5.9s | BaseRaw=722.5 | CurrentRaw=733.6 | Change=11.1 => Liquid
data,,722.5,733.8,11.3,733.8,Time=6.0s | BaseRaw=722.5 | CurrentRaw=733.8 | Change=11.3 => Liquid
data,,722.5,734.2,11.7,734.2,Time=6.1s | BaseRaw=722.5 | CurrentRaw=734.2 | Change=11.7 => Liquid
data,,722.5,734.4,11.9,734.4,Time=6.2s | BaseRaw=722.5 | CurrentRaw=734.4 | Change=11.9 => Liquid
data,,722.5,734.6,12.1,734.6,Time=6.3s | BaseRaw=722.5 | CurrentRaw=734.6 | Change=12.1 => Liquid
data,,722.5,734.8,12.3,734.8,Time=6.4s | BaseRaw=722.5 | CurrentRaw=734.8 | Change=12.3 => Liquid
data,,722.5,734.8,12.3,734.8,Time=6.5s | BaseRaw=722.5 | CurrentRaw=734.8 | Change=12.3 => Liquid
