record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,784.40,,,,784.40,Collecting baseline... RawAvg=784.40
baseline,784.40,,,,784.40,Collecting baseline... RawAvg=784.40
baseline,784.40,,,,784.40,Collecting baseline... RawAvg=784.40
baseline,784.40,,,,784.40,Collecting baseline... RawAvg=784.40
baseline,784.60,,,,784.60,Collecting baseline... RawAvg=784.60
baseline,784.80,,,,784.80,Collecting baseline... RawAvg=784.80
baseline,784.80,,,,784.80,Collecting baseline... RawAvg=784.80
baseline,785.00,,,,785.00,Collecting baseline... RawAvg=785.00
baseline,785.00,,,,785.00,Collecting baseline... RawAvg=785.00
baseline,784.80,,,,784.80,Collecting baseline... RawAvg=784.80
baseline,784.60,,,,784.60,Collecting baseline... RawAvg=784.60
baseline,784.60,,,,784.60,Collecting baseline... RawAvg=784.60
baseline,784.60,,,,784.60,Collecting baseline... RawAvg=784.60
baseline,784.60,,,,784.60,Collecting baseline... RawAvg=784.60
baseline,784.80,,,,784.80,Collecting baseline... RawAvg=784.80
baseline,785.20,,,,785.20,Collecting baseline... RawAvg=785.20
baseline,785.60,,,,785.60,Collecting baseline... RawAvg=785.60
baseline,785.80,,,,785.80,Collecting baseline... RawAvg=785.80
baseline,786.20,,,,786.20,Collecting baseline... RawAvg=786.20
baseline,786.40,,,,786.40,Collecting baseline... RawAvg=786.40
baseline,786.40,,,,786.40,Collecting baseline... RawAvg=786.40
baseline,786.20,,,,786.20,Collecting baseline... RawAvg=786.20
baseline,786.20,,,,786.20,Collecting baseline... RawAvg=786.20
baseline,786.20,,,,786.20,Collecting baseline... RawAvg=786.20
baseline,786.40,,,,786.40,Collecting baseline... RawAvg=786.40
baseline,786.60,,,,786.60,Collecting baseline... RawAvg=786.60
baseline,786.80,,,,786.80,Collecting baseline... RawAvg=786.80
baseline,787.00,,,,787.00,Collecting baseline... RawAvg=787.00
baseline,787.00,,,,787.00,Collecting baseline... RawAvg=787.00
baseline,787.00,,,,787.00,Collecting baseline... RawAvg=787.00
baseline,787.00,,,,787.00,Collecting baseline... RawAvg=787.00
baseline,787.00,,,,787.00,Collecting baseline... RawAvg=787.00
baseline,787.00,,,,787.00,Collecting baseline... RawAvg=787.00
baseline,787.00,,,,787.00,Collecting baseline... RawAvg=787.00
baseline,787.00,,,,787.00,Collecting baseline... RawAvg=787.00
baseline,787.00,,,,787.00,Collecting baseline... RawAvg=787.00
baseline,787.00,,,,787.00,Collecting baseline... RawAvg=787.00
baseline,786.80,,,,786.80,Collecting baseline... RawAvg=786.80
baseline,786.00,,,,786.00,Collecting baseline... RawAvg=786.00
baseline,785.20,,,,785.20,Collecting baseline... RawAvg=785.20
baseline,784.40,,,,784.40,Collecting baseline... RawAvg=784.40
baseline,783.60,,,,783.60,Collecting baseline... RawAvg=783.60
baseline,783.00,,,,783.00,Collecting baseline... RawAvg=783.00
baseline,783.20,,,,783.20,Collecting baseline... RawAvg=783.20
baseline,783.60,,,,783.60,Collecting baseline... RawAvg=783.60
baseline,784.00,,,,784.00,Collecting baseline... RawAvg=784.00
baseline,784.60,,,,784.60,Collecting baseline... RawAvg=784.60
baseline,784.60,,,,784.60,Collecting baseline... RawAvg=784.60
baseline,784.60,,,,784.60,Collecting baseline... RawAvg=784.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,785.46,,,785.46,Final Base Raw Average = 785.46
info,,,,,,--------------------------------------------------------------------------
data,,785.5,784.6,0.9,784.6,Time=0.1s | BaseRaw=785.5 | CurrentRaw=784.6 | Change=0.9 => Floor
data,,785.5,784.6,0.9,784.6,Time=0.2s | BaseRaw=785.5 | CurrentRaw=784.6 | Change=0.9 => Floor
data,,785.5,785.0,0.5,785.0,Time=0.3s | BaseRaw=785.5 | CurrentRaw=785.0 | Change=0.5 => Floor
data,,785.5,785.2,0.3,785.2,Time=0.4s | BaseRaw=785.5 | CurrentRaw=785.2 | Change=0.3 => Floor
data,,785.5,785.4,0.1,785.4,Time=0.5s | BaseRaw=785.5 | CurrentRaw=785.4 | Change=0.1 => Floor
data,,785.5,785.6,0.1,785.6,Time=0.6s | BaseRaw=785.5 | CurrentRaw=785.6 | Change=0.1 => Floor
data,,785.5,785.4,0.1,785.4,Time=0.7s | BaseRaw=785.5 | CurrentRaw=785.4 | Change=0.1 => Floor
data,,785.5,785.6,0.1,785.6,Time=0.8s | BaseRaw=785.5 | CurrentRaw=785.6 | Change=0.1 => Floor
data,,785.5,785.6,0.1,785.6,Time=0.9s | BaseRaw=785.5 | CurrentRaw=785.6 | Change=0.1 => Floor
data,,785.5,785.4,0.1,785.4,Time=1.0s | BaseRaw=785.5 | CurrentRaw=785.4 | Change=0.1 => Floor
data,,785.5,785.2,0.3,785.2,Time=1.1s | BaseRaw=785.5 | CurrentRaw=785.2 | Change=0.3 => Floor
data,,785.5,785.2,0.3,785.2,Time=1.2s | BaseRaw=785.5 | CurrentRaw=785.2 | Change=0.3 => Floor
data,,785.5,785.2,0.3,785.2,Time=1.3s | BaseRaw=785.5 | CurrentRaw=785.2 | Change=0.3 => Floor
data,,785.5,785.6,0.1,785.6,Time=1.4s | BaseRaw=785.5 | CurrentRaw=785.6 | Change=0.1 => Floor
data,,785.5,785.6,0.1,785.6,Time=1.5s | BaseRaw=785.5 | CurrentRaw=785.6 | Change=0.1 => Floor
data,,785.5,785.8,0.3,785.8,Time=1.6s | BaseRaw=785.5 | CurrentRaw=785.8 | Change=0.3 => Floor
data,,785.5,785.8,0.3,785.8,Time=1.7s | BaseRaw=785.5 | CurrentRaw=785.8 | Change=0.3 => Floor
data,,785.5,785.6,0.1,785.6,Time=1.8s | BaseRaw=785.5 | CurrentRaw=785.6 | Change=0.1 => Floor
data,,785.5,785.2,0.3,785.2,Time=1.9s | BaseRaw=785.5 | CurrentRaw=785.2 | Change=0.3 => Floor
data,,785.5,785.4,0.1,785.4,Time=2.0s | BaseRaw=785.5 | CurrentRaw=785.4 | Change=0.1 => Floor
data,,785.5,785.4,0.1,785.4,Time=2.1s | BaseRaw=785.5 | CurrentRaw=785.4 | Change=0.1 => Floor
data,,785.5,785.6,0.1,785.6,Time=2.2s | BaseRaw=785.5 | CurrentRaw=785.6 | Change=0.1 => Floor
data,,785.5,785.8,0.3,785.8,Time=2.3s | BaseRaw=785.5 | CurrentRaw=785.8 | Change=0.3 => Floor
data,,785.5,786.0,0.5,786.0,Time=2.4s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.0,0.5,786.0,Time=2.5s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.0,0.5,786.0,Time=2.6s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.0,0.5,786.0,Time=2.7s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.0,0.5,786.0,Time=2.8s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.0,0.5,786.0,Time=2.9s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.0,0.5,786.0,Time=3.0s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.0,0.5,786.0,Time=3.1s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.0,0.5,786.0,Time=3.2s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.0,0.5,786.0,Time=3.3s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.2,0.7,786.2,Time=3.4s | BaseRaw=785.5 | CurrentRaw=786.2 | Change=0.7 => Floor
data,,785.5,786.4,0.9,786.4,Time=3.5s | BaseRaw=785.5 | CurrentRaw=786.4 | Change=0.9 => Floor
data,,785.5,786.4,0.9,786.4,Time=3.6s | BaseRaw=785.5 | CurrentRaw=786.4 | Change=0.9 => Floor
data,,785.5,786.4,0.9,786.4,Time=3.7s | BaseRaw=785.5 | CurrentRaw=786.4 | Change=0.9 => Floor
data,,785.5,786.4,0.9,786.4,Time=3.8s | BaseRaw=785.5 | CurrentRaw=786.4 | Change=0.9 => Floor
data,,785.5,786.2,0.7,786.2,Time=3.9s | BaseRaw=785.5 | CurrentRaw=786.2 | Change=0.7 => Floor
data,,785.5,786.2,0.7,786.2,Time=4.0s | BaseRaw=785.5 | CurrentRaw=786.2 | Change=0.7 => Floor
data,,785.5,786.4,0.9,786.4,Time=4.1s | BaseRaw=785.5 | CurrentRaw=786.4 | Change=0.9 => Floor
data,,785.5,786.4,0.9,786.4,Time=4.2s | BaseRaw=785.5 | CurrentRaw=786.4 | Change=0.9 => Floor
data,,785.5,786.4,0.9,786.4,Time=4.3s | BaseRaw=785.5 | CurrentRaw=786.4 | Change=0.9 => Floor
data,,785.5,786.4,0.9,786.4,Time=4.4s | BaseRaw=785.5 | CurrentRaw=786.4 | Change=0.9 => Floor
data,,785.5,786.2,0.7,786.2,Time=4.5s | BaseRaw=785.5 | CurrentRaw=786.2 | Change=0.7 => Floor
data,,785.5,786.0,0.5,786.0,Time=4.6s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.0,0.5,786.0,Time=4.7s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.0,0.5,786.0,Time=4.8s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.0,0.5,786.0,Time=4.9s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.0,0.5,786.0,Time=5.0s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.0,0.5,786.0,Time=5.1s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.0,0.5,786.0,Time=5.2s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.0,0.5,786.0,Time=5.3s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.0,0.5,786.0,Time=5.4s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,786.2,0.7,786.2,Time=5.5s | BaseRaw=785.5 | CurrentRaw=786.2 | Change=0.7 => Floor
data,,785.5,786.0,0.5,786.0,Time=5.6s | BaseRaw=785.5 | CurrentRaw=786.0 | Change=0.5 => Floor
data,,785.5,785.8,0.3,785.8,Time=5.7s | BaseRaw=785.5 | CurrentRaw=785.8 | Change=0.3 => Floor
data,,785.5,785.2,0.3,785.2,Time=5.8s | BaseRaw=785.5 | CurrentRaw=785.2 | Change=0.3 => Floor
data,,785.5,783.6,1.9,783.6,Time=5.9s | BaseRaw=785.5 | CurrentRaw=783.6 | Change=1.9 => Floor
data,,785.5,780.8,4.7,780.8,Time=6.0s | BaseRaw=785.5 | CurrentRaw=780.8 | Change=4.7 => Floor
data,,785.5,774.4,11.1,774.4,Time=6.1s | BaseRaw=785.5 | CurrentRaw=774.4 | Change=11.1 => Liquid
data,,785.5,765.8,19.7,765.8,Time=6.2s | BaseRaw=785.5 | CurrentRaw=765.8 | Change=19.7 => Liquid
data,,785.5,757.6,27.9,757.6,Time=6.3s | BaseRaw=785.5 | CurrentRaw=757.6 | Change=27.9 => Liquid
data,,785.5,750.6,34.9,750.6,Time=6.4s | BaseRaw=785.5 | CurrentRaw=750.6 | Change=34.9 => Liquid
data,,785.5,744.4,41.1,744.4,Time=6.5s | BaseRaw=785.5 | CurrentRaw=744.4 | Change=41.1 => Liquid
