record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,710.60,,,,710.60,Collecting baseline... RawAvg=710.60
baseline,710.20,,,,710.20,Collecting baseline... RawAvg=710.20
baseline,709.80,,,,709.80,Collecting baseline... RawAvg=709.80
baseline,709.60,,,,709.60,Collecting baseline... RawAvg=709.60
baseline,709.60,,,,709.60,Collecting baseline... RawAvg=709.60
baseline,710.00,,,,710.00,Collecting baseline... RawAvg=710.00
baseline,710.20,,,,710.20,Collecting baseline... RawAvg=710.20
baseline,710.40,,,,710.40,Collecting baseline... RawAvg=710.40
baseline,710.20,,,,710.20,Collecting baseline... RawAvg=710.20
baseline,709.80,,,,709.80,Collecting baseline... RawAvg=709.80
baseline,709.40,,,,709.40,Collecting baseline... RawAvg=709.40
baseline,709.20,,,,709.20,Collecting baseline... RawAvg=709.20
baseline,709.00,,,,709.00,Collecting baseline... RawAvg=709.00
baseline,709.40,,,,709.40,Collecting baseline... RawAvg=709.40
baseline,709.80,,,,709.80,Collecting baseline... RawAvg=709.80
baseline,710.40,,,,710.40,Collecting baseline... RawAvg=710.40
baseline,710.80,,,,710.80,Collecting baseline... RawAvg=710.80
baseline,711.20,,,,711.20,Collecting baseline... RawAvg=711.20
baseline,711.00,,,,711.00,Collecting baseline... RawAvg=711.00
baseline,711.00,,,,711.00,Collecting baseline... RawAvg=711.00
baseline,711.40,,,,711.40,Collecting baseline... RawAvg=711.40
baseline,712.40,,,,712.40,Collecting baseline... RawAvg=712.40
baseline,713.80,,,,713.80,Collecting baseline... RawAvg=713.80
baseline,715.60,,,,715.60,Collecting baseline... RawAvg=715.60
baseline,717.00,,,,717.00,Collecting baseline... RawAvg=717.00
baseline,717.80,,,,717.80,Collecting baseline... RawAvg=717.80
baseline,718.40,,,,718.40,Collecting baseline... RawAvg=718.40
baseline,718.20,,,,718.20,Collecting baseline... RawAvg=718.20
baseline,717.80,,,,717.80,Collecting baseline... RawAvg=717.80
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.80,,,,717.80,Collecting baseline... RawAvg=717.80
baseline,718.00,,,,718.00,Collecting baseline... RawAvg=718.00
baseline,717.80,,,,717.80,Collecting baseline... RawAvg=717.80
baseline,717.60,,,,717.60,Collecting baseline... RawAvg=717.60
baseline,717.40,,,,717.40,Collecting baseline... RawAvg=717.40
baseline,717.20,,,,717.20,Collecting baseline... RawAvg=717.20
baseline,717.20,,,,717.20,Collecting baseline... RawAvg=717.20
baseline,717.80,,,,717.80,Collecting baseline... RawAvg=717.80
baseline,718.40,,,,718.40,Collecting baseline... RawAvg=718.40
baseline,719.20,,,,719.20,Collecting baseline... RawAvg=719.20
baseline,720.20,,,,720.20,Collecting baseline... RawAvg=720.20
baseline,720.60,,,,720.60,Collecting baseline... RawAvg=720.60
baseline,720.40,,,,720.40,Collecting baseline... RawAvg=720.40
baseline,720.20,,,,720.20,Collecting baseline... RawAvg=720.20
baseline,719.80,,,,719.80,Collecting baseline... RawAvg=719.80
baseline,719.40,,,,719.40,Collecting baseline... RawAvg=719.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,714.56,,,714.56,Final Base Raw Average = 714.56
info,,,,,,--------------------------------------------------------------------------
data,,714.6,720.0,5.4,720.0,Time=0.1s | BaseRaw=714.6 | CurrentRaw=720.0 | Change=5.4 => Floor
data,,714.6,720.2,5.6,720.2,Time=0.2s | BaseRaw=714.6 | CurrentRaw=720.2 | Change=5.6 => Floor
data,,714.6,720.0,5.4,720.0,Time=0.3s | BaseRaw=714.6 | CurrentRaw=720.0 | Change=5.4 => Floor
data,,714.6,719.6,5.0,719.6,Time=0.4s | BaseRaw=714.6 | CurrentRaw=719.6 | Change=5.0 => Floor
data,,714.6,718.8,4.2,718.8,Time=0.5s | BaseRaw=714.6 | CurrentRaw=718.8 | Change=4.2 => Floor
data,,714.6,718.2,3.6,718.2,Time=0.6s | BaseRaw=714.6 | CurrentRaw=718.2 | Change=3.6 => Floor
data,,714.6,717.6,3.0,717.6,Time=0.7s | BaseRaw=714.6 | CurrentRaw=717.6 | Change=3.0 => Floor
data,,714.6,717.2,2.6,717.2,Time=0.8s | BaseRaw=714.6 | CurrentRaw=717.2 | Change=2.6 => Floor
data,,714.6,716.8,2.2,716.8,Time=0.9s | BaseRaw=714.6 | CurrentRaw=716.8 | Change=2.2 => Floor
data,,714.6,716.4,1.8,716.4,Time=1.0s | BaseRaw=714.6 | CurrentRaw=716.4 | Change=1.8 => Floor
data,,714.6,716.0,1.4,716.0,Time=1.1s | BaseRaw=714.6 | CurrentRaw=716.0 | Change=1.4 => Floor
data,,714.6,715.2,0.6,715.2,Time=1.2s | BaseRaw=714.6 | CurrentRaw=715.2 | Change=0.6 => Floor
data,,714.6,714.8,0.2,714.8,Time=1.3s | BaseRaw=714.6 | CurrentRaw=714.8 | Change=0.2 => Floor
data,,714.6,714.4,0.2,714.4,Time=1.4s | BaseRaw=714.6 | CurrentRaw=714.4 | Change=0.2 => Floor
data,,714.6,714.0,0.6,714.0,Time=1.5s | BaseRaw=714.6 | CurrentRaw=714.0 | Change=0.6 => Floor
data,,714.6,713.8,0.8,713.8,Time=1.6s | BaseRaw=714.6 | CurrentRaw=713.8 | Change=0.8 => Floor
data,,714.6,713.6,1.0,713.6,Time=1.7s | BaseRaw=714.6 | CurrentRaw=713.6 | Change=1.0 => Floor
data,,714.6,713.8,0.8,713.8,Time=1.8s | BaseRaw=714.6 | CurrentRaw=713.8 | Change=0.8 => Floor
data,,714.6,713.6,1.0,713.6,Time=1.9s | BaseRaw=714.6 | CurrentRaw=713.6 | Change=1.0 => Floor
data,,714.6,713.8,0.8,713.8,Time=2.0s | BaseRaw=714.6 | CurrentRaw=713.8 | Change=0.8 => Floor
data,,714.6,713.8,0.8,713.8,Time=2.1s | BaseRaw=714.6 | CurrentRaw=713.8 | Change=0.8 => Floor
data,,714.6,713.8,0.8,713.8,Time=2.2s | BaseRaw=714.6 | CurrentRaw=713.8 | Change=0.8 => Floor
data,,714.6,713.6,1.0,713.6,Time=2.3s | BaseRaw=714.6 | CurrentRaw=713.6 | Change=1.0 => Floor
data,,714.6,713.6,1.0,713.6,Time=2.4s | BaseRaw=714.6 | CurrentRaw=713.6 | Change=1.0 => Floor
data,,714.6,713.2,1.4,713.2,Time=2.5s | BaseRaw=714.6 | CurrentRaw=713.2 | Change=1.4 => Floor
data,,714.6,712.8,1.8,712.8,Time=2.6s | BaseRaw=714.6 | CurrentRaw=712.8 | Change=1.8 => Floor
data,,714.6,712.6,2.0,712.6,Time=2.7s | BaseRaw=714.6 | CurrentRaw=712.6 | Change=2.0 => Floor
data,,714.6,712.6,2.0,712.6,Time=2.8s | BaseRaw=714.6 | CurrentRaw=712.6 | Change=2.0 => Floor
data,,714.6,712.4,2.2,712.4,Time=2.9s | BaseRaw=714.6 | CurrentRaw=712.4 | Change=2.2 => Floor
data,,714.6,712.4,2.2,712.4,Time=3.0s | BaseRaw=714.6 | CurrentRaw=712.4 | Change=2.2 => Floor
data,,714.6,712.4,2.2,712.4,Time=3.1s | BaseRaw=714.6 | CurrentRaw=712.4 | Change=2.2 => Floor
data,,714.6,712.4,2.2,712.4,Time=3.2s | BaseRaw=714.6 | CurrentRaw=712.4 | Change=2.2 => Floor
data,,714.6,712.4,2.2,712.4,Time=3.3s | BaseRaw=714.6 | CurrentRaw=712.4 | Change=2.2 => Floor
data,,714.6,712.2,2.4,712.2,Time=3.4s | BaseRaw=714.6 | CurrentRaw=712.2 | Change=2.4 => Floor
data,,714.6,712.4,2.2,712.4,Time=3.5s | BaseRaw=714.6 | CurrentRaw=712.4 | Change=2.2 => Floor
data,,714.6,712.4,2.2,712.4,Time=3.6s | BaseRaw=714.6 | CurrentRaw=712.4 | Change=2.2 => Floor
data,,714.6,712.6,2.0,712.6,Time=3.7s | BaseRaw=714.6 | CurrentRaw=712.6 | Change=2.0 => Floor
data,,714.6,712.6,2.0,712.6,Time=3.8s | BaseRaw=714.6 | CurrentRaw=712.6 | Change=2.0 => Floor
data,,714.6,712.8,1.8,712.8,Time=3.9s | BaseRaw=714.6 | CurrentRaw=712.8 | Change=1.8 => Floor
data,,714.6,713.0,1.6,713.0,Time=4.0s | BaseRaw=714.6 | CurrentRaw=713.0 | Change=1.6 => Floor
data,,714.6,713.0,1.6,713.0,Time=4.1s | BaseRaw=714.6 | CurrentRaw=713.0 | Change=1.6 => Floor
data,,714.6,713.2,1.4,713.2,Time=4.2s | BaseRaw=714.6 | CurrentRaw=713.2 | Change=1.4 => Floor
data,,714.6,713.4,1.2,713.4,Time=4.3s | BaseRaw=714.6 | CurrentRaw=713.4 | Change=1.2 => Floor
data,,714.6,713.6,1.0,713.6,Time=4.4s | BaseRaw=714.6 | CurrentRaw=713.6 | Change=1.0 => Floor
data,,714.6,713.8,0.8,713.8,Time=4.5s | BaseRaw=714.6 | CurrentRaw=713.8 | Change=0.8 => Floor
data,,714.6,714.0,0.6,714.0,Time=4.6s | BaseRaw=714.6 | CurrentRaw=714.0 | Change=0.6 => Floor
data,,714.6,714.4,0.2,714.4,Time=4.7s | BaseRaw=714.6 | CurrentRaw=714.4 | Change=0.2 => Floor
data,,714.6,714.6,0.0,714.6,Time=4.8s | BaseRaw=714.6 | CurrentRaw=714.6 | Change=0.0 => Floor
data,,714.6,714.8,0.2,714.8,Time=4.9s | BaseRaw=714.6 | CurrentRaw=714.8 | Change=0.2 => Floor
data,,714.6,715.0,0.4,715.0,Time=5.0s | BaseRaw=714.6 | CurrentRaw=715.0 | Change=0.4 => Floor
data,,714.6,715.0,0.4,715.0,Time=5.1s | BaseRaw=714.6 | CurrentRaw=715.0 | Change=0.4 => Floor
data,,714.6,715.0,0.4,715.0,Time=5.2s | BaseRaw=714.6 | CurrentRaw=715.0 | Change=0.4 => Floor
data,,714.6,715.0,0.4,715.0,Time=5.3s | BaseRaw=714.6 | CurrentRaw=715.0 | Change=0.4 => Floor
data,,714.6,716.2,1.6,716.2,Time=5.4s | BaseRaw=714.6 | CurrentRaw=716.2 | Change=1.6 => Floor
data,,714.6,718.2,3.6,718.2,Time=5.5s | BaseRaw=714.6 | CurrentRaw=718.2 | Change=3.6 => Floor
data,,714.6,719.8,5.2,719.8,Time=5.6s | BaseRaw=714.6 | CurrentRaw=719.8 | Change=5.2 => Floor
data,,714.6,720.2,5.6,720.2,Time=5.7s | BaseRaw=714.6 | CurrentRaw=720.2 | Change=5.6 => Floor
data,,714.6,724.0,9.4,724.0,Time=5.8s | BaseRaw=714.6 | CurrentRaw=724.0 | Change=9.4 => Floor
data,,714.6,724.6,10.0,724.6,Time=5.9s | BaseRaw=714.6 | CurrentRaw=724.6 | Change=10.0 => Liquid
data,,714.6,719.8,5.2,719.8,Time=6.0s | BaseRaw=714.6 | CurrentRaw=719.8 | Change=5.2 => Floor
data,,714.6,716.2,1.6,716.2,Time=6.1s | BaseRaw=714.6 | CurrentRaw=716.2 | Change=1.6 => Floor
data,,714.6,713.8,0.8,713.8,Time=6.2s | BaseRaw=714.6 | CurrentRaw=713.8 | Change=0.8 => Floor
data,,714.6,707.6,7.0,707.6,Time=6.3s | BaseRaw=714.6 | CurrentRaw=707.6 | Change=7.0 => Floor
data,,714.6,704.0,10.6,704.0,Time=6.4s | BaseRaw=714.6 | CurrentRaw=704.0 | Change=10.6 => Liquid
data,,714.6,704.2,10.4,704.2,Time=6.5s | BaseRaw=714.6 | CurrentRaw=704.2 | Change=10.4 => Liquid
