record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,834.0,,,,834.0,Collecting baseline... RawAvg=834.00
baseline,834.0,,,,834.0,Collecting baseline... RawAvg=834.00
baseline,833.8,,,,833.8,Collecting baseline... RawAvg=833.80
baseline,833.8,,,,833.8,Collecting baseline... RawAvg=833.80
baseline,833.6,,,,833.6,Collecting baseline... RawAvg=833.60
baseline,833.6,,,,833.6,Collecting baseline... RawAvg=833.60
baseline,833.6,,,,833.6,Collecting baseline... RawAvg=833.60
baseline,833.6,,,,833.6,Collecting baseline... RawAvg=833.60
baseline,833.4,,,,833.4,Collecting baseline... RawAvg=833.40
baseline,833.8,,,,833.8,Collecting baseline... RawAvg=833.80
baseline,833.8,,,,833.8,Collecting baseline... RawAvg=833.80
baseline,834.0,,,,834.0,Collecting baseline... RawAvg=834.00
baseline,834.4,,,,834.4,Collecting baseline... RawAvg=834.40
baseline,834.8,,,,834.8,Collecting baseline... RawAvg=834.80
baseline,834.8,,,,834.8,Collecting baseline... RawAvg=834.80
baseline,835.0,,,,835.0,Collecting baseline... RawAvg=835.00
baseline,835.0,,,,835.0,Collecting baseline... RawAvg=835.00
baseline,835.0,,,,835.0,Collecting baseline... RawAvg=835.00
baseline,834.8,,,,834.8,Collecting baseline... RawAvg=834.80
baseline,834.8,,,,834.8,Collecting baseline... RawAvg=834.80
baseline,834.8,,,,834.8,Collecting baseline... RawAvg=834.80
baseline,834.8,,,,834.8,Collecting baseline... RawAvg=834.80
baseline,834.8,,,,834.8,Collecting baseline... RawAvg=834.80
baseline,835.0,,,,835.0,Collecting baseline... RawAvg=835.00
baseline,835.0,,,,835.0,Collecting baseline... RawAvg=835.00
baseline,834.8,,,,834.8,Collecting baseline... RawAvg=834.80
baseline,834.8,,,,834.8,Collecting baseline... RawAvg=834.80
baseline,835.0,,,,835.0,Collecting baseline... RawAvg=835.00
baseline,835.0,,,,835.0,Collecting baseline... RawAvg=835.00
baseline,835.0,,,,835.0,Collecting baseline... RawAvg=835.00
baseline,835.2,,,,835.2,Collecting baseline... RawAvg=835.20
baseline,835.2,,,,835.2,Collecting baseline... RawAvg=835.20
baseline,835.0,,,,835.0,Collecting baseline... RawAvg=835.00
baseline,835.0,,,,835.0,Collecting baseline... RawAvg=835.00
baseline,835.0,,,,835.0,Collecting baseline... RawAvg=835.00
baseline,835.2,,,,835.2,Collecting baseline... RawAvg=835.20
baseline,835.2,,,,835.2,Collecting baseline... RawAvg=835.20
baseline,835.2,,,,835.2,Collecting baseline... RawAvg=835.20
baseline,835.2,,,,835.2,Collecting baseline... RawAvg=835.20
baseline,835.2,,,,835.2,Collecting baseline... RawAvg=835.20
baseline,835.0,,,,835.0,Collecting baseline... RawAvg=835.00
baseline,835.0,,,,835.0,Collecting baseline... RawAvg=835.00
baseline,835.0,,,,835.0,Collecting baseline... RawAvg=835.00
baseline,835.0,,,,835.0,Collecting baseline... RawAvg=835.00
baseline,835.0,,,,835.0,Collecting baseline... RawAvg=835.00
baseline,835.0,,,,835.0,Collecting baseline... RawAvg=835.00
baseline,834.8,,,,834.8,Collecting baseline... RawAvg=834.80
baseline,834.8,,,,834.8,Collecting baseline... RawAvg=834.80
baseline,834.6,,,,834.6,Collecting baseline... RawAvg=834.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,834.66,,,834.66,Final Base Raw Average = 834.66
info,,,,,,--------------------------------------------------------------------------
data,,834.7,820.0,14.7,820.0,Time=11.7s | BaseRaw=834.7 | CurrentRaw=820.0 | Change=14.7 => Liquid
data,,834.7,820.4,14.3,820.4,Time=11.8s | BaseRaw=834.7 | CurrentRaw=820.4 | Change=14.3 => Liquid
data,,834.7,821.4,13.3,821.4,Time=11.9s | BaseRaw=834.7 | CurrentRaw=821.4 | Change=13.3 => Liquid
data,,834.7,824.4,10.3,824.4,Time=12.0s | BaseRaw=834.7 | CurrentRaw=824.4 | Change=10.3 => Liquid
data,,834.7,827.8,6.9,827.8,Time=12.1s | BaseRaw=834.7 | CurrentRaw=827.8 | Change=6.9 => Floor
data,,834.7,830.8,3.9,830.8,Time=12.2s | BaseRaw=834.7 | CurrentRaw=830.8 | Change=3.9 => Floor
data,,834.7,833.4,1.3,833.4,Time=12.3s | BaseRaw=834.7 | CurrentRaw=833.4 | Change=1.3 => Floor
data,,834.7,835.4,0.7,835.4,Time=12.4s | BaseRaw=834.7 | CurrentRaw=835.4 | Change=0.7 => Floor
data,,834.7,835.8,1.1,835.8,Time=12.5s | BaseRaw=834.7 | CurrentRaw=835.8 | Change=1.1 => Floor
data,,834.7,835.8,1.1,835.8,Time=12.6s | BaseRaw=834.7 | CurrentRaw=835.8 | Change=1.1 => Floor
