record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,831.8,,,,831.8,Collecting baseline... RawAvg=831.80
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.4,,,,832.4,Collecting baseline... RawAvg=832.40
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.2,,,,832.2,Collecting baseline... RawAvg=832.20
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
baseline,832.0,,,,832.0,Collecting baseline... RawAvg=832.00
info,,,,,,Baseline collection complete! Starting detection.
final_base,,832.2,,,832.2,Final Base Raw Average = 832.20
info,,,,,,--------------------------------------------------------------------------
data,,832.2,852.4,20.2,852.4,Time=10.0s | BaseRaw=832.2 | CurrentRaw=852.4 | Change=20.2 => Liquid
data,,832.2,851.4,19.2,851.4,Time=10.1s | BaseRaw=832.2 | CurrentRaw=851.4 | Change=19.2 => Liquid
data,,832.2,849.2,17.0,849.2,Time=10.2s | BaseRaw=832.2 | CurrentRaw=849.2 | Change=17.0 => Liquid
data,,832.2,846.4,14.2,846.4,Time=10.3s | BaseRaw=832.2 | CurrentRaw=846.4 | Change=14.2 => Liquid
data,,832.2,843.6,11.4,843.6,Time=10.4s | BaseRaw=832.2 | CurrentRaw=843.6 | Change=11.4 => Liquid
data,,832.2,840.0,7.8,840.0,Time=10.5s | BaseRaw=832.2 | CurrentRaw=840.0 | Change=7.8 => Floor
data,,832.2,837.4,5.2,837.4,Time=10.6s | BaseRaw=832.2 | CurrentRaw=837.4 | Change=5.2 => Floor
data,,832.2,835.8,3.6,835.8,Time=10.7s | BaseRaw=832.2 | CurrentRaw=835.8 | Change=3.6 => Floor
data,,832.2,834.8,2.6,834.8,Time=10.8s | BaseRaw=832.2 | CurrentRaw=834.8 | Change=2.6 => Floor
data,,832.2,833.8,1.6,833.8,Time=10.9s | BaseRaw=832.2 | CurrentRaw=833.8 | Change=1.6 => Floor
