record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,784.60,,,,784.60,Collecting baseline... RawAvg=784.60
baseline,781.60,,,,781.60,Collecting baseline... RawAvg=781.60
baseline,777.20,,,,777.20,Collecting baseline... RawAvg=777.20
baseline,772.00,,,,772.00,Collecting baseline... RawAvg=772.00
baseline,767.80,,,,767.80,Collecting baseline... RawAvg=767.80
baseline,771.40,,,,771.40,Collecting baseline... RawAvg=771.40
baseline,777.20,,,,777.20,Collecting baseline... RawAvg=777.20
baseline,785.00,,,,785.00,Collecting baseline... RawAvg=785.00
baseline,791.60,,,,791.60,Collecting baseline... RawAvg=791.60
baseline,793.60,,,,793.60,Collecting baseline... RawAvg=793.60
baseline,790.80,,,,790.80,Collecting baseline... RawAvg=790.80
baseline,783.20,,,,783.20,Collecting baseline... RawAvg=783.20
baseline,774.20,,,,774.20,Collecting baseline... RawAvg=774.20
baseline,768.20,,,,768.20,Collecting baseline... RawAvg=768.20
baseline,768.00,,,,768.00,Collecting baseline... RawAvg=768.00
baseline,773.20,,,,773.20,Collecting baseline... RawAvg=773.20
baseline,781.40,,,,781.40,Collecting baseline... RawAvg=781.40
baseline,788.60,,,,788.60,Collecting baseline... RawAvg=788.60
baseline,791.40,,,,791.40,Collecting baseline... RawAvg=791.40
baseline,788.80,,,,788.80,Collecting baseline... RawAvg=788.80
baseline,781.80,,,,781.80,Collecting baseline... RawAvg=781.80
baseline,773.00,,,,773.00,Collecting baseline... RawAvg=773.00
baseline,767.20,,,,767.20,Collecting baseline... RawAvg=767.20
baseline,767.40,,,,767.40,Collecting baseline... RawAvg=767.40
baseline,773.80,,,,773.80,Collecting baseline... RawAvg=773.80
baseline,783.40,,,,783.40,Collecting baseline... RawAvg=783.40
baseline,792.80,,,,792.80,Collecting baseline... RawAvg=792.80
baseline,798.20,,,,798.20,Collecting baseline... RawAvg=798.20
baseline,797.80,,,,797.80,Collecting baseline... RawAvg=797.80
baseline,792.00,,,,792.00,Collecting baseline... RawAvg=792.00
baseline,783.60,,,,783.60,Collecting baseline... RawAvg=783.60
baseline,776.40,,,,776.40,Collecting baseline... RawAvg=776.40
baseline,774.00,,,,774.00,Collecting baseline... RawAvg=774.00
baseline,777.20,,,,777.20,Collecting baseline... RawAvg=777.20
baseline,784.40,,,,784.40,Collecting baseline... RawAvg=784.40
baseline,792.00,,,,792.00,Collecting baseline... RawAvg=792.00
baseline,796.80,,,,796.80,Collecting baseline... RawAvg=796.80
baseline,796.60,,,,796.60,Collecting baseline... RawAvg=796.60
baseline,791.80,,,,791.80,Collecting baseline... RawAvg=791.80
baseline,783.80,,,,783.80,Collecting baseline... RawAvg=783.80
baseline,776.00,,,,776.00,Collecting baseline... RawAvg=776.00
baseline,773.00,,,,773.00,Collecting baseline... RawAvg=773.00
baseline,775.60,,,,775.60,Collecting baseline... RawAvg=775.60
baseline,782.20,,,,782.20,Collecting baseline... RawAvg=782.20
baseline,789.80,,,,789.80,Collecting baseline... RawAvg=789.80
baseline,795.20,,,,795.20,Collecting baseline... RawAvg=795.20
baseline,795.60,,,,795.60,Collecting baseline... RawAvg=795.60
baseline,791.20,,,,791.20,Collecting baseline... RawAvg=791.20
baseline,783.80,,,,783.80,Collecting baseline... RawAvg=783.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,782.78,,,782.78,Final Base Raw Average = 782.78
info,,,,,,--------------------------------------------------------------------------
data,,782.8,772.4,10.4,772.4,Time=0.1s | BaseRaw=782.8 | CurrentRaw=772.4 | Change=10.4 => Liquid
data,,782.8,773.0,9.8,773.0,Time=0.2s | BaseRaw=782.8 | CurrentRaw=773.0 | Change=9.8 => Floor
data,,782.8,774.6,8.2,774.6,Time=0.3s | BaseRaw=782.8 | CurrentRaw=774.6 | Change=8.2 => Floor
data,,782.8,781.6,1.2,781.6,Time=0.4s | BaseRaw=782.8 | CurrentRaw=781.6 | Change=1.2 => Floor
data,,782.8,780.8,2.0,780.8,Time=0.5s | BaseRaw=782.8 | CurrentRaw=780.8 | Change=2.0 => Floor
data,,782.8,787.0,4.2,787.0,Time=0.6s | BaseRaw=782.8 | CurrentRaw=787.0 | Change=4.2 => Floor
data,,782.8,784.4,1.6,784.4,Time=0.7s | BaseRaw=782.8 | CurrentRaw=784.4 | Change=1.6 => Floor
data,,782.8,783.6,0.8,783.6,Time=0.8s | BaseRaw=782.8 | CurrentRaw=783.6 | Change=0.8 => Floor
data,,782.8,781.2,1.6,781.2,Time=0.9s | BaseRaw=782.8 | CurrentRaw=781.2 | Change=1.6 => Floor
data,,782.8,779.4,3.4,779.4,Time=1.0s | BaseRaw=782.8 | CurrentRaw=779.4 | Change=3.4 => Floor
data,,782.8,779.2,3.6,779.2,Time=1.1s | BaseRaw=782.8 | CurrentRaw=779.2 | Change=3.6 => Floor
data,,782.8,777.4,5.4,777.4,Time=1.2s | BaseRaw=782.8 | CurrentRaw=777.4 | Change=5.4 => Floor
data,,782.8,778.2,4.6,778.2,Time=1.3s | BaseRaw=782.8 | CurrentRaw=778.2 | Change=4.6 => Floor
data,,782.8,776.8,6.0,776.8,Time=1.4s | BaseRaw=782.8 | CurrentRaw=776.8 | Change=6.0 => Floor
data,,782.8,777.2,5.6,777.2,Time=1.5s | BaseRaw=782.8 | CurrentRaw=777.2 | Change=5.6 => Floor
data,,782.8,777.4,5.4,777.4,Time=1.6s | BaseRaw=782.8 | CurrentRaw=777.4 | Change=5.4 => Floor
data,,782.8,777.0,5.8,777.0,Time=1.7s | BaseRaw=782.8 | CurrentRaw=777.0 | Change=5.8 => Floor
data,,782.8,778.4,4.4,778.4,Time=1.8s | BaseRaw=782.8 | CurrentRaw=778.4 | Change=4.4 => Floor
data,,782.8,777.2,5.6,777.2,Time=1.9s | BaseRaw=782.8 | CurrentRaw=777.2 | Change=5.6 => Floor
data,,782.8,778.0,4.8,778.0,Time=2.0s | BaseRaw=782.8 | CurrentRaw=778.0 | Change=4.8 => Floor
data,,782.8,777.6,5.2,777.6,Time=2.1s | BaseRaw=782.8 | CurrentRaw=777.6 | Change=5.2 => Floor
data,,782.8,777.0,5.8,777.0,Time=2.2s | BaseRaw=782.8 | CurrentRaw=777.0 | Change=5.8 => Floor
data,,782.8,778.2,4.6,778.2,Time=2.3s | BaseRaw=782.8 | CurrentRaw=778.2 | Change=4.6 => Floor
data,,782.8,777.2,5.6,777.2,Time=2.4s | BaseRaw=782.8 | CurrentRaw=777.2 | Change=5.6 => Floor
data,,782.8,778.8,4.0,778.8,Time=2.5s | BaseRaw=782.8 | CurrentRaw=778.8 | Change=4.0 => Floor
data,,782.8,778.2,4.6,778.2,Time=2.6s | BaseRaw=782.8 | CurrentRaw=778.2 | Change=4.6 => Floor
data,,782.8,779.0,3.8,779.0,Time=2.7s | BaseRaw=782.8 | CurrentRaw=779.0 | Change=3.8 => Floor
data,,782.8,780.6,2.2,780.6,Time=2.8s | BaseRaw=782.8 | CurrentRaw=780.6 | Change=2.2 => Floor
data,,782.8,779.8,3.0,779.8,Time=2.9s | BaseRaw=782.8 | CurrentRaw=779.8 | Change=3.0 => Floor
data,,782.8,780.8,2.0,780.8,Time=3.0s | BaseRaw=782.8 | CurrentRaw=780.8 | Change=2.0 => Floor
data,,782.8,779.6,3.2,779.6,Time=3.1s | BaseRaw=782.8 | CurrentRaw=779.6 | Change=3.2 => Floor
data,,782.8,779.0,3.8,779.0,Time=3.2s | BaseRaw=782.8 | CurrentRaw=779.0 | Change=3.8 => Floor
data,,782.8,779.2,3.6,779.2,Time=3.3s | BaseRaw=782.8 | CurrentRaw=779.2 | Change=3.6 => Floor
data,,782.8,778.0,4.8,778.0,Time=3.4s | BaseRaw=782.8 | CurrentRaw=778.0 | Change=4.8 => Floor
data,,782.8,778.8,4.0,778.8,Time=3.5s | BaseRaw=782.8 | CurrentRaw=778.8 | Change=4.0 => Floor
data,,782.8,777.2,5.6,777.2,Time=3.6s | BaseRaw=782.8 | CurrentRaw=777.2 | Change=5.6 => Floor
data,,782.8,777.4,5.4,777.4,Time=3.7s | BaseRaw=782.8 | CurrentRaw=777.4 | Change=5.4 => Floor
data,,782.8,777.4,5.4,777.4,Time=3.8s | BaseRaw=782.8 | CurrentRaw=777.4 | Change=5.4 => Floor
data,,782.8,776.8,6.0,776.8,Time=3.9s | BaseRaw=782.8 | CurrentRaw=776.8 | Change=6.0 => Floor
data,,782.8,778.2,4.6,778.2,Time=4.0s | BaseRaw=782.8 | CurrentRaw=778.2 | Change=4.6 => Floor
data,,782.8,777.2,5.6,777.2,Time=4.1s | BaseRaw=782.8 | CurrentRaw=777.2 | Change=5.6 => Floor
data,,782.8,778.0,4.8,778.0,Time=4.2s | BaseRaw=782.8 | CurrentRaw=778.0 | Change=4.8 => Floor
data,,782.8,777.8,5.0,777.8,Time=4.3s | BaseRaw=782.8 | CurrentRaw=777.8 | Change=5.0 => Floor
data,,782.8,777.8,5.0,777.8,Time=4.4s | BaseRaw=782.8 | CurrentRaw=777.8 | Change=5.0 => Floor
data,,782.8,779.4,3.4,779.4,Time=4.5s | BaseRaw=782.8 | CurrentRaw=779.4 | Change=3.4 => Floor
data,,782.8,778.8,4.0,778.8,Time=4.6s | BaseRaw=782.8 | CurrentRaw=778.8 | Change=4.0 => Floor
data,,782.8,780.8,2.0,780.8,Time=4.7s | BaseRaw=782.8 | CurrentRaw=780.8 | Change=2.0 => Floor
data,,782.8,780.6,2.2,780.6,Time=4.8s | BaseRaw=782.8 | CurrentRaw=780.6 | Change=2.2 => Floor
data,,782.8,781.2,1.6,781.2,Time=4.9s | BaseRaw=782.8 | CurrentRaw=781.2 | Change=1.6 => Floor
data,,782.8,782.6,0.2,782.6,Time=5.0s | BaseRaw=782.8 | CurrentRaw=782.6 | Change=0.2 => Floor
data,,782.8,782.0,0.8,782.0,Time=5.1s | BaseRaw=782.8 | CurrentRaw=782.0 | Change=0.8 => Floor
data,,782.8,782.6,0.2,782.6,Time=5.2s | BaseRaw=782.8 | CurrentRaw=782.6 | Change=0.2 => Floor
data,,782.8,781.4,1.4,781.4,Time=5.3s | BaseRaw=782.8 | CurrentRaw=781.4 | Change=1.4 => Floor
data,,782.8,780.8,2.0,780.8,Time=5.4s | BaseRaw=782.8 | CurrentRaw=780.8 | Change=2.0 => Floor
data,,782.8,781.4,1.4,781.4,Time=5.5s | BaseRaw=782.8 | CurrentRaw=781.4 | Change=1.4 => Floor
data,,782.8,780.0,2.8,780.0,Time=5.6s | BaseRaw=782.8 | CurrentRaw=780.0 | Change=2.8 => Floor
data,,782.8,781.2,1.6,781.2,Time=5.7s | BaseRaw=782.8 | CurrentRaw=781.2 | Change=1.6 => Floor
data,,782.8,779.4,3.4,779.4,Time=5.8s | BaseRaw=782.8 | CurrentRaw=779.4 | Change=3.4 => Floor
data,,782.8,779.4,3.4,779.4,Time=5.9s | BaseRaw=782.8 | CurrentRaw=779.4 | Change=3.4 => Floor
data,,782.8,779.4,3.4,779.4,Time=6.0s | BaseRaw=782.8 | CurrentRaw=779.4 | Change=3.4 => Floor
data,,782.8,778.8,4.0,778.8,Time=6.1s | BaseRaw=782.8 | CurrentRaw=778.8 | Change=4.0 => Floor
data,,782.8,779.4,3.4,779.4,Time=6.2s | BaseRaw=782.8 | CurrentRaw=779.4 | Change=3.4 => Floor
data,,782.8,773.2,9.6,773.2,Time=6.3s | BaseRaw=782.8 | CurrentRaw=773.2 | Change=9.6 => Floor
data,,782.8,761.4,21.4,761.4,Time=6.4s | BaseRaw=782.8 | CurrentRaw=761.4 | Change=21.4 => Liquid
data,,782.8,738.0,44.8,738.0,Time=6.5s | BaseRaw=782.8 | CurrentRaw=738.0 | Change=44.8 => Liquid
