record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,668.00,,,,668.00,Collecting baseline... RawAvg=668.00
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.80,,,,668.80,Collecting baseline... RawAvg=668.80
baseline,668.80,,,,668.80,Collecting baseline... RawAvg=668.80
baseline,668.80,,,,668.80,Collecting baseline... RawAvg=668.80
baseline,668.60,,,,668.60,Collecting baseline... RawAvg=668.60
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,669.20,,,,669.20,Collecting baseline... RawAvg=669.20
baseline,669.80,,,,669.80,Collecting baseline... RawAvg=669.80
baseline,670.60,,,,670.60,Collecting baseline... RawAvg=670.60
baseline,670.80,,,,670.80,Collecting baseline... RawAvg=670.80
baseline,670.60,,,,670.60,Collecting baseline... RawAvg=670.60
baseline,669.80,,,,669.80,Collecting baseline... RawAvg=669.80
baseline,669.00,,,,669.00,Collecting baseline... RawAvg=669.00
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.00,,,,668.00,Collecting baseline... RawAvg=668.00
baseline,668.00,,,,668.00,Collecting baseline... RawAvg=668.00
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,668.80,,,,668.80,Collecting baseline... RawAvg=668.80
baseline,669.00,,,,669.00,Collecting baseline... RawAvg=669.00
baseline,669.00,,,,669.00,Collecting baseline... RawAvg=669.00
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,667.60,,,,667.60,Collecting baseline... RawAvg=667.60
baseline,667.20,,,,667.20,Collecting baseline... RawAvg=667.20
baseline,667.00,,,,667.00,Collecting baseline... RawAvg=667.00
baseline,667.20,,,,667.20,Collecting baseline... RawAvg=667.20
baseline,668.00,,,,668.00,Collecting baseline... RawAvg=668.00
baseline,668.60,,,,668.60,Collecting baseline... RawAvg=668.60
baseline,669.00,,,,669.00,Collecting baseline... RawAvg=669.00
baseline,669.00,,,,669.00,Collecting baseline... RawAvg=669.00
baseline,668.40,,,,668.40,Collecting baseline... RawAvg=668.40
baseline,667.40,,,,667.40,Collecting baseline... RawAvg=667.40
baseline,666.80,,,,666.80,Collecting baseline... RawAvg=666.80
baseline,666.20,,,,666.20,Collecting baseline... RawAvg=666.20
baseline,666.00,,,,666.00,Collecting baseline... RawAvg=666.00
baseline,666.40,,,,666.40,Collecting baseline... RawAvg=666.40
baseline,667.00,,,,667.00,Collecting baseline... RawAvg=667.00
baseline,667.40,,,,667.40,Collecting baseline... RawAvg=667.40
baseline,667.80,,,,667.80,Collecting baseline... RawAvg=667.80
baseline,667.60,,,,667.60,Collecting baseline... RawAvg=667.60
baseline,667.20,,,,667.20,Collecting baseline... RawAvg=667.20
baseline,666.80,,,,666.80,Collecting baseline... RawAvg=666.80
baseline,666.60,,,,666.60,Collecting baseline... RawAvg=666.60
baseline,666.40,,,,666.40,Collecting baseline... RawAvg=666.40
baseline,667.00,,,,667.00,Collecting baseline... RawAvg=667.00
baseline,667.40,,,,667.40,Collecting baseline... RawAvg=667.40
baseline,667.80,,,,667.80,Collecting baseline... RawAvg=667.80
baseline,667.80,,,,667.80,Collecting baseline... RawAvg=667.80
info,,,,,,Baseline collection complete! Starting detection.
final_base,,668.11,,,668.11,Final Base Raw Average = 668.11
info,,,,,,--------------------------------------------------------------------------
data,,668.1,667.2,0.9,667.2,Time=0.1s | BaseRaw=668.1 | CurrentRaw=667.2 | Change=0.9 => Floor
data,,668.1,666.6,1.5,666.6,Time=0.2s | BaseRaw=668.1 | CurrentRaw=666.6 | Change=1.5 => Floor
data,,668.1,666.4,1.7,666.4,Time=0.3s | BaseRaw=668.1 | CurrentRaw=666.4 | Change=1.7 => Floor
data,,668.1,665.8,2.3,665.8,Time=0.4s | BaseRaw=668.1 | CurrentRaw=665.8 | Change=2.3 => Floor
data,,668.1,665.8,2.3,665.8,Time=0.5s | BaseRaw=668.1 | CurrentRaw=665.8 | Change=2.3 => Floor
data,,668.1,665.4,2.7,665.4,Time=0.6s | BaseRaw=668.1 | CurrentRaw=665.4 | Change=2.7 => Floor
data,,668.1,665.4,2.7,665.4,Time=0.7s | BaseRaw=668.1 | CurrentRaw=665.4 | Change=2.7 => Floor
data,,668.1,665.2,2.9,665.2,Time=0.8s | BaseRaw=668.1 | CurrentRaw=665.2 | Change=2.9 => Floor
data,,668.1,665.0,3.1,665.0,Time=0.9s | BaseRaw=668.1 | CurrentRaw=665.0 | Change=3.1 => Floor
data,,668.1,664.8,3.3,664.8,Time=1.0s | BaseRaw=668.1 | CurrentRaw=664.8 | Change=3.3 => Floor
data,,668.1,664.8,3.3,664.8,Time=1.1s | BaseRaw=668.1 | CurrentRaw=664.8 | Change=3.3 => Floor
data,,668.1,664.8,3.3,664.8,Time=1.2s | BaseRaw=668.1 | CurrentRaw=664.8 | Change=3.3 => Floor
data,,668.1,664.8,3.3,664.8,Time=1.3s | BaseRaw=668.1 | CurrentRaw=664.8 | Change=3.3 => Floor
data,,668.1,665.0,3.1,665.0,Time=1.4s | BaseRaw=668.1 | CurrentRaw=665.0 | Change=3.1 => Floor
data,,668.1,665.0,3.1,665.0,Time=1.5s | BaseRaw=668.1 | CurrentRaw=665.0 | Change=3.1 => Floor
data,,668.1,665.0,3.1,665.0,Time=1.6s | BaseRaw=668.1 | CurrentRaw=665.0 | Change=3.1 => Floor
data,,668.1,665.0,3.1,665.0,Time=1.7s | BaseRaw=668.1 | CurrentRaw=665.0 | Change=3.1 => Floor
data,,668.1,665.0,3.1,665.0,Time=1.8s | BaseRaw=668.1 | CurrentRaw=665.0 | Change=3.1 => Floor
data,,668.1,665.0,3.1,665.0,Time=1.9s | BaseRaw=668.1 | CurrentRaw=665.0 | Change=3.1 => Floor
data,,668.1,665.0,3.1,665.0,Time=2.0s | BaseRaw=668.1 | CurrentRaw=665.0 | Change=3.1 => Floor
data,,668.1,664.8,3.3,664.8,Time=2.1s | BaseRaw=668.1 | CurrentRaw=664.8 | Change=3.3 => Floor
data,,668.1,665.0,3.1,665.0,Time=2.2s | BaseRaw=668.1 | CurrentRaw=665.0 | Change=3.1 => Floor
data,,668.1,665.0,3.1,665.0,Time=2.3s | BaseRaw=668.1 | CurrentRaw=665.0 | Change=3.1 => Floor
data,,668.1,665.0,3.1,665.0,Time=2.4s | BaseRaw=668.1 | CurrentRaw=665.0 | Change=3.1 => Floor
data,,668.1,665.0,3.1,665.0,Time=2.5s | BaseRaw=668.1 | CurrentRaw=665.0 | Change=3.1 => Floor
data,,668.1,665.2,2.9,665.2,Time=2.6s | BaseRaw=668.1 | CurrentRaw=665.2 | Change=2.9 => Floor
data,,668.1,665.4,2.7,665.4,Time=2.7s | BaseRaw=668.1 | CurrentRaw=665.4 | Change=2.7 => Floor
data,,668.1,665.2,2.9,665.2,Time=2.8s | BaseRaw=668.1 | CurrentRaw=665.2 | Change=2.9 => Floor
data,,668.1,665.4,2.7,665.4,Time=2.9s | BaseRaw=668.1 | CurrentRaw=665.4 | Change=2.7 => Floor
data,,668.1,665.4,2.7,665.4,Time=3.0s | BaseRaw=668.1 | CurrentRaw=665.4 | Change=2.7 => Floor
data,,668.1,665.4,2.7,665.4,Time=3.1s | BaseRaw=668.1 | CurrentRaw=665.4 | Change=2.7 => Floor
data,,668.1,665.2,2.9,665.2,Time=3.2s | BaseRaw=668.1 | CurrentRaw=665.2 | Change=2.9 => Floor
data,,668.1,665.0,3.1,665.0,Time=3.3s | BaseRaw=668.1 | CurrentRaw=665.0 | Change=3.1 => Floor
data,,668.1,665.0,3.1,665.0,Time=3.4s | BaseRaw=668.1 | CurrentRaw=665.0 | Change=3.1 => Floor
data,,668.1,665.0,3.1,665.0,Time=3.5s | BaseRaw=668.1 | CurrentRaw=665.0 | Change=3.1 => Floor
data,,668.1,665.2,2.9,665.2,Time=3.6s | BaseRaw=668.1 | CurrentRaw=665.2 | Change=2.9 => Floor
data,,668.1,665.6,2.5,665.6,Time=3.7s | BaseRaw=668.1 | CurrentRaw=665.6 | Change=2.5 => Floor
data,,668.1,666.0,2.1,666.0,Time=3.8s | BaseRaw=668.1 | CurrentRaw=666.0 | Change=2.1 => Floor
data,,668.1,666.2,1.9,666.2,Time=3.9s | BaseRaw=668.1 | CurrentRaw=666.2 | Change=1.9 => Floor
data,,668.1,666.4,1.7,666.4,Time=4.0s | BaseRaw=668.1 | CurrentRaw=666.4 | Change=1.7 => Floor
data,,668.1,666.4,1.7,666.4,Time=4.1s | BaseRaw=668.1 | CurrentRaw=666.4 | Change=1.7 => Floor
data,,668.1,666.2,1.9,666.2,Time=4.2s | BaseRaw=668.1 | CurrentRaw=666.2 | Change=1.9 => Floor
data,,668.1,665.8,2.3,665.8,Time=4.3s | BaseRaw=668.1 | CurrentRaw=665.8 | Change=2.3 => Floor
data,,668.1,665.4,2.7,665.4,Time=4.4s | BaseRaw=668.1 | CurrentRaw=665.4 | Change=2.7 => Floor
data,,668.1,664.0,4.1,664.0,Time=4.5s | BaseRaw=668.1 | CurrentRaw=664.0 | Change=4.1 => Floor
data,,668.1,662.8,5.3,662.8,Time=4.6s | BaseRaw=668.1 | CurrentRaw=662.8 | Change=5.3 => Floor
data,,668.1,661.8,6.3,661.8,Time=4.7s | BaseRaw=668.1 | CurrentRaw=661.8 | Change=6.3 => Floor
data,,668.1,661.4,6.7,661.4,Time=4.8s | BaseRaw=668.1 | CurrentRaw=661.4 | Change=6.7 => Floor
data,,668.1,661.8,6.3,661.8,Time=4.9s | BaseRaw=668.1 | CurrentRaw=661.8 | Change=6.3 => Floor
data,,668.1,662.8,5.3,662.8,Time=5.0s | BaseRaw=668.1 | CurrentRaw=662.8 | Change=5.3 => Floor
data,,668.1,663.8,4.3,663.8,Time=5.1s | BaseRaw=668.1 | CurrentRaw=663.8 | Change=4.3 => Floor
data,,668.1,664.4,3.7,664.4,Time=5.2s | BaseRaw=668.1 | CurrentRaw=664.4 | Change=3.7 => Floor
data,,668.1,664.6,3.5,664.6,Time=5.3s | BaseRaw=668.1 | CurrentRaw=664.6 | Change=3.5 => Floor
data,,668.1,664.2,3.9,664.2,Time=5.4s | BaseRaw=668.1 | CurrentRaw=664.2 | Change=3.9 => Floor
data,,668.1,663.6,4.5,663.6,Time=5.5s | BaseRaw=668.1 | CurrentRaw=663.6 | Change=4.5 => Floor
data,,668.1,663.4,4.7,663.4,Time=5.6s | BaseRaw=668.1 | CurrentRaw=663.4 | Change=4.7 => Floor
data,,668.1,663.0,5.1,663.0,Time=5.7s | BaseRaw=668.1 | CurrentRaw=663.0 | Change=5.1 => Floor
data,,668.1,662.6,5.5,662.6,Time=5.8s | BaseRaw=668.1 | CurrentRaw=662.6 | Change=5.5 => Floor
data,,668.1,662.6,5.5,662.6,Time=5.9s | BaseRaw=668.1 | CurrentRaw=662.6 | Change=5.5 => Floor
data,,668.1,662.6,5.5,662.6,Time=6.0s | BaseRaw=668.1 | CurrentRaw=662.6 | Change=5.5 => Floor
data,,668.1,662.6,5.5,662.6,Time=6.1s | BaseRaw=668.1 | CurrentRaw=662.6 | Change=5.5 => Floor
data,,668.1,662.8,5.3,662.8,Time=6.2s | BaseRaw=668.1 | CurrentRaw=662.8 | Change=5.3 => Floor
data,,668.1,663.0,5.1,663.0,Time=6.3s | BaseRaw=668.1 | CurrentRaw=663.0 | Change=5.1 => Floor
data,,668.1,663.0,5.1,663.0,Time=6.4s | BaseRaw=668.1 | CurrentRaw=663.0 | Change=5.1 => Floor
data,,668.1,662.8,5.3,662.8,Time=6.5s | BaseRaw=668.1 | CurrentRaw=662.8 | Change=5.3 => Floor
