record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,698.00,,,,698.00,Collecting baseline... RawAvg=698.00
baseline,698.40,,,,698.40,Collecting baseline... RawAvg=698.40
baseline,698.80,,,,698.80,Collecting baseline... RawAvg=698.80
baseline,699.20,,,,699.20,Collecting baseline... RawAvg=699.20
baseline,699.80,,,,699.80,Collecting baseline... RawAvg=699.80
baseline,700.00,,,,700.00,Collecting baseline... RawAvg=700.00
baseline,699.60,,,,699.60,Collecting baseline... RawAvg=699.60
baseline,699.00,,,,699.00,Collecting baseline... RawAvg=699.00
baseline,698.40,,,,698.40,Collecting baseline... RawAvg=698.40
baseline,697.80,,,,697.80,Collecting baseline... RawAvg=697.80
baseline,697.80,,,,697.80,Collecting baseline... RawAvg=697.80
baseline,698.00,,,,698.00,Collecting baseline... RawAvg=698.00
baseline,698.40,,,,698.40,Collecting baseline... RawAvg=698.40
baseline,698.80,,,,698.80,Collecting baseline... RawAvg=698.80
baseline,698.60,,,,698.60,Collecting baseline... RawAvg=698.60
baseline,698.20,,,,698.20,Collecting baseline... RawAvg=698.20
baseline,698.20,,,,698.20,Collecting baseline... RawAvg=698.20
baseline,698.00,,,,698.00,Collecting baseline... RawAvg=698.00
baseline,698.00,,,,698.00,Collecting baseline... RawAvg=698.00
baseline,698.60,,,,698.60,Collecting baseline... RawAvg=698.60
baseline,699.00,,,,699.00,Collecting baseline... RawAvg=699.00
baseline,699.40,,,,699.40,Collecting baseline... RawAvg=699.40
baseline,700.00,,,,700.00,Collecting baseline... RawAvg=700.00
baseline,699.80,,,,699.80,Collecting baseline... RawAvg=699.80
baseline,699.40,,,,699.40,Collecting baseline... RawAvg=699.40
baseline,699.20,,,,699.20,Collecting baseline... RawAvg=699.20
baseline,698.60,,,,698.60,Collecting baseline... RawAvg=698.60
baseline,698.00,,,,698.00,Collecting baseline... RawAvg=698.00
baseline,698.40,,,,698.40,Collecting baseline... RawAvg=698.40
baseline,698.80,,,,698.80,Collecting baseline... RawAvg=698.80
baseline,699.00,,,,699.00,Collecting baseline... RawAvg=699.00
baseline,699.40,,,,699.40,Collecting baseline... RawAvg=699.40
baseline,699.20,,,,699.20,Collecting baseline... RawAvg=699.20
baseline,698.60,,,,698.60,Collecting baseline... RawAvg=698.60
baseline,698.20,,,,698.20,Collecting baseline... RawAvg=698.20
baseline,698.00,,,,698.00,Collecting baseline... RawAvg=698.00
baseline,697.80,,,,697.80,Collecting baseline... RawAvg=697.80
baseline,698.20,,,,698.20,Collecting baseline... RawAvg=698.20
baseline,698.80,,,,698.80,Collecting baseline... RawAvg=698.80
baseline,699.20,,,,699.20,Collecting baseline... RawAvg=699.20
baseline,699.60,,,,699.60,Collecting baseline... RawAvg=699.60
baseline,699.40,,,,699.40,Collecting baseline... RawAvg=699.40
baseline,699.00,,,,699.00,Collecting baseline... RawAvg=699.00
baseline,698.60,,,,698.60,Collecting baseline... RawAvg=698.60
baseline,698.40,,,,698.40,Collecting baseline... RawAvg=698.40
baseline,698.20,,,,698.20,Collecting baseline... RawAvg=698.20
baseline,698.60,,,,698.60,Collecting baseline... RawAvg=698.60
baseline,699.00,,,,699.00,Collecting baseline... RawAvg=699.00
baseline,699.20,,,,699.20,Collecting baseline... RawAvg=699.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,698.75,,,698.75,Final Base Raw Average = 698.75
info,,,,,,--------------------------------------------------------------------------
data,,698.7,699.2,0.5,699.2,Time=0.1s | BaseRaw=698.7 | CurrentRaw=699.2 | Change=0.5 => Floor
data,,698.7,699.0,0.3,699.0,Time=0.2s | BaseRaw=698.7 | CurrentRaw=699.0 | Change=0.3 => Floor
data,,698.7,699.2,0.5,699.2,Time=0.3s | BaseRaw=698.7 | CurrentRaw=699.2 | Change=0.5 => Floor
data,,698.7,698.8,0.1,698.8,Time=0.4s | BaseRaw=698.7 | CurrentRaw=698.8 | Change=0.1 => Floor
data,,698.7,699.0,0.3,699.0,Time=0.5s | BaseRaw=698.7 | CurrentRaw=699.0 | Change=0.3 => Floor
data,,698.7,698.8,0.1,698.8,Time=0.6s | BaseRaw=698.7 | CurrentRaw=698.8 | Change=0.1 => Floor
data,,698.7,698.8,0.1,698.8,Time=0.7s | BaseRaw=698.7 | CurrentRaw=698.8 | Change=0.1 => Floor
data,,698.7,698.8,0.1,698.8,Time=0.8s | BaseRaw=698.7 | CurrentRaw=698.8 | Change=0.1 => Floor
data,,698.7,699.0,0.3,699.0,Time=0.9s | BaseRaw=698.7 | CurrentRaw=699.0 | Change=0.3 => Floor
data,,698.7,699.0,0.3,699.0,Time=1.0s | BaseRaw=698.7 | CurrentRaw=699.0 | Change=0.3 => Floor
data,,698.7,699.0,0.3,699.0,Time=1.1s | BaseRaw=698.7 | CurrentRaw=699.0 | Change=0.3 => Floor
data,,698.7,699.0,0.3,699.0,Time=1.2s | BaseRaw=698.7 | CurrentRaw=699.0 | Change=0.3 => Floor
data,,698.7,699.0,0.3,699.0,Time=1.3s | BaseRaw=698.7 | CurrentRaw=699.0 | Change=0.3 => Floor
data,,698.7,699.0,0.3,699.0,Time=1.4s | BaseRaw=698.7 | CurrentRaw=699.0 | Change=0.3 => Floor
data,,698.7,698.8,0.1,698.8,Time=1.5s | BaseRaw=698.7 | CurrentRaw=698.8 | Change=0.1 => Floor
data,,698.7,698.8,0.1,698.8,Time=1.6s | BaseRaw=698.7 | CurrentRaw=698.8 | Change=0.1 => Floor
data,,698.7,698.8,0.1,698.8,Time=1.7s | BaseRaw=698.7 | CurrentRaw=698.8 | Change=0.1 => Floor
data,,698.7,698.6,0.1,698.6,Time=1.8s | BaseRaw=698.7 | CurrentRaw=698.6 | Change=0.1 => Floor
data,,698.7,698.8,0.1,698.8,Time=1.9s | BaseRaw=698.7 | CurrentRaw=698.8 | Change=0.1 => Floor
data,,698.7,698.8,0.1,698.8,Time=2.0s | BaseRaw=698.7 | CurrentRaw=698.8 | Change=0.1 => Floor
data,,698.7,698.6,0.1,698.6,Time=2.1s | BaseRaw=698.7 | CurrentRaw=698.6 | Change=0.1 => Floor
data,,698.7,698.8,0.1,698.8,Time=2.2s | BaseRaw=698.7 | CurrentRaw=698.8 | Change=0.1 => Floor
data,,698.7,698.8,0.1,698.8,Time=2.3s | BaseRaw=698.7 | CurrentRaw=698.8 | Change=0.1 => Floor
data,,698.7,698.6,0.1,698.6,Time=2.4s | BaseRaw=698.7 | CurrentRaw=698.6 | Change=0.1 => Floor
data,,698.7,698.6,0.1,698.6,Time=2.5s | BaseRaw=698.7 | CurrentRaw=698.6 | Change=0.1 => Floor
data,,698.7,698.6,0.1,698.6,Time=2.6s | BaseRaw=698.7 | CurrentRaw=698.6 | Change=0.1 => Floor
data,,698.7,698.6,0.1,698.6,Time=2.7s | BaseRaw=698.7 | CurrentRaw=698.6 | Change=0.1 => Floor
data,,698.7,698.4,0.3,698.4,Time=2.8s | BaseRaw=698.7 | CurrentRaw=698.4 | Change=0.3 => Floor
data,,698.7,698.4,0.3,698.4,Time=2.9s | BaseRaw=698.7 | CurrentRaw=698.4 | Change=0.3 => Floor
data,,698.7,698.4,0.3,698.4,Time=3.0s | BaseRaw=698.7 | CurrentRaw=698.4 | Change=0.3 => Floor
data,,698.7,698.6,0.1,698.6,Time=3.1s | BaseRaw=698.7 | CurrentRaw=698.6 | Change=0.1 => Floor
data,,698.7,698.8,0.1,698.8,Time=3.2s | BaseRaw=698.7 | CurrentRaw=698.8 | Change=0.1 => Floor
data,,698.7,698.8,0.1,698.8,Time=3.3s | BaseRaw=698.7 | CurrentRaw=698.8 | Change=0.1 => Floor
data,,698.7,699.0,0.3,699.0,Time=3.4s | BaseRaw=698.7 | CurrentRaw=699.0 | Change=0.3 => Floor
data,,698.7,699.0,0.3,699.0,Time=3.5s | BaseRaw=698.7 | CurrentRaw=699.0 | Change=0.3 => Floor
data,,698.7,699.2,0.5,699.2,Time=3.6s | BaseRaw=698.7 | CurrentRaw=699.2 | Change=0.5 => Floor
data,,698.7,699.2,0.5,699.2,Time=3.7s | BaseRaw=698.7 | CurrentRaw=699.2 | Change=0.5 => Floor
data,,698.7,699.4,0.7,699.4,Time=3.8s | BaseRaw=698.7 | CurrentRaw=699.4 | Change=0.7 => Floor
data,,698.7,699.8,1.1,699.8,Time=3.9s | BaseRaw=698.7 | CurrentRaw=699.8 | Change=1.1 => Floor
data,,698.7,700.4,1.7,700.4,Time=4.0s | BaseRaw=698.7 | CurrentRaw=700.4 | Change=1.7 => Floor
data,,698.7,701.0,2.3,701.0,Time=4.1s | BaseRaw=698.7 | CurrentRaw=701.0 | Change=2.3 => Floor
data,,698.7,702.0,3.3,702.0,Time=4.2s | BaseRaw=698.7 | CurrentRaw=702.0 | Change=3.3 => Floor
data,,698.7,703.2,4.5,703.2,Time=4.3s | BaseRaw=698.7 | CurrentRaw=703.2 | Change=4.5 => Floor
data,,698.7,704.4,5.7,704.4,Time=4.4s | BaseRaw=698.7 | CurrentRaw=704.4 | Change=5.7 => Floor
data,,698.7,705.2,6.5,705.2,Time=4.5s | BaseRaw=698.7 | CurrentRaw=705.2 | Change=6.5 => Floor
data,,698.7,706.2,7.5,706.2,Time=4.6s | BaseRaw=698.7 | CurrentRaw=706.2 | Change=7.5 => Floor
data,,698.7,706.6,7.9,706.6,Time=4.7s | BaseRaw=698.7 | CurrentRaw=706.6 | Change=7.9 => Floor
data,,698.7,706.6,7.9,706.6,Time=4.8s | BaseRaw=698.7 | CurrentRaw=706.6 | Change=7.9 => Floor
data,,698.7,706.6,7.9,706.6,Time=4.9s | BaseRaw=698.7 | CurrentRaw=706.6 | Change=7.9 => Floor
data,,698.7,706.6,7.9,706.6,Time=5.0s | BaseRaw=698.7 | CurrentRaw=706.6 | Change=7.9 => Floor
data,,698.7,706.6,7.9,706.6,Time=5.1s | BaseRaw=698.7 | CurrentRaw=706.6 | Change=7.9 => Floor
data,,698.7,706.4,7.7,706.4,Time=5.2s | BaseRaw=698.7 | CurrentRaw=706.4 | Change=7.7 => Floor
data,,698.7,707.2,8.5,707.2,Time=5.3s | BaseRaw=698.7 | CurrentRaw=707.2 | Change=8.5 => Floor
data,,698.7,708.6,9.9,708.6,Time=5.4s | BaseRaw=698.7 | CurrentRaw=708.6 | Change=9.9 => Floor
data,,698.7,710.2,11.5,710.2,Time=5.5s | BaseRaw=698.7 | CurrentRaw=710.2 | Change=11.5 => Liquid
data,,698.7,712.2,13.5,712.2,Time=5.6s | BaseRaw=698.7 | CurrentRaw=712.2 | Change=13.5 => Liquid
data,,698.7,714.0,15.3,714.0,Time=5.7s | BaseRaw=698.7 | CurrentRaw=714.0 | Change=15.3 => Liquid
data,,698.7,715.4,16.7,715.4,Time=5.8s | BaseRaw=698.7 | CurrentRaw=715.4 | Change=16.7 => Liquid
data,,698.7,716.2,17.5,716.2,Time=5.9s | BaseRaw=698.7 | CurrentRaw=716.2 | Change=17.5 => Liquid
data,,698.7,716.8,18.1,716.8,Time=6.0s | BaseRaw=698.7 | CurrentRaw=716.8 | Change=18.1 => Liquid
data,,698.7,716.6,17.9,716.6,Time=6.1s | BaseRaw=698.7 | CurrentRaw=716.6 | Change=17.9 => Liquid
data,,698.7,717.0,18.3,717.0,Time=6.2s | BaseRaw=698.7 | CurrentRaw=717.0 | Change=18.3 => Liquid
data,,698.7,717.2,18.5,717.2,Time=6.3s | BaseRaw=698.7 | CurrentRaw=717.2 | Change=18.5 => Liquid
data,,698.7,717.0,18.3,717.0,Time=6.4s | BaseRaw=698.7 | CurrentRaw=717.0 | Change=18.3 => Liquid
data,,698.7,717.2,18.5,717.2,Time=6.5s | BaseRaw=698.7 | CurrentRaw=717.2 | Change=18.5 => Liquid
