record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,817.8,,,,817.8,Collecting baseline... RawAvg=817.80
baseline,817.2,,,,817.2,Collecting baseline... RawAvg=817.20
baseline,817.0,,,,817.0,Collecting baseline... RawAvg=817.00
baseline,817.0,,,,817.0,Collecting baseline... RawAvg=817.00
baseline,817.2,,,,817.2,Collecting baseline... RawAvg=817.20
baseline,817.4,,,,817.4,Collecting baseline... RawAvg=817.40
baseline,817.6,,,,817.6,Collecting baseline... RawAvg=817.60
baseline,817.6,,,,817.6,Collecting baseline... RawAvg=817.60
baseline,817.2,,,,817.2,Collecting baseline... RawAvg=817.20
baseline,816.6,,,,816.6,Collecting baseline... RawAvg=816.60
baseline,816.2,,,,816.2,Collecting baseline... RawAvg=816.20
baseline,816.2,,,,816.2,Collecting baseline... RawAvg=816.20
baseline,816.2,,,,816.2,Collecting baseline... RawAvg=816.20
baseline,816.6,,,,816.6,Collecting baseline... RawAvg=816.60
baseline,817.0,,,,817.0,Collecting baseline... RawAvg=817.00
baseline,817.2,,,,817.2,Collecting baseline... RawAvg=817.20
baseline,817.0,,,,817.0,Collecting baseline... RawAvg=817.00
baseline,816.8,,,,816.8,Collecting baseline... RawAvg=816.80
baseline,816.4,,,,816.4,Collecting baseline... RawAvg=816.40
baseline,816.2,,,,816.2,Collecting baseline... RawAvg=816.20
baseline,816.2,,,,816.2,Collecting baseline... RawAvg=816.20
baseline,816.6,,,,816.6,Collecting baseline... RawAvg=816.60
baseline,816.8,,,,816.8,Collecting baseline... RawAvg=816.80
baseline,817.0,,,,817.0,Collecting baseline... RawAvg=817.00
baseline,817.4,,,,817.4,Collecting baseline... RawAvg=817.40
baseline,817.4,,,,817.4,Collecting baseline... RawAvg=817.40
baseline,817.0,,,,817.0,Collecting baseline... RawAvg=817.00
baseline,817.0,,,,817.0,Collecting baseline... RawAvg=817.00
baseline,817.0,,,,817.0,Collecting baseline... RawAvg=817.00
baseline,816.8,,,,816.8,Collecting baseline... RawAvg=816.80
baseline,817.0,,,,817.0,Collecting baseline... RawAvg=817.00
baseline,817.4,,,,817.4,Collecting baseline... RawAvg=817.40
baseline,817.6,,,,817.6,Collecting baseline... RawAvg=817.60
baseline,817.4,,,,817.4,Collecting baseline... RawAvg=817.40
baseline,817.2,,,,817.2,Collecting baseline... RawAvg=817.20
baseline,816.8,,,,816.8,Collecting baseline... RawAvg=816.80
baseline,816.4,,,,816.4,Collecting baseline... RawAvg=816.40
baseline,816.2,,,,816.2,Collecting baseline... RawAvg=816.20
baseline,816.6,,,,816.6,Collecting baseline... RawAvg=816.60
baseline,817.0,,,,817.0,Collecting baseline... RawAvg=817.00
baseline,817.4,,,,817.4,Collecting baseline... RawAvg=817.40
baseline,817.6,,,,817.6,Collecting baseline... RawAvg=817.60
baseline,817.4,,,,817.4,Collecting baseline... RawAvg=817.40
baseline,817.0,,,,817.0,Collecting baseline... RawAvg=817.00
baseline,816.6,,,,816.6,Collecting baseline... RawAvg=816.60
baseline,816.4,,,,816.4,Collecting baseline... RawAvg=816.40
baseline,816.4,,,,816.4,Collecting baseline... RawAvg=816.40
baseline,816.8,,,,816.8,Collecting baseline... RawAvg=816.80
baseline,817.2,,,,817.2,Collecting baseline... RawAvg=817.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,816.94,,,816.94,Final Base Raw Average = 816.94
info,,,,,,--------------------------------------------------------------------------
data,,816.9,823.2,6.3,823.2,Time=12.1s | BaseRaw=816.9 | CurrentRaw=823.2 | Change=6.3 => Floor
data,,816.9,823.6,6.7,823.6,Time=12.2s | BaseRaw=816.9 | CurrentRaw=823.6 | Change=6.7 => Floor
data,,816.9,823.4,6.5,823.4,Time=12.3s | BaseRaw=816.9 | CurrentRaw=823.4 | Change=6.5 => Floor
data,,816.9,824.0,7.1,824.0,Time=12.4s | BaseRaw=816.9 | CurrentRaw=824.0 | Change=7.1 => Floor
data,,816.9,823.8,6.9,823.8,Time=12.5s | BaseRaw=816.9 | CurrentRaw=823.8 | Change=6.9 => Floor
data,,816.9,823.8,6.9,823.8,Time=12.6s | BaseRaw=816.9 | CurrentRaw=823.8 | Change=6.9 => Floor
data,,816.9,823.6,6.7,823.6,Time=12.7s | BaseRaw=816.9 | CurrentRaw=823.6 | Change=6.7 => Floor
data,,816.9,823.4,6.5,823.4,Time=12.8s | BaseRaw=816.9 | CurrentRaw=823.4 | Change=6.5 => Floor
data,,816.9,822.8,5.9,822.8,Time=12.9s | BaseRaw=816.9 | CurrentRaw=822.8 | Change=5.9 => Floor
data,,816.9,822.2,5.3,822.2,Time=13.0s | BaseRaw=816.9 | CurrentRaw=822.2 | Change=5.3 => Floor
data,,816.9,821.6,4.7,821.6,Time=13.1s | BaseRaw=816.9 | CurrentRaw=821.6 | Change=4.7 => Floor
data,,816.9,820.8,3.9,820.8,Time=13.2s | BaseRaw=816.9 | CurrentRaw=820.8 | Change=3.9 => Floor
data,,816.9,820.6,3.7,820.6,Time=13.3s | BaseRaw=816.9 | CurrentRaw=820.6 | Change=3.7 => Floor
data,,816.9,819.8,2.9,819.8,Time=13.4s | BaseRaw=816.9 | CurrentRaw=819.8 | Change=2.9 => Floor
data,,816.9,819.6,2.7,819.6,Time=13.5s | BaseRaw=816.9 | CurrentRaw=819.6 | Change=2.7 => Floor
data,,816.9,818.8,1.9,818.8,Time=13.6s | BaseRaw=816.9 | CurrentRaw=818.8 | Change=1.9 => Floor
data,,816.9,818.6,1.7,818.6,Time=13.7s | BaseRaw=816.9 | CurrentRaw=818.6 | Change=1.7 => Floor
data,,816.9,817.8,0.9,817.8,Time=13.8s | BaseRaw=816.9 | CurrentRaw=817.8 | Change=0.9 => Floor
data,,816.9,818.4,1.5,818.4,Time=13.9s | BaseRaw=816.9 | CurrentRaw=818.4 | Change=1.5 => Floor
data,,816.9,818.8,1.9,818.8,Time=14.0s | BaseRaw=816.9 | CurrentRaw=818.8 | Change=1.9 => Floor
data,,816.9,819.0,2.1,819.0,Time=14.1s | BaseRaw=816.9 | CurrentRaw=819.0 | Change=2.1 => Floor
data,,816.9,819.2,2.3,819.2,Time=14.2s | BaseRaw=816.9 | CurrentRaw=819.2 | Change=2.3 => Floor
data,,816.9,819.2,2.3,819.2,Time=14.3s | BaseRaw=816.9 | CurrentRaw=819.2 | Change=2.3 => Floor
data,,816.9,818.8,1.9,818.8,Time=14.4s | BaseRaw=816.9 | CurrentRaw=818.8 | Change=1.9 => Floor
data,,816.9,818.0,1.1,818.0,Time=14.5s | BaseRaw=816.9 | CurrentRaw=818.0 | Change=1.1 => Floor
data,,816.9,818.4,1.5,818.4,Time=14.6s | BaseRaw=816.9 | CurrentRaw=818.4 | Change=1.5 => Floor
data,,816.9,818.0,1.1,818.0,Time=14.7s | BaseRaw=816.9 | CurrentRaw=818.0 | Change=1.1 => Floor
data,,816.9,818.4,1.5,818.4,Time=14.8s | BaseRaw=816.9 | CurrentRaw=818.4 | Change=1.5 => Floor
data,,816.9,818.0,1.1,818.0,Time=14.9s | BaseRaw=816.9 | CurrentRaw=818.0 | Change=1.1 => Floor
data,,816.9,818.4,1.5,818.4,Time=15.0s | BaseRaw=816.9 | CurrentRaw=818.4 | Change=1.5 => Floor
data,,816.9,817.8,0.9,817.8,Time=15.1s | BaseRaw=816.9 | CurrentRaw=817.8 | Change=0.9 => Floor
data,,816.9,818.0,1.1,818.0,Time=15.2s | BaseRaw=816.9 | CurrentRaw=818.0 | Change=1.1 => Floor
data,,816.9,817.8,0.9,817.8,Time=15.3s | BaseRaw=816.9 | CurrentRaw=817.8 | Change=0.9 => Floor
data,,816.9,818.0,1.1,818.0,Time=15.4s | BaseRaw=816.9 | CurrentRaw=818.0 | Change=1.1 => Floor
data,,816.9,818.0,1.1,818.0,Time=15.5s | BaseRaw=816.9 | CurrentRaw=818.0 | Change=1.1 => Floor
data,,816.9,818.2,1.3,818.2,Time=15.6s | BaseRaw=816.9 | CurrentRaw=818.2 | Change=1.3 => Floor
data,,816.9,818.4,1.5,818.4,Time=15.7s | BaseRaw=816.9 | CurrentRaw=818.4 | Change=1.5 => Floor
data,,816.9,818.2,1.3,818.2,Time=15.8s | BaseRaw=816.9 | CurrentRaw=818.2 | Change=1.3 => Floor
data,,816.9,818.4,1.5,818.4,Time=15.9s | BaseRaw=816.9 | CurrentRaw=818.4 | Change=1.5 => Floor
data,,816.9,818.0,1.1,818.0,Time=16.0s | BaseRaw=816.9 | CurrentRaw=818.0 | Change=1.1 => Floor
data,,816.9,818.4,1.5,818.4,Time=16.1s | BaseRaw=816.9 | CurrentRaw=818.4 | Change=1.5 => Floor
data,,816.9,818.0,1.1,818.0,Time=16.2s | BaseRaw=816.9 | CurrentRaw=818.0 | Change=1.1 => Floor
data,,816.9,818.4,1.5,818.4,Time=16.3s | BaseRaw=816.9 | CurrentRaw=818.4 | Change=1.5 => Floor
data,,816.9,818.2,1.3,818.2,Time=16.4s | BaseRaw=816.9 | CurrentRaw=818.2 | Change=1.3 => Floor
data,,816.9,818.6,1.7,818.6,Time=16.5s | BaseRaw=816.9 | CurrentRaw=818.6 | Change=1.7 => Floor
data,,816.9,818.2,1.3,818.2,Time=16.6s | BaseRaw=816.9 | CurrentRaw=818.2 | Change=1.3 => Floor
data,,816.9,818.6,1.7,818.6,Time=16.7s | BaseRaw=816.9 | CurrentRaw=818.6 | Change=1.7 => Floor
