record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,779.40,,,,779.40,Collecting baseline... RawAvg=779.40
baseline,779.00,,,,779.00,Collecting baseline... RawAvg=779.00
baseline,778.20,,,,778.20,Collecting baseline... RawAvg=778.20
baseline,777.60,,,,777.60,Collecting baseline... RawAvg=777.60
baseline,777.40,,,,777.40,Collecting baseline... RawAvg=777.40
baseline,778.40,,,,778.40,Collecting baseline... RawAvg=778.40
baseline,779.40,,,,779.40,Collecting baseline... RawAvg=779.40
baseline,780.00,,,,780.00,Collecting baseline... RawAvg=780.00
baseline,780.00,,,,780.00,Collecting baseline... RawAvg=780.00
baseline,779.60,,,,779.60,Collecting baseline... RawAvg=779.60
baseline,778.60,,,,778.60,Collecting baseline... RawAvg=778.60
baseline,777.60,,,,777.60,Collecting baseline... RawAvg=777.60
baseline,776.60,,,,776.60,Collecting baseline... RawAvg=776.60
baseline,776.00,,,,776.00,Collecting baseline... RawAvg=776.00
baseline,776.00,,,,776.00,Collecting baseline... RawAvg=776.00
baseline,776.00,,,,776.00,Collecting baseline... RawAvg=776.00
baseline,776.00,,,,776.00,Collecting baseline... RawAvg=776.00
baseline,776.60,,,,776.60,Collecting baseline... RawAvg=776.60
baseline,777.20,,,,777.20,Collecting baseline... RawAvg=777.20
baseline,777.40,,,,777.40,Collecting baseline... RawAvg=777.40
baseline,778.20,,,,778.20,Collecting baseline... RawAvg=778.20
baseline,778.40,,,,778.40,Collecting baseline... RawAvg=778.40
baseline,779.00,,,,779.00,Collecting baseline... RawAvg=779.00
baseline,779.60,,,,779.60,Collecting baseline... RawAvg=779.60
baseline,779.60,,,,779.60,Collecting baseline... RawAvg=779.60
baseline,779.40,,,,779.40,Collecting baseline... RawAvg=779.40
baseline,778.80,,,,778.80,Collecting baseline... RawAvg=778.80
baseline,777.40,,,,777.40,Collecting baseline... RawAvg=777.40
baseline,776.40,,,,776.40,Collecting baseline... RawAvg=776.40
baseline,775.80,,,,775.80,Collecting baseline... RawAvg=775.80
baseline,775.20,,,,775.20,Collecting baseline... RawAvg=775.20
baseline,775.80,,,,775.80,Collecting baseline... RawAvg=775.80
baseline,776.20,,,,776.20,Collecting baseline... RawAvg=776.20
baseline,776.20,,,,776.20,Collecting baseline... RawAvg=776.20
baseline,776.40,,,,776.40,Collecting baseline... RawAvg=776.40
baseline,777.00,,,,777.00,Collecting baseline... RawAvg=777.00
baseline,777.00,,,,777.00,Collecting baseline... RawAvg=777.00
baseline,777.60,,,,777.60,Collecting baseline... RawAvg=777.60
baseline,778.20,,,,778.20,Collecting baseline... RawAvg=778.20
baseline,779.00,,,,779.00,Collecting baseline... RawAvg=779.00
baseline,779.40,,,,779.40,Collecting baseline... RawAvg=779.40
baseline,779.60,,,,779.60,Collecting baseline... RawAvg=779.60
baseline,779.20,,,,779.20,Collecting baseline... RawAvg=779.20
baseline,779.00,,,,779.00,Collecting baseline... RawAvg=779.00
baseline,777.60,,,,777.60,Collecting baseline... RawAvg=777.60
baseline,776.20,,,,776.20,Collecting baseline... RawAvg=776.20
baseline,775.60,,,,775.60,Collecting baseline... RawAvg=775.60
baseline,775.40,,,,775.40,Collecting baseline... RawAvg=775.40
baseline,775.20,,,,775.20,Collecting baseline... RawAvg=775.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,777.66,,,777.66,Final Base Raw Average = 777.66
info,,,,,,--------------------------------------------------------------------------
data,,777.7,776.0,1.7,776.0,Time=0.1s | BaseRaw=777.7 | CurrentRaw=776.0 | Change=1.7 => Floor
data,,777.7,776.4,1.3,776.4,Time=0.2s | BaseRaw=777.7 | CurrentRaw=776.4 | Change=1.3 => Floor
data,,777.7,777.8,0.1,777.8,Time=0.3s | BaseRaw=777.7 | CurrentRaw=777.8 | Change=0.1 => Floor
data,,777.7,777.6,0.1,777.6,Time=0.4s | BaseRaw=777.7 | CurrentRaw=777.6 | Change=0.1 => Floor
data,,777.7,777.4,0.3,777.4,Time=0.5s | BaseRaw=777.7 | CurrentRaw=777.4 | Change=0.3 => Floor
data,,777.7,777.4,0.3,777.4,Time=0.6s | BaseRaw=777.7 | CurrentRaw=777.4 | Change=0.3 => Floor
data,,777.7,777.6,0.1,777.6,Time=0.7s | BaseRaw=777.7 | CurrentRaw=777.6 | Change=0.1 => Floor
data,,777.7,777.2,0.5,777.2,Time=0.8s | BaseRaw=777.7 | CurrentRaw=777.2 | Change=0.5 => Floor
data,,777.7,776.8,0.9,776.8,Time=0.9s | BaseRaw=777.7 | CurrentRaw=776.8 | Change=0.9 => Floor
data,,777.7,777.0,0.7,777.0,Time=1.0s | BaseRaw=777.7 | CurrentRaw=777.0 | Change=0.7 => Floor
data,,777.7,777.6,0.1,777.6,Time=1.1s | BaseRaw=777.7 | CurrentRaw=777.6 | Change=0.1 => Floor
data,,777.7,777.4,0.3,777.4,Time=1.2s | BaseRaw=777.7 | CurrentRaw=777.4 | Change=0.3 => Floor
data,,777.7,776.8,0.9,776.8,Time=1.3s | BaseRaw=777.7 | CurrentRaw=776.8 | Change=0.9 => Floor
data,,777.7,777.0,0.7,777.0,Time=1.4s | BaseRaw=777.7 | CurrentRaw=777.0 | Change=0.7 => Floor
data,,777.7,777.2,0.5,777.2,Time=1.5s | BaseRaw=777.7 | CurrentRaw=777.2 | Change=0.5 => Floor
data,,777.7,777.2,0.5,777.2,Time=1.6s | BaseRaw=777.7 | CurrentRaw=777.2 | Change=0.5 => Floor
data,,777.7,777.6,0.1,777.6,Time=1.7s | BaseRaw=777.7 | CurrentRaw=777.6 | Change=0.1 => Floor
data,,777.7,777.2,0.5,777.2,Time=1.8s | BaseRaw=777.7 | CurrentRaw=777.2 | Change=0.5 => Floor
data,,777.7,777.2,0.5,777.2,Time=1.9s | BaseRaw=777.7 | CurrentRaw=777.2 | Change=0.5 => Floor
data,,777.7,776.8,0.9,776.8,Time=2.0s | BaseRaw=777.7 | CurrentRaw=776.8 | Change=0.9 => Floor
data,,777.7,776.8,0.9,776.8,Time=2.1s | BaseRaw=777.7 | CurrentRaw=776.8 | Change=0.9 => Floor
data,,777.7,776.8,0.9,776.8,Time=2.2s | BaseRaw=777.7 | CurrentRaw=776.8 | Change=0.9 => Floor
data,,777.7,777.0,0.7,777.0,Time=2.3s | BaseRaw=777.7 | CurrentRaw=777.0 | Change=0.7 => Floor
data,,777.7,777.2,0.5,777.2,Time=2.4s | BaseRaw=777.7 | CurrentRaw=777.2 | Change=0.5 => Floor
data,,777.7,777.0,0.7,777.0,Time=2.5s | BaseRaw=777.7 | CurrentRaw=777.0 | Change=0.7 => Floor
data,,777.7,777.2,0.5,777.2,Time=2.6s | BaseRaw=777.7 | CurrentRaw=777.2 | Change=0.5 => Floor
data,,777.7,777.2,0.5,777.2,Time=2.7s | BaseRaw=777.7 | CurrentRaw=777.2 | Change=0.5 => Floor
data,,777.7,777.2,0.5,777.2,Time=2.8s | BaseRaw=777.7 | CurrentRaw=777.2 | Change=0.5 => Floor
data,,777.7,777.0,0.7,777.0,Time=2.9s | BaseRaw=777.7 | CurrentRaw=777.0 | Change=0.7 => Floor
data,,777.7,777.0,0.7,777.0,Time=3.0s | BaseRaw=777.7 | CurrentRaw=777.0 | Change=0.7 => Floor
data,,777.7,777.4,0.3,777.4,Time=3.1s | BaseRaw=777.7 | CurrentRaw=777.4 | Change=0.3 => Floor
data,,777.7,777.2,0.5,777.2,Time=3.2s | BaseRaw=777.7 | CurrentRaw=777.2 | Change=0.5 => Floor
data,,777.7,776.6,1.1,776.6,Time=3.3s | BaseRaw=777.7 | CurrentRaw=776.6 | Change=1.1 => Floor
data,,777.7,776.8,0.9,776.8,Time=3.4s | BaseRaw=777.7 | CurrentRaw=776.8 | Change=0.9 => Floor
data,,777.7,777.0,0.7,777.0,Time=3.5s | BaseRaw=777.7 | CurrentRaw=777.0 | Change=0.7 => Floor
data,,777.7,776.8,0.9,776.8,Time=3.6s | BaseRaw=777.7 | CurrentRaw=776.8 | Change=0.9 => Floor
data,,777.7,777.0,0.7,777.0,Time=3.7s | BaseRaw=777.7 | CurrentRaw=777.0 | Change=0.7 => Floor
data,,777.7,777.0,0.7,777.0,Time=3.8s | BaseRaw=777.7 | CurrentRaw=777.0 | Change=0.7 => Floor
data,,777.7,777.6,0.1,777.6,Time=3.9s | BaseRaw=777.7 | CurrentRaw=777.6 | Change=0.1 => Floor
data,,777.7,778.2,0.5,778.2,Time=4.0s | BaseRaw=777.7 | CurrentRaw=778.2 | Change=0.5 => Floor
data,,777.7,778.8,1.1,778.8,Time=4.1s | BaseRaw=777.7 | CurrentRaw=778.8 | Change=1.1 => Floor
data,,777.7,778.6,0.9,778.6,Time=4.2s | BaseRaw=777.7 | CurrentRaw=778.6 | Change=0.9 => Floor
data,,777.7,779.0,1.3,779.0,Time=4.3s | BaseRaw=777.7 | CurrentRaw=779.0 | Change=1.3 => Floor
data,,777.7,778.4,0.7,778.4,Time=4.4s | BaseRaw=777.7 | CurrentRaw=778.4 | Change=0.7 => Floor
data,,777.7,778.6,0.9,778.6,Time=4.5s | BaseRaw=777.7 | CurrentRaw=778.6 | Change=0.9 => Floor
data,,777.7,779.0,1.3,779.0,Time=4.6s | BaseRaw=777.7 | CurrentRaw=779.0 | Change=1.3 => Floor
data,,777.7,778.4,0.7,778.4,Time=4.7s | BaseRaw=777.7 | CurrentRaw=778.4 | Change=0.7 => Floor
data,,777.7,778.4,0.7,778.4,Time=4.8s | BaseRaw=777.7 | CurrentRaw=778.4 | Change=0.7 => Floor
data,,777.7,778.6,0.9,778.6,Time=4.9s | BaseRaw=777.7 | CurrentRaw=778.6 | Change=0.9 => Floor
data,,777.7,778.6,0.9,778.6,Time=5.0s | BaseRaw=777.7 | CurrentRaw=778.6 | Change=0.9 => Floor
data,,777.7,778.4,0.7,778.4,Time=5.1s | BaseRaw=777.7 | CurrentRaw=778.4 | Change=0.7 => Floor
data,,777.7,778.6,0.9,778.6,Time=5.2s | BaseRaw=777.7 | CurrentRaw=778.6 | Change=0.9 => Floor
data,,777.7,779.4,1.7,779.4,Time=5.3s | BaseRaw=777.7 | CurrentRaw=779.4 | Change=1.7 => Floor
data,,777.7,780.4,2.7,780.4,Time=5.4s | BaseRaw=777.7 | CurrentRaw=780.4 | Change=2.7 => Floor
data,,777.7,782.4,4.7,782.4,Time=5.5s | BaseRaw=777.7 | CurrentRaw=782.4 | Change=4.7 => Floor
data,,777.7,785.0,7.3,785.0,Time=5.6s | BaseRaw=777.7 | CurrentRaw=785.0 | Change=7.3 => Floor
data,,777.7,789.4,11.7,789.4,Time=5.7s | BaseRaw=777.7 | CurrentRaw=789.4 | Change=11.7 => Liquid
data,,777.7,795.4,17.7,795.4,Time=5.8s | BaseRaw=777.7 | CurrentRaw=795.4 | Change=17.7 => Liquid
data,,777.7,802.8,25.1,802.8,Time=5.9s | BaseRaw=777.7 | CurrentRaw=802.8 | Change=25.1 => Liquid
data,,777.7,807.2,29.5,807.2,Time=6.0s | BaseRaw=777.7 | CurrentRaw=807.2 | Change=29.5 => Liquid
data,,777.7,810.4,32.7,810.4,Time=6.1s | BaseRaw=777.7 | CurrentRaw=810.4 | Change=32.7 => Liquid
data,,777.7,814.4,36.7,814.4,Time=6.2s | BaseRaw=777.7 | CurrentRaw=814.4 | Change=36.7 => Liquid
data,,777.7,814.8,37.1,814.8,Time=6.3s | BaseRaw=777.7 | CurrentRaw=814.8 | Change=37.1 => Liquid
data,,777.7,813.2,35.5,813.2,Time=6.4s | BaseRaw=777.7 | CurrentRaw=813.2 | Change=35.5 => Liquid
data,,777.7,814.2,36.5,814.2,Time=6.5s | BaseRaw=777.7 | CurrentRaw=814.2 | Change=36.5 => Liquid
