record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,790.6,,,,790.6,Collecting baseline... RawAvg=790.60
baseline,790.6,,,,790.6,Collecting baseline... RawAvg=790.60
baseline,790.6,,,,790.6,Collecting baseline... RawAvg=790.60
baseline,790.6,,,,790.6,Collecting baseline... RawAvg=790.60
baseline,790.4,,,,790.4,Collecting baseline... RawAvg=790.40
baseline,790.2,,,,790.2,Collecting baseline... RawAvg=790.20
baseline,790.2,,,,790.2,Collecting baseline... RawAvg=790.20
baseline,790.0,,,,790.0,Collecting baseline... RawAvg=790.00
baseline,789.2,,,,789.2,Collecting baseline... RawAvg=789.20
baseline,788.6,,,,788.6,Collecting baseline... RawAvg=788.60
baseline,788.0,,,,788.0,Collecting baseline... RawAvg=788.00
baseline,787.4,,,,787.4,Collecting baseline... RawAvg=787.40
baseline,787.2,,,,787.2,Collecting baseline... RawAvg=787.20
baseline,787.2,,,,787.2,Collecting baseline... RawAvg=787.20
baseline,787.2,,,,787.2,Collecting baseline... RawAvg=787.20
baseline,786.8,,,,786.8,Collecting baseline... RawAvg=786.80
baseline,786.6,,,,786.6,Collecting baseline... RawAvg=786.60
baseline,786.0,,,,786.0,Collecting baseline... RawAvg=786.00
baseline,785.6,,,,785.6,Collecting baseline... RawAvg=785.60
baseline,785.6,,,,785.6,Collecting baseline... RawAvg=785.60
baseline,786.0,,,,786.0,Collecting baseline... RawAvg=786.00
baseline,786.0,,,,786.0,Collecting baseline... RawAvg=786.00
baseline,786.4,,,,786.4,Collecting baseline... RawAvg=786.40
baseline,786.8,,,,786.8,Collecting baseline... RawAvg=786.80
baseline,786.6,,,,786.6,Collecting baseline... RawAvg=786.60
baseline,786.4,,,,786.4,Collecting baseline... RawAvg=786.40
baseline,786.2,,,,786.2,Collecting baseline... RawAvg=786.20
baseline,786.0,,,,786.0,Collecting baseline... RawAvg=786.00
baseline,785.8,,,,785.8,Collecting baseline... RawAvg=785.80
baseline,786.0,,,,786.0,Collecting baseline... RawAvg=786.00
baseline,786.0,,,,786.0,Collecting baseline... RawAvg=786.00
baseline,786.4,,,,786.4,Collecting baseline... RawAvg=786.40
baseline,786.6,,,,786.6,Collecting baseline... RawAvg=786.60
baseline,787.0,,,,787.0,Collecting baseline... RawAvg=787.00
baseline,786.8,,,,786.8,Collecting baseline... RawAvg=786.80
baseline,786.8,,,,786.8,Collecting baseline... RawAvg=786.80
baseline,786.4,,,,786.4,Collecting baseline... RawAvg=786.40
baseline,786.0,,,,786.0,Collecting baseline... RawAvg=786.00
baseline,785.6,,,,785.6,Collecting baseline... RawAvg=785.60
baseline,785.6,,,,785.6,Collecting baseline... RawAvg=785.60
baseline,785.8,,,,785.8,Collecting baseline... RawAvg=785.80
baseline,786.2,,,,786.2,Collecting baseline... RawAvg=786.20
baseline,786.4,,,,786.4,Collecting baseline... RawAvg=786.40
baseline,786.6,,,,786.6,Collecting baseline... RawAvg=786.60
baseline,786.6,,,,786.6,Collecting baseline... RawAvg=786.60
baseline,786.2,,,,786.2,Collecting baseline... RawAvg=786.20
baseline,785.8,,,,785.8,Collecting baseline... RawAvg=785.80
baseline,785.8,,,,785.8,Collecting baseline... RawAvg=785.80
baseline,785.6,,,,785.6,Collecting baseline... RawAvg=785.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,787.12,,,787.12,Final Base Raw Average = 787.12
info,,,,,,--------------------------------------------------------------------------
data,,787.1,786.0,1.1,786.0,Time=0.1s | BaseRaw=787.1 | CurrentRaw=786.0 | Change=1.1 => Floor
data,,787.1,786.2,0.9,786.2,Time=0.2s | BaseRaw=787.1 | CurrentRaw=786.2 | Change=0.9 => Floor
data,,787.1,786.2,0.9,786.2,Time=0.3s | BaseRaw=787.1 | CurrentRaw=786.2 | Change=0.9 => Floor
data,,787.1,786.2,0.9,786.2,Time=0.4s | BaseRaw=787.1 | CurrentRaw=786.2 | Change=0.9 => Floor
data,,787.1,786.0,1.1,786.0,Time=0.5s | BaseRaw=787.1 | CurrentRaw=786.0 | Change=1.1 => Floor
data,,787.1,786.0,1.1,786.0,Time=0.6s | BaseRaw=787.1 | CurrentRaw=786.0 | Change=1.1 => Floor
data,,787.1,786.2,0.9,786.2,Time=0.7s | BaseRaw=787.1 | CurrentRaw=786.2 | Change=0.9 => Floor
data,,787.1,786.2,0.9,786.2,Time=0.8s | BaseRaw=787.1 | CurrentRaw=786.2 | Change=0.9 => Floor
data,,787.1,786.2,0.9,786.2,Time=0.9s | BaseRaw=787.1 | CurrentRaw=786.2 | Change=0.9 => Floor
data,,787.1,786.2,0.9,786.2,Time=1.0s | BaseRaw=787.1 | CurrentRaw=786.2 | Change=0.9 => Floor
data,,787.1,786.2,0.9,786.2,Time=1.1s | BaseRaw=787.1 | CurrentRaw=786.2 | Change=0.9 => Floor
data,,787.1,785.8,1.3,785.8,Time=1.2s | BaseRaw=787.1 | CurrentRaw=785.8 | Change=1.3 => Floor
data,,787.1,785.8,1.3,785.8,Time=1.3s | BaseRaw=787.1 | CurrentRaw=785.8 | Change=1.3 => Floor
data,,787.1,786.0,1.1,786.0,Time=1.4s | BaseRaw=787.1 | CurrentRaw=786.0 | Change=1.1 => Floor
data,,787.1,786.0,1.1,786.0,Time=1.5s | BaseRaw=787.1 | CurrentRaw=786.0 | Change=1.1 => Floor
data,,787.1,786.0,1.1,786.0,Time=1.6s | BaseRaw=787.1 | CurrentRaw=786.0 | Change=1.1 => Floor
data,,787.1,786.0,1.1,786.0,Time=1.7s | BaseRaw=787.1 | CurrentRaw=786.0 | Change=1.1 => Floor
data,,787.1,786.4,0.7,786.4,Time=1.8s | BaseRaw=787.1 | CurrentRaw=786.4 | Change=0.7 => Floor
data,,787.1,786.2,0.9,786.2,Time=1.9s | BaseRaw=787.1 | CurrentRaw=786.2 | Change=0.9 => Floor
data,,787.1,786.6,0.5,786.6,Time=2.0s | BaseRaw=787.1 | CurrentRaw=786.6 | Change=0.5 => Floor
data,,787.1,786.6,0.5,786.6,Time=2.1s | BaseRaw=787.1 | CurrentRaw=786.6 | Change=0.5 => Floor
data,,787.1,786.8,0.3,786.8,Time=2.2s | BaseRaw=787.1 | CurrentRaw=786.8 | Change=0.3 => Floor
data,,787.1,786.6,0.5,786.6,Time=2.3s | BaseRaw=787.1 | CurrentRaw=786.6 | Change=0.5 => Floor
data,,787.1,786.6,0.5,786.6,Time=2.4s | BaseRaw=787.1 | CurrentRaw=786.6 | Change=0.5 => Floor
data,,787.1,786.4,0.7,786.4,Time=2.5s | BaseRaw=787.1 | CurrentRaw=786.4 | Change=0.7 => Floor
data,,787.1,786.2,0.9,786.2,Time=2.6s | BaseRaw=787.1 | CurrentRaw=786.2 | Change=0.9 => Floor
data,,787.1,786.0,1.1,786.0,Time=2.7s | BaseRaw=787.1 | CurrentRaw=786.0 | Change=1.1 => Floor
data,,787.1,786.0,1.1,786.0,Time=2.8s | BaseRaw=787.1 | CurrentRaw=786.0 | Change=1.1 => Floor
data,,787.1,786.0,1.1,786.0,Time=2.9s | BaseRaw=787.1 | CurrentRaw=786.0 | Change=1.1 => Floor
data,,787.1,786.0,1.1,786.0,Time=3.0s | BaseRaw=787.1 | CurrentRaw=786.0 | Change=1.1 => Floor
data,,787.1,786.2,0.9,786.2,Time=3.1s | BaseRaw=787.1 | CurrentRaw=786.2 | Change=0.9 => Floor
data,,787.1,786.4,0.7,786.4,Time=3.2s | BaseRaw=787.1 | CurrentRaw=786.4 | Change=0.7 => Floor
data,,787.1,786.6,0.5,786.6,Time=3.3s | BaseRaw=787.1 | CurrentRaw=786.6 | Change=0.5 => Floor
data,,787.1,787.2,0.1,787.2,Time=3.4s | BaseRaw=787.1 | CurrentRaw=787.2 | Change=0.1 => Floor
data,,787.1,787.4,0.3,787.4,Time=3.5s | BaseRaw=787.1 | CurrentRaw=787.4 | Change=0.3 => Floor
data,,787.1,787.4,0.3,787.4,Time=3.6s | BaseRaw=787.1 | CurrentRaw=787.4 | Change=0.3 => Floor
data,,787.1,787.4,0.3,787.4,Time=3.7s | BaseRaw=787.1 | CurrentRaw=787.4 | Change=0.3 => Floor
data,,787.1,787.2,0.1,787.2,Time=3.8s | BaseRaw=787.1 | CurrentRaw=787.2 | Change=0.1 => Floor
data,,787.1,786.6,0.5,786.6,Time=3.9s | BaseRaw=787.1 | CurrentRaw=786.6 | Change=0.5 => Floor
data,,787.1,786.6,0.5,786.6,Time=4.0s | BaseRaw=787.1 | CurrentRaw=786.6 | Change=0.5 => Floor
data,,787.1,786.4,0.7,786.4,Time=4.1s | BaseRaw=787.1 | CurrentRaw=786.4 | Change=0.7 => Floor
data,,787.1,786.4,0.7,786.4,Time=4.2s | BaseRaw=787.1 | CurrentRaw=786.4 | Change=0.7 => Floor
data,,787.1,786.8,0.3,786.8,Time=4.3s | BaseRaw=787.1 | CurrentRaw=786.8 | Change=0.3 => Floor
data,,787.1,786.8,0.3,786.8,Time=4.4s | BaseRaw=787.1 | CurrentRaw=786.8 | Change=0.3 => Floor
data,,787.1,787.0,0.1,787.0,Time=4.5s | BaseRaw=787.1 | CurrentRaw=787.0 | Change=0.1 => Floor
