record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,693.20,,,,693.20,Collecting baseline... RawAvg=693.20
baseline,692.80,,,,692.80,Collecting baseline... RawAvg=692.80
baseline,693.00,,,,693.00,Collecting baseline... RawAvg=693.00
baseline,693.20,,,,693.20,Collecting baseline... RawAvg=693.20
baseline,694.00,,,,694.00,Collecting baseline... RawAvg=694.00
baseline,695.00,,,,695.00,Collecting baseline... RawAvg=695.00
baseline,696.00,,,,696.00,Collecting baseline... RawAvg=696.00
baseline,696.60,,,,696.60,Collecting baseline... RawAvg=696.60
baseline,696.60,,,,696.60,Collecting baseline... RawAvg=696.60
baseline,696.40,,,,696.40,Collecting baseline... RawAvg=696.40
baseline,696.40,,,,696.40,Collecting baseline... RawAvg=696.40
baseline,696.40,,,,696.40,Collecting baseline... RawAvg=696.40
baseline,696.60,,,,696.60,Collecting baseline... RawAvg=696.60
baseline,697.20,,,,697.20,Collecting baseline... RawAvg=697.20
baseline,697.60,,,,697.60,Collecting baseline... RawAvg=697.60
baseline,697.60,,,,697.60,Collecting baseline... RawAvg=697.60
baseline,697.20,,,,697.20,Collecting baseline... RawAvg=697.20
baseline,696.60,,,,696.60,Collecting baseline... RawAvg=696.60
baseline,696.00,,,,696.00,Collecting baseline... RawAvg=696.00
baseline,695.40,,,,695.40,Collecting baseline... RawAvg=695.40
baseline,695.20,,,,695.20,Collecting baseline... RawAvg=695.20
baseline,695.60,,,,695.60,Collecting baseline... RawAvg=695.60
baseline,696.00,,,,696.00,Collecting baseline... RawAvg=696.00
baseline,696.40,,,,696.40,Collecting baseline... RawAvg=696.40
baseline,696.60,,,,696.60,Collecting baseline... RawAvg=696.60
baseline,696.40,,,,696.40,Collecting baseline... RawAvg=696.40
baseline,696.00,,,,696.00,Collecting baseline... RawAvg=696.00
baseline,695.80,,,,695.80,Collecting baseline... RawAvg=695.80
baseline,695.60,,,,695.60,Collecting baseline... RawAvg=695.60
baseline,695.80,,,,695.80,Collecting baseline... RawAvg=695.80
baseline,696.00,,,,696.00,Collecting baseline... RawAvg=696.00
baseline,696.00,,,,696.00,Collecting baseline... RawAvg=696.00
baseline,695.60,,,,695.60,Collecting baseline... RawAvg=695.60
baseline,694.80,,,,694.80,Collecting baseline... RawAvg=694.80
baseline,693.80,,,,693.80,Collecting baseline... RawAvg=693.80
baseline,693.20,,,,693.20,Collecting baseline... RawAvg=693.20
baseline,693.00,,,,693.00,Collecting baseline... RawAvg=693.00
baseline,693.20,,,,693.20,Collecting baseline... RawAvg=693.20
baseline,693.80,,,,693.80,Collecting baseline... RawAvg=693.80
baseline,694.40,,,,694.40,Collecting baseline... RawAvg=694.40
baseline,694.80,,,,694.80,Collecting baseline... RawAvg=694.80
baseline,694.60,,,,694.60,Collecting baseline... RawAvg=694.60
baseline,694.00,,,,694.00,Collecting baseline... RawAvg=694.00
baseline,693.40,,,,693.40,Collecting baseline... RawAvg=693.40
baseline,693.00,,,,693.00,Collecting baseline... RawAvg=693.00
baseline,692.80,,,,692.80,Collecting baseline... RawAvg=692.80
baseline,693.00,,,,693.00,Collecting baseline... RawAvg=693.00
baseline,693.40,,,,693.40,Collecting baseline... RawAvg=693.40
baseline,693.60,,,,693.60,Collecting baseline... RawAvg=693.60
info,,,,,,Baseline collection complete! Starting detection.
final_base,,695.09,,,695.09,Final Base Raw Average = 695.09
info,,,,,,--------------------------------------------------------------------------
data,,695.1,693.2,1.9,693.2,Time=0.1s | BaseRaw=695.1 | CurrentRaw=693.2 | Change=1.9 => Floor
data,,695.1,692.8,2.3,692.8,Time=0.2s | BaseRaw=695.1 | CurrentRaw=692.8 | Change=2.3 => Floor
data,,695.1,692.6,2.5,692.6,Time=0.3s | BaseRaw=695.1 | CurrentRaw=692.6 | Change=2.5 => Floor
data,,695.1,692.2,2.9,692.2,Time=0.4s | BaseRaw=695.1 | CurrentRaw=692.2 | Change=2.9 => Floor
data,,695.1,692.4,2.7,692.4,Time=0.5s | BaseRaw=695.1 | CurrentRaw=692.4 | Change=2.7 => Floor
data,,695.1,692.4,2.7,692.4,Time=0.6s | BaseRaw=695.1 | CurrentRaw=692.4 | Change=2.7 => Floor
data,,695.1,692.6,2.5,692.6,Time=0.7s | BaseRaw=695.1 | CurrentRaw=692.6 | Change=2.5 => Floor
data,,695.1,692.6,2.5,692.6,Time=0.8s | BaseRaw=695.1 | CurrentRaw=692.6 | Change=2.5 => Floor
data,,695.1,692.6,2.5,692.6,Time=0.9s | BaseRaw=695.1 | CurrentRaw=692.6 | Change=2.5 => Floor
data,,695.1,692.2,2.9,692.2,Time=1.0s | BaseRaw=695.1 | CurrentRaw=692.2 | Change=2.9 => Floor
data,,695.1,691.8,3.3,691.8,Time=1.1s | BaseRaw=695.1 | CurrentRaw=691.8 | Change=3.3 => Floor
data,,695.1,691.6,3.5,691.6,Time=1.2s | BaseRaw=695.1 | CurrentRaw=691.6 | Change=3.5 => Floor
data,,695.1,691.2,3.9,691.2,Time=1.3s | BaseRaw=695.1 | CurrentRaw=691.2 | Change=3.9 => Floor
data,,695.1,691.2,3.9,691.2,Time=1.4s | BaseRaw=695.1 | CurrentRaw=691.2 | Change=3.9 => Floor
data,,695.1,691.2,3.9,691.2,Time=1.5s | BaseRaw=695.1 | CurrentRaw=691.2 | Change=3.9 => Floor
data,,695.1,691.2,3.9,691.2,Time=1.6s | BaseRaw=695.1 | CurrentRaw=691.2 | Change=3.9 => Floor
data,,695.1,691.2,3.9,691.2,Time=1.7s | BaseRaw=695.1 | CurrentRaw=691.2 | Change=3.9 => Floor
data,,695.1,691.0,4.1,691.0,Time=1.8s | BaseRaw=695.1 | CurrentRaw=691.0 | Change=4.1 => Floor
data,,695.1,691.2,3.9,691.2,Time=1.9s | BaseRaw=695.1 | CurrentRaw=691.2 | Change=3.9 => Floor
data,,695.1,691.4,3.7,691.4,Time=2.0s | BaseRaw=695.1 | CurrentRaw=691.4 | Change=3.7 => Floor
data,,695.1,692.0,3.1,692.0,Time=2.1s | BaseRaw=695.1 | CurrentRaw=692.0 | Change=3.1 => Floor
data,,695.1,692.6,2.5,692.6,Time=2.2s | BaseRaw=695.1 | CurrentRaw=692.6 | Change=2.5 => Floor
data,,695.1,693.2,1.9,693.2,Time=2.3s | BaseRaw=695.1 | CurrentRaw=693.2 | Change=1.9 => Floor
data,,695.1,694.0,1.1,694.0,Time=2.4s | BaseRaw=695.1 | CurrentRaw=694.0 | Change=1.1 => Floor
data,,695.1,694.4,0.7,694.4,Time=2.5s | BaseRaw=695.1 | CurrentRaw=694.4 | Change=0.7 => Floor
data,,695.1,694.6,0.5,694.6,Time=2.6s | BaseRaw=695.1 | CurrentRaw=694.6 | Change=0.5 => Floor
data,,695.1,694.6,0.5,694.6,Time=2.7s | BaseRaw=695.1 | CurrentRaw=694.6 | Change=0.5 => Floor
data,,695.1,694.4,0.7,694.4,Time=2.8s | BaseRaw=695.1 | CurrentRaw=694.4 | Change=0.7 => Floor
data,,695.1,694.2,0.9,694.2,Time=2.9s | BaseRaw=695.1 | CurrentRaw=694.2 | Change=0.9 => Floor
data,,695.1,693.8,1.3,693.8,Time=3.0s | BaseRaw=695.1 | CurrentRaw=693.8 | Change=1.3 => Floor
data,,695.1,693.8,1.3,693.8,Time=3.1s | BaseRaw=695.1 | CurrentRaw=693.8 | Change=1.3 => Floor
data,,695.1,693.8,1.3,693.8,Time=3.2s | BaseRaw=695.1 | CurrentRaw=693.8 | Change=1.3 => Floor
data,,695.1,694.2,0.9,694.2,Time=3.3s | BaseRaw=695.1 | CurrentRaw=694.2 | Change=0.9 => Floor
data,,695.1,694.2,0.9,694.2,Time=3.4s | BaseRaw=695.1 | CurrentRaw=694.2 | Change=0.9 => Floor
data,,695.1,694.4,0.7,694.4,Time=3.5s | BaseRaw=695.1 | CurrentRaw=694.4 | Change=0.7 => Floor
data,,695.1,694.8,0.3,694.8,Time=3.6s | BaseRaw=695.1 | CurrentRaw=694.8 | Change=0.3 => Floor
data,,695.1,695.0,0.1,695.0,Time=3.7s | BaseRaw=695.1 | CurrentRaw=695.0 | Change=0.1 => Floor
data,,695.1,695.4,0.3,695.4,Time=3.8s | BaseRaw=695.1 | CurrentRaw=695.4 | Change=0.3 => Floor
data,,695.1,696.4,1.3,696.4,Time=3.9s | BaseRaw=695.1 | CurrentRaw=696.4 | Change=1.3 => Floor
data,,695.1,697.2,2.1,697.2,Time=4.0s | BaseRaw=695.1 | CurrentRaw=697.2 | Change=2.1 => Floor
data,,695.1,698.0,2.9,698.0,Time=4.1s | BaseRaw=695.1 | CurrentRaw=698.0 | Change=2.9 => Floor
data,,695.1,698.4,3.3,698.4,Time=4.2s | BaseRaw=695.1 | CurrentRaw=698.4 | Change=3.3 => Floor
data,,695.1,699.0,3.9,699.0,Time=4.3s | BaseRaw=695.1 | CurrentRaw=699.0 | Change=3.9 => Floor
data,,695.1,698.8,3.7,698.8,Time=4.4s | BaseRaw=695.1 | CurrentRaw=698.8 | Change=3.7 => Floor
data,,695.1,698.8,3.7,698.8,Time=4.5s | BaseRaw=695.1 | CurrentRaw=698.8 | Change=3.7 => Floor
data,,695.1,698.8,3.7,698.8,Time=4.6s | BaseRaw=695.1 | CurrentRaw=698.8 | Change=3.7 => Floor
data,,695.1,698.8,3.7,698.8,Time=4.7s | BaseRaw=695.1 | CurrentRaw=698.8 | Change=3.7 => Floor
data,,695.1,699.2,4.1,699.2,Time=4.8s | BaseRaw=695.1 | CurrentRaw=699.2 | Change=4.1 => Floor
data,,695.1,699.6,4.5,699.6,Time=4.9s | BaseRaw=695.1 | CurrentRaw=699.6 | Change=4.5 => Floor
data,,695.1,700.0,4.9,700.0,Time=5.0s | BaseRaw=695.1 | CurrentRaw=700.0 | Change=4.9 => Floor
data,,695.1,701.0,5.9,701.0,Time=5.1s | BaseRaw=695.1 | CurrentRaw=701.0 | Change=5.9 => Floor
data,,695.1,701.4,6.3,701.4,Time=5.2s | BaseRaw=695.1 | CurrentRaw=701.4 | Change=6.3 => Floor
data,,695.1,701.2,6.1,701.2,Time=5.3s | BaseRaw=695.1 | CurrentRaw=701.2 | Change=6.1 => Floor
data,,695.1,700.8,5.7,700.8,Time=5.4s | BaseRaw=695.1 | CurrentRaw=700.8 | Change=5.7 => Floor
data,,695.1,700.8,5.7,700.8,Time=5.5s | BaseRaw=695.1 | CurrentRaw=700.8 | Change=5.7 => Floor
data,,695.1,700.0,4.9,700.0,Time=5.6s | BaseRaw=695.1 | CurrentRaw=700.0 | Change=4.9 => Floor
data,,695.1,700.0,4.9,700.0,Time=5.7s | BaseRaw=695.1 | CurrentRaw=700.0 | Change=4.9 => Floor
data,,695.1,700.4,5.3,700.4,Time=5.8s | BaseRaw=695.1 | CurrentRaw=700.4 | Change=5.3 => Floor
data,,695.1,700.6,5.5,700.6,Time=5.9s | BaseRaw=695.1 | CurrentRaw=700.6 | Change=5.5 => Floor
data,,695.1,700.8,5.7,700.8,Time=6.0s | BaseRaw=695.1 | CurrentRaw=700.8 | Change=5.7 => Floor
data,,695.1,700.8,5.7,700.8,Time=6.1s | BaseRaw=695.1 | CurrentRaw=700.8 | Change=5.7 => Floor
data,,695.1,700.8,5.7,700.8,Time=6.2s | BaseRaw=695.1 | CurrentRaw=700.8 | Change=5.7 => Floor
data,,695.1,700.6,5.5,700.6,Time=6.3s | BaseRaw=695.1 | CurrentRaw=700.6 | Change=5.5 => Floor
data,,695.1,700.4,5.3,700.4,Time=6.4s | BaseRaw=695.1 | CurrentRaw=700.4 | Change=5.3 => Floor
data,,695.1,700.6,5.5,700.6,Time=6.5s | BaseRaw=695.1 | CurrentRaw=700.6 | Change=5.5 => Floor
