record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,696.80,,,,696.80,Collecting baseline... RawAvg=696.80
baseline,697.60,,,,697.60,Collecting baseline... RawAvg=697.60
baseline,698.40,,,,698.40,Collecting baseline... RawAvg=698.40
baseline,699.40,,,,699.40,Collecting baseline... RawAvg=699.40
baseline,700.40,,,,700.40,Collecting baseline... RawAvg=700.40
baseline,701.20,,,,701.20,Collecting baseline... RawAvg=701.20
baseline,701.40,,,,701.40,Collecting baseline... RawAvg=701.40
baseline,701.60,,,,701.60,Collecting baseline... RawAvg=701.60
baseline,701.80,,,,701.80,Collecting baseline... RawAvg=701.80
baseline,702.00,,,,702.00,Collecting baseline... RawAvg=702.00
baseline,702.40,,,,702.40,Collecting baseline... RawAvg=702.40
baseline,702.80,,,,702.80,Collecting baseline... RawAvg=702.80
baseline,702.80,,,,702.80,Collecting baseline... RawAvg=702.80
baseline,702.80,,,,702.80,Collecting baseline... RawAvg=702.80
baseline,702.60,,,,702.60,Collecting baseline... RawAvg=702.60
baseline,702.40,,,,702.40,Collecting baseline... RawAvg=702.40
baseline,702.20,,,,702.20,Collecting baseline... RawAvg=702.20
baseline,702.60,,,,702.60,Collecting baseline... RawAvg=702.60
baseline,702.80,,,,702.80,Collecting baseline... RawAvg=702.80
baseline,703.20,,,,703.20,Collecting baseline... RawAvg=703.20
baseline,703.40,,,,703.40,Collecting baseline... RawAvg=703.40
baseline,703.60,,,,703.60,Collecting baseline... RawAvg=703.60
baseline,703.20,,,,703.20,Collecting baseline... RawAvg=703.20
baseline,702.60,,,,702.60,Collecting baseline... RawAvg=702.60
baseline,701.80,,,,701.80,Collecting baseline... RawAvg=701.80
baseline,701.40,,,,701.40,Collecting baseline... RawAvg=701.40
baseline,701.00,,,,701.00,Collecting baseline... RawAvg=701.00
baseline,700.80,,,,700.80,Collecting baseline... RawAvg=700.80
baseline,700.60,,,,700.60,Collecting baseline... RawAvg=700.60
baseline,700.40,,,,700.40,Collecting baseline... RawAvg=700.40
baseline,700.00,,,,700.00,Collecting baseline... RawAvg=700.00
baseline,699.40,,,,699.40,Collecting baseline... RawAvg=699.40
baseline,699.00,,,,699.00,Collecting baseline... RawAvg=699.00
baseline,699.00,,,,699.00,Collecting baseline... RawAvg=699.00
baseline,699.40,,,,699.40,Collecting baseline... RawAvg=699.40
baseline,699.60,,,,699.60,Collecting baseline... RawAvg=699.60
baseline,700.00,,,,700.00,Collecting baseline... RawAvg=700.00
baseline,700.20,,,,700.20,Collecting baseline... RawAvg=700.20
baseline,699.80,,,,699.80,Collecting baseline... RawAvg=699.80
baseline,699.20,,,,699.20,Collecting baseline... RawAvg=699.20
baseline,698.60,,,,698.60,Collecting baseline... RawAvg=698.60
baseline,698.20,,,,698.20,Collecting baseline... RawAvg=698.20
baseline,698.00,,,,698.00,Collecting baseline... RawAvg=698.00
baseline,698.20,,,,698.20,Collecting baseline... RawAvg=698.20
baseline,698.40,,,,698.40,Collecting baseline... RawAvg=698.40
baseline,698.80,,,,698.80,Collecting baseline... RawAvg=698.80
baseline,698.80,,,,698.80,Collecting baseline... RawAvg=698.80
baseline,698.60,,,,698.60,Collecting baseline... RawAvg=698.60
baseline,698.40,,,,698.40,Collecting baseline... RawAvg=698.40
info,,,,,,Baseline collection complete! Starting detection.
final_base,,700.56,,,700.56,Final Base Raw Average = 700.56
info,,,,,,--------------------------------------------------------------------------
data,,700.6,698.0,2.6,698.0,Time=0.1s | BaseRaw=700.6 | CurrentRaw=698.0 | Change=2.6 => Floor
data,,700.6,698.2,2.4,698.2,Time=0.2s | BaseRaw=700.6 | CurrentRaw=698.2 | Change=2.4 => Floor
data,,700.6,698.0,2.6,698.0,Time=0.3s | BaseRaw=700.6 | CurrentRaw=698.0 | Change=2.6 => Floor
data,,700.6,698.2,2.4,698.2,Time=0.4s | BaseRaw=700.6 | CurrentRaw=698.2 | Change=2.4 => Floor
data,,700.6,698.0,2.6,698.0,Time=0.5s | BaseRaw=700.6 | CurrentRaw=698.0 | Change=2.6 => Floor
data,,700.6,698.0,2.6,698.0,Time=0.6s | BaseRaw=700.6 | CurrentRaw=698.0 | Change=2.6 => Floor
data,,700.6,698.0,2.6,698.0,Time=0.7s | BaseRaw=700.6 | CurrentRaw=698.0 | Change=2.6 => Floor
data,,700.6,698.0,2.6,698.0,Time=0.8s | BaseRaw=700.6 | CurrentRaw=698.0 | Change=2.6 => Floor
data,,700.6,698.0,2.6,698.0,Time=0.9s | BaseRaw=700.6 | CurrentRaw=698.0 | Change=2.6 => Floor
data,,700.6,698.0,2.6,698.0,Time=1.0s | BaseRaw=700.6 | CurrentRaw=698.0 | Change=2.6 => Floor
data,,700.6,698.0,2.6,698.0,Time=1.1s | BaseRaw=700.6 | CurrentRaw=698.0 | Change=2.6 => Floor
data,,700.6,698.0,2.6,698.0,Time=1.2s | BaseRaw=700.6 | CurrentRaw=698.0 | Change=2.6 => Floor
data,,700.6,698.0,2.6,698.0,Time=1.3s | BaseRaw=700.6 | CurrentRaw=698.0 | Change=2.6 => Floor
data,,700.6,697.8,2.8,697.8,Time=1.4s | BaseRaw=700.6 | CurrentRaw=697.8 | Change=2.8 => Floor
data,,700.6,697.6,3.0,697.6,Time=1.5s | BaseRaw=700.6 | CurrentRaw=697.6 | Change=3.0 => Floor
data,,700.6,697.6,3.0,697.6,Time=1.6s | BaseRaw=700.6 | CurrentRaw=697.6 | Change=3.0 => Floor
data,,700.6,697.0,3.6,697.0,Time=1.7s | BaseRaw=700.6 | CurrentRaw=697.0 | Change=3.6 => Floor
data,,700.6,697.0,3.6,697.0,Time=1.8s | BaseRaw=700.6 | CurrentRaw=697.0 | Change=3.6 => Floor
data,,700.6,697.0,3.6,697.0,Time=1.9s | BaseRaw=700.6 | CurrentRaw=697.0 | Change=3.6 => Floor
data,,700.6,697.2,3.4,697.2,Time=2.0s | BaseRaw=700.6 | CurrentRaw=697.2 | Change=3.4 => Floor
data,,700.6,697.4,3.2,697.4,Time=2.1s | BaseRaw=700.6 | CurrentRaw=697.4 | Change=3.2 => Floor
data,,700.6,697.4,3.2,697.4,Time=2.2s | BaseRaw=700.6 | CurrentRaw=697.4 | Change=3.2 => Floor
data,,700.6,697.6,3.0,697.6,Time=2.3s | BaseRaw=700.6 | CurrentRaw=697.6 | Change=3.0 => Floor
data,,700.6,697.6,3.0,697.6,Time=2.4s | BaseRaw=700.6 | CurrentRaw=697.6 | Change=3.0 => Floor
data,,700.6,697.6,3.0,697.6,Time=2.5s | BaseRaw=700.6 | CurrentRaw=697.6 | Change=3.0 => Floor
data,,700.6,697.6,3.0,697.6,Time=2.6s | BaseRaw=700.6 | CurrentRaw=697.6 | Change=3.0 => Floor
data,,700.6,697.8,2.8,697.8,Time=2.7s | BaseRaw=700.6 | CurrentRaw=697.8 | Change=2.8 => Floor
data,,700.6,698.0,2.6,698.0,Time=2.8s | BaseRaw=700.6 | CurrentRaw=698.0 | Change=2.6 => Floor
data,,700.6,697.8,2.8,697.8,Time=2.9s | BaseRaw=700.6 | CurrentRaw=697.8 | Change=2.8 => Floor
data,,700.6,698.0,2.6,698.0,Time=3.0s | BaseRaw=700.6 | CurrentRaw=698.0 | Change=2.6 => Floor
data,,700.6,698.0,2.6,698.0,Time=3.1s | BaseRaw=700.6 | CurrentRaw=698.0 | Change=2.6 => Floor
data,,700.6,698.2,2.4,698.2,Time=3.2s | BaseRaw=700.6 | CurrentRaw=698.2 | Change=2.4 => Floor
data,,700.6,698.4,2.2,698.4,Time=3.3s | BaseRaw=700.6 | CurrentRaw=698.4 | Change=2.2 => Floor
data,,700.6,698.6,2.0,698.6,Time=3.4s | BaseRaw=700.6 | CurrentRaw=698.6 | Change=2.0 => Floor
data,,700.6,699.2,1.4,699.2,Time=3.5s | BaseRaw=700.6 | CurrentRaw=699.2 | Change=1.4 => Floor
data,,700.6,699.8,0.8,699.8,Time=3.6s | BaseRaw=700.6 | CurrentRaw=699.8 | Change=0.8 => Floor
data,,700.6,700.6,0.0,700.6,Time=3.7s | BaseRaw=700.6 | CurrentRaw=700.6 | Change=0.0 => Floor
data,,700.6,701.2,0.6,701.2,Time=3.8s | BaseRaw=700.6 | CurrentRaw=701.2 | Change=0.6 => Floor
data,,700.6,702.0,1.4,702.0,Time=3.9s | BaseRaw=700.6 | CurrentRaw=702.0 | Change=1.4 => Floor
data,,700.6,702.6,2.0,702.6,Time=4.0s | BaseRaw=700.6 | CurrentRaw=702.6 | Change=2.0 => Floor
data,,700.6,702.8,2.2,702.8,Time=4.1s | BaseRaw=700.6 | CurrentRaw=702.8 | Change=2.2 => Floor
data,,700.6,703.0,2.4,703.0,Time=4.2s | BaseRaw=700.6 | CurrentRaw=703.0 | Change=2.4 => Floor
data,,700.6,703.0,2.4,703.0,Time=4.3s | BaseRaw=700.6 | CurrentRaw=703.0 | Change=2.4 => Floor
data,,700.6,703.4,2.8,703.4,Time=4.4s | BaseRaw=700.6 | CurrentRaw=703.4 | Change=2.8 => Floor
data,,700.6,704.8,4.2,704.8,Time=4.5s | BaseRaw=700.6 | CurrentRaw=704.8 | Change=4.2 => Floor
data,,700.6,706.4,5.8,706.4,Time=4.6s | BaseRaw=700.6 | CurrentRaw=706.4 | Change=5.8 => Floor
data,,700.6,708.4,7.8,708.4,Time=4.7s | BaseRaw=700.6 | CurrentRaw=708.4 | Change=7.8 => Floor
data,,700.6,710.0,9.4,710.0,Time=4.8s | BaseRaw=700.6 | CurrentRaw=710.0 | Change=9.4 => Floor
data,,700.6,711.8,11.2,711.8,Time=4.9s | BaseRaw=700.6 | CurrentRaw=711.8 | Change=11.2 => Liquid
data,,700.6,711.8,11.2,711.8,Time=5.0s | BaseRaw=700.6 | CurrentRaw=711.8 | Change=11.2 => Liquid
data,,700.6,712.2,11.6,712.2,Time=5.1s | BaseRaw=700.6 | CurrentRaw=712.2 | Change=11.6 => Liquid
data,,700.6,712.0,11.4,712.0,Time=5.2s | BaseRaw=700.6 | CurrentRaw=712.0 | Change=11.4 => Liquid
data,,700.6,712.0,11.4,712.0,Time=5.3s | BaseRaw=700.6 | CurrentRaw=712.0 | Change=11.4 => Liquid
data,,700.6,712.0,11.4,712.0,Time=5.4s | BaseRaw=700.6 | CurrentRaw=712.0 | Change=11.4 => Liquid
data,,700.6,712.2,11.6,712.2,Time=5.5s | BaseRaw=700.6 | CurrentRaw=712.2 | Change=11.6 => Liquid
data,,700.6,712.0,11.4,712.0,Time=5.6s | BaseRaw=700.6 | CurrentRaw=712.0 | Change=11.4 => Liquid
data,,700.6,712.2,11.6,712.2,Time=5.7s | BaseRaw=700.6 | CurrentRaw=712.2 | Change=11.6 => Liquid
data,,700.6,712.6,12.0,712.6,Time=5.8s | BaseRaw=700.6 | CurrentRaw=712.6 | Change=12.0 => Liquid
data,,700.6,712.4,11.8,712.4,Time=5.9s | BaseRaw=700.6 | CurrentRaw=712.4 | Change=11.8 => Liquid
data,,700.6,712.6,12.0,712.6,Time=6.0s | BaseRaw=700.6 | CurrentRaw=712.6 | Change=12.0 => Liquid
data,,700.6,712.2,11.6,712.2,Time=6.1s | BaseRaw=700.6 | CurrentRaw=712.2 | Change=11.6 => Liquid
data,,700.6,711.2,10.6,711.2,Time=6.2s | BaseRaw=700.6 | CurrentRaw=711.2 | Change=10.6 => Liquid
data,,700.6,710.6,10.0,710.6,Time=6.3s | BaseRaw=700.6 | CurrentRaw=710.6 | Change=10.0 => Liquid
data,,700.6,710.4,9.8,710.4,Time=6.4s | BaseRaw=700.6 | CurrentRaw=710.4 | Change=9.8 => Floor
data,,700.6,710.0,9.4,710.0,Time=6.5s | BaseRaw=700.6 | CurrentRaw=710.0 | Change=9.4 => Floor
