record_type,baseline_raw,base_raw,current_raw,change,graph,raw_data
info,,,,,,Initial floor measurement (5s)... Keep the sensor on the empty floor.
info,,,,,,START received
baseline,823.4,,,,823.4,Collecting baseline... RawAvg=823.40
baseline,823.4,,,,823.4,Collecting baseline... RawAvg=823.40
baseline,823.0,,,,823.0,Collecting baseline... RawAvg=823.00
baseline,822.6,,,,822.6,Collecting baseline... RawAvg=822.60
baseline,822.4,,,,822.4,Collecting baseline... RawAvg=822.40
baseline,822.8,,,,822.8,Collecting baseline... RawAvg=822.80
baseline,823.0,,,,823.0,Collecting baseline... RawAvg=823.00
baseline,823.6,,,,823.6,Collecting baseline... RawAvg=823.60
baseline,824.0,,,,824.0,Collecting baseline... RawAvg=824.00
baseline,824.2,,,,824.2,Collecting baseline... RawAvg=824.20
baseline,824.0,,,,824.0,Collecting baseline... RawAvg=824.00
baseline,823.6,,,,823.6,Collecting baseline... RawAvg=823.60
baseline,823.2,,,,823.2,Collecting baseline... RawAvg=823.20
baseline,822.8,,,,822.8,Collecting baseline... RawAvg=822.80
baseline,822.6,,,,822.6,Collecting baseline... RawAvg=822.60
baseline,822.8,,,,822.8,Collecting baseline... RawAvg=822.80
baseline,823.4,,,,823.4,Collecting baseline... RawAvg=823.40
baseline,823.6,,,,823.6,Collecting baseline... RawAvg=823.60
baseline,823.8,,,,823.8,Collecting baseline... RawAvg=823.80
baseline,823.8,,,,823.8,Collecting baseline... RawAvg=823.80
baseline,823.4,,,,823.4,Collecting baseline... RawAvg=823.40
baseline,822.8,,,,822.8,Collecting baseline... RawAvg=822.80
baseline,822.8,,,,822.8,Collecting baseline... RawAvg=822.80
baseline,822.8,,,,822.8,Collecting baseline... RawAvg=822.80
baseline,823.0,,,,823.0,Collecting baseline... RawAvg=823.00
baseline,823.4,,,,823.4,Collecting baseline... RawAvg=823.40
baseline,823.8,,,,823.8,Collecting baseline... RawAvg=823.80
baseline,823.8,,,,823.8,Collecting baseline... RawAvg=823.80
baseline,823.8,,,,823.8,Collecting baseline... RawAvg=823.80
baseline,823.4,,,,823.4,Collecting baseline... RawAvg=823.40
baseline,823.0,,,,823.0,Collecting baseline... RawAvg=823.00
baseline,822.8,,,,822.8,Collecting baseline... RawAvg=822.80
baseline,822.6,,,,822.6,Collecting baseline... RawAvg=822.60
baseline,822.8,,,,822.8,Collecting baseline... RawAvg=822.80
baseline,823.2,,,,823.2,Collecting baseline... RawAvg=823.20
baseline,823.6,,,,823.6,Collecting baseline... RawAvg=823.60
baseline,823.8,,,,823.8,Collecting baseline... RawAvg=823.80
baseline,823.8,,,,823.8,Collecting baseline... RawAvg=823.80
baseline,823.6,,,,823.6,Collecting baseline... RawAvg=823.60
baseline,823.4,,,,823.4,Collecting baseline... RawAvg=823.40
baseline,823.2,,,,823.2,Collecting baseline... RawAvg=823.20
baseline,823.0,,,,823.0,Collecting baseline... RawAvg=823.00
baseline,823.2,,,,823.2,Collecting baseline... RawAvg=823.20
baseline,823.6,,,,823.6,Collecting baseline... RawAvg=823.60
baseline,824.0,,,,824.0,Collecting baseline... RawAvg=824.00
baseline,824.0,,,,824.0,Collecting baseline... RawAvg=824.00
baseline,824.0,,,,824.0,Collecting baseline... RawAvg=824.00
baseline,823.8,,,,823.8,Collecting baseline... RawAvg=823.80
baseline,823.2,,,,823.2,Collecting baseline... RawAvg=823.20
info,,,,,,Baseline collection complete! Starting detection.
final_base,,823.34,,,823.34,Final Base Raw Average = 823.34
info,,,,,,--------------------------------------------------------------------------
data,,823.3,822.6,0.7,822.6,Time=0.1s | BaseRaw=823.3 | CurrentRaw=822.6 | Change=0.7 => Floor
data,,823.3,823.0,0.3,823.0,Time=0.2s | BaseRaw=823.3 | CurrentRaw=823.0 | Change=0.3 => Floor
data,,823.3,822.8,0.5,822.8,Time=0.3s | BaseRaw=823.3 | CurrentRaw=822.8 | Change=0.5 => Floor
data,,823.3,823.2,0.1,823.2,Time=0.4s | BaseRaw=823.3 | CurrentRaw=823.2 | Change=0.1 => Floor
data,,823.3,823.2,0.1,823.2,Time=0.5s | BaseRaw=823.3 | CurrentRaw=823.2 | Change=0.1 => Floor
data,,823.3,823.4,0.1,823.4,Time=0.6s | BaseRaw=823.3 | CurrentRaw=823.4 | Change=0.1 => Floor
data,,823.3,823.2,0.1,823.2,Time=0.7s | BaseRaw=823.3 | CurrentRaw=823.2 | Change=0.1 => Floor
data,,823.3,823.2,0.1,823.2,Time=0.8s | BaseRaw=823.3 | CurrentRaw=823.2 | Change=0.1 => Floor
data,,823.3,823.2,0.1,823.2,Time=0.9s | BaseRaw=823.3 | CurrentRaw=823.2 | Change=0.1 => Floor
data,,823.3,823.2,0.1,823.2,Time=1.0s | BaseRaw=823.3 | CurrentRaw=823.2 | Change=0.1 => Floor
data,,823.3,823.4,0.1,823.4,Time=1.1s | BaseRaw=823.3 | CurrentRaw=823.4 | Change=0.1 => Floor
data,,823.3,823.6,0.3,823.6,Time=1.2s | BaseRaw=823.3 | CurrentRaw=823.6 | Change=0.3 => Floor
data,,823.3,824.0,0.7,824.0,Time=1.3s | BaseRaw=823.3 | CurrentRaw=824.0 | Change=0.7 => Floor
data,,823.3,824.4,1.1,824.4,Time=1.4s | BaseRaw=823.3 | CurrentRaw=824.4 | Change=1.1 => Floor
data,,823.3,824.8,1.5,824.8,Time=1.5s | BaseRaw=823.3 | CurrentRaw=824.8 | Change=1.5 => Floor
data,,823.3,825.0,1.7,825.0,Time=1.6s | BaseRaw=823.3 | CurrentRaw=825.0 | Change=1.7 => Floor
data,,823.3,825.2,1.9,825.2,Time=1.7s | BaseRaw=823.3 | CurrentRaw=825.2 | Change=1.9 => Floor
data,,823.3,825.4,2.1,825.4,Time=1.8s | BaseRaw=823.3 | CurrentRaw=825.4 | Change=2.1 => Floor
data,,823.3,825.8,2.5,825.8,Time=1.9s | BaseRaw=823.3 | CurrentRaw=825.8 | Change=2.5 => Floor
data,,823.3,825.8,2.5,825.8,Time=2.0s | BaseRaw=823.3 | CurrentRaw=825.8 | Change=2.5 => Floor
data,,823.3,826.0,2.7,826.0,Time=2.1s | BaseRaw=823.3 | CurrentRaw=826.0 | Change=2.7 => Floor
data,,823.3,826.0,2.7,826.0,Time=2.2s | BaseRaw=823.3 | CurrentRaw=826.0 | Change=2.7 => Floor
data,,823.3,826.0,2.7,826.0,Time=2.3s | BaseRaw=823.3 | CurrentRaw=826.0 | Change=2.7 => Floor
data,,823.3,825.6,2.3,825.6,Time=2.4s | BaseRaw=823.3 | CurrentRaw=825.6 | Change=2.3 => Floor
data,,823.3,825.4,2.1,825.4,Time=2.5s | BaseRaw=823.3 | CurrentRaw=825.4 | Change=2.1 => Floor
data,,823.3,825.6,2.3,825.6,Time=2.6s | BaseRaw=823.3 | CurrentRaw=825.6 | Change=2.3 => Floor
data,,823.3,825.2,1.9,825.2,Time=2.7s | BaseRaw=823.3 | CurrentRaw=825.2 | Change=1.9 => Floor
data,,823.3,825.0,1.7,825.0,Time=2.8s | BaseRaw=823.3 | CurrentRaw=825.0 | Change=1.7 => Floor
data,,823.3,825.0,1.7,825.0,Time=2.9s | BaseRaw=823.3 | CurrentRaw=825.0 | Change=1.7 => Floor
data,,823.3,825.0,1.7,825.0,Time=3.0s | BaseRaw=823.3 | CurrentRaw=825.0 | Change=1.7 => Floor
data,,823.3,824.8,1.5,824.8,Time=3.1s | BaseRaw=823.3 | CurrentRaw=824.8 | Change=1.5 => Floor
data,,823.3,824.8,1.5,824.8,Time=3.2s | BaseRaw=823.3 | CurrentRaw=824.8 | Change=1.5 => Floor
data,,823.3,825.0,1.7,825.0,Time=3.3s | BaseRaw=823.3 | CurrentRaw=825.0 | Change=1.7 => Floor
data,,823.3,824.8,1.5,824.8,Time=3.4s | BaseRaw=823.3 | CurrentRaw=824.8 | Change=1.5 => Floor
data,,823.3,825.0,1.7,825.0,Time=3.5s | BaseRaw=823.3 | CurrentRaw=825.0 | Change=1.7 => Floor
data,,823.3,825.0,1.7,825.0,Time=3.6s | BaseRaw=823.3 | CurrentRaw=825.0 | Change=1.7 => Floor
data,,823.3,825.2,1.9,825.2,Time=3.7s | BaseRaw=823.3 | CurrentRaw=825.2 | Change=1.9 => Floor
data,,823.3,825.4,2.1,825.4,Time=3.8s | BaseRaw=823.3 | CurrentRaw=825.4 | Change=2.1 => Floor
data,,823.3,825.4,2.1,825.4,Time=3.9s | BaseRaw=823.3 | CurrentRaw=825.4 | Change=2.1 => Floor
data,,823.3,825.6,2.3,825.6,Time=4.0s | BaseRaw=823.3 | CurrentRaw=825.6 | Change=2.3 => Floor
data,,823.3,825.8,2.5,825.8,Time=4.1s | BaseRaw=823.3 | CurrentRaw=825.8 | Change=2.5 => Floor
data,,823.3,825.8,2.5,825.8,Time=4.2s | BaseRaw=823.3 | CurrentRaw=825.8 | Change=2.5 => Floor
data,,823.3,825.8,2.5,825.8,Time=4.3s | BaseRaw=823.3 | CurrentRaw=825.8 | Change=2.5 => Floor
data,,823.3,825.6,2.3,825.6,Time=4.4s | BaseRaw=823.3 | CurrentRaw=825.6 | Change=2.3 => Floor
data,,823.3,825.2,1.9,825.2,Time=4.5s | BaseRaw=823.3 | CurrentRaw=825.2 | Change=1.9 => Floor
data,,823.3,824.2,0.9,824.2,Time=4.6s | BaseRaw=823.3 | CurrentRaw=824.2 | Change=0.9 => Floor
